likes,about_post,date,type,comments,tagged_names
503215.0, notknown,NOVEMBER 8,post,91, 
605814.0, notknown,OCTOBER 29,post,75, 
390679.0, notknown,OCTOBER 19,post,30, 
540943.0, notknown,SEPTEMBER 1,post,25, 
587563.0, notknown,AUGUST 11,post,29, 
547133.0, notknown,AUGUST 9,post,18, 
477223.0, notknown,JULY 27,post,37, 
220425.0, o.dembele7 Verified BlackLivesMatter#blackouttuesday 25w,JUNE 2,post,4, 
704796.0, o.dembele7 Verified EidMubarak🤲🏿❤️ 26w,MAY 24,post,11, 
470134.0, o.dembele7 Verified EidMubarak🤲🏿❤️ 26w,MAY 7,post,14, 
229304.0, o.dembele7 Verified EidMubarak🤲🏿❤️ 26w,MARCH 30,post,0, 
644148.0, o.dembele7 Verified 👊🏿👊🏿👊🏿 44w,JANUARY 20,post,34, 
460673.0, o.dembele7 Verified Life❤️ #2003 54w,"NOVEMBER 12, 2019",post,18,  @moouss23
398884.0, o.dembele7 Verified Life❤️ #2003 54w,"OCTOBER 23, 2019",post,6,  @moouss23
472756.0, o.dembele7 Verified Life❤️ #2003 54w,"OCTOBER 14, 2019",post,36,  @moouss23
508936.0, o.dembele7 Verified 📸: ,"OCTOBER 7, 2019",post,18,  @miguelruizfcb 59w
643545.0, o.dembele7 Verified 💧 60w,"OCTOBER 3, 2019",post,22, 
599807.0, o.dembele7 Verified 😘 67w,"AUGUST 11, 2019",post,16, 
446716.0, o.dembele7 Verified GràciesaficiódeMiamiperelvostrerecolzament🔵🔴#miami 68w,"AUGUST 8, 2019",post,8, 
580389.0, o.dembele7 Verified GraciesCampNou!Segurqueseráunagrantemporada!Totsjuntssempre!ForçaBarça🔵🔴 68w,"AUGUST 5, 2019",post,10, 
425748.0, o.dembele7 Verified GraciesCampNou!Segurqueseráunagrantemporada!Totsjuntssempre!ForçaBarça🔵🔴 68w,"JULY 25, 2019",post,7, 
472478.0, o.dembele7 Verified GraciesCampNou!Segurqueseráunagrantemporada!Totsjuntssempre!ForçaBarça🔵🔴 68w,"JULY 21, 2019",post,2, 
603504.0, o.dembele7 Verified Ilyaunà1andéjà...⭐️⭐️🇫🇷 ,"JULY 16, 2019",post,9,  @equipedefrance 71w
419100.0, o.dembele7 Verified Ilyaunà1andéjà...⭐️⭐️🇫🇷 ,"JUNE 27, 2019",post,6,  @equipedefrance 71w
529753.0, o.dembele7 Verified Ilyaunà1andéjà...⭐️⭐️🇫🇷 ,"MAY 4, 2019",post,8,  @equipedefrance 71w
677047.0, o.dembele7 Verified Laliga✅ 82w,"APRIL 28, 2019",post,15, 
481630.0, o.dembele7 Verified Laliga✅ 82w,"APRIL 13, 2019",post,7, 
667571.0, o.dembele7 Verified 👀🔵🔴 90w,"MARCH 3, 2019",post,5, 
606646.0, o.dembele7 Verified 👀🔵🔴 90w,"FEBRUARY 28, 2019",post,12, 
472937.0, o.dembele7 Verified 👀🔵🔴 90w,"FEBRUARY 19, 2019",post,104, 
