likes,about_post,date,type,comments,tagged_names
12775.0, obafemi_36 Verified Gottastartsomewhere👶🏽⚽️#BabyA 18h,18 HOURS AGO,post,1, 
10596.0," obafemi_36 Verified Almostinthe knockoutstage,let‘skeepitup!☝🏾#cl#cleansheet#teamwork#bvb#aimhigher#moa16#brigante#vatoslocos 2d",2 DAYS AGO,post,1,  @championsleague
15628.0, obafemi_36 Verified Turnedthingsaroundinthesecondhalfandneverlookedback!👊🏾#awaywin#bvb#moa16#aimhigher#brigante#vatoslocos 5d,5 DAYS AGO,post,2, 
5533.0," obafemi_36 Verified TodayisWorldChildren’sDay.IfeelaspecialbondwiththechildrenofNigeriabecauseofmyoriginsandwanttohelp inthisimportantcause.Afteralongbreak,theycanfinallygobacktoschool.Pleaseshowthemyoursupportaswell🙏🏾🇳🇬formoreinfoseelinkinbio🔝#covid19#wenevergiveup#proudsupporter#unicef#worldchildrensday 1w",7 DAYS AGO,post,0,  @unicef
8110.0," obafemi_36 Verified GoodtobebackinDortmund,bigawaygamecomingupinBerlinonSaturdaynight☝🏾#intraining#bvb#moa16#aimhigher#brigante#vatoslocos 1w",7 DAYS AGO,post,0, 
8632.0," obafemi_36 Verified Gamecancelled,solefttheSwissnationalteamabitearlierthanexpected✌🏾🇨🇭#nationsleague#aboutyesterday#nati#moa5#switzerland#brigante#vatoslocos 1w",NOVEMBER 18,post,4, 
12197.0," obafemi_36 Verified Proudofthewholeteamanditsfightingperformance,nowbringonTuesday!💪🏾🇨🇭#nati#nationsleague#teamspirit#keepfighting#aimhigher#moa5#brigante#vatoslocos 1w",NOVEMBER 15,post,1, 
10308.0, obafemi_36 Verified StokedtobebackwithmyteammatesintheSwissnationalteamagainaftermissingthegamesinOctober!🇨🇭#nati#switzerland#moa5#brigante#vatoslocos 2w,NOVEMBER 9,post,2, 
14257.0, obafemi_36 Verified Disappointingresultinatopgamethathaduscompeteonequalfooting.Continuoushardworkwillpushtheluckinourfavor!💪🏾#aboutyesterday#keepgoing#bvb#moa16#aimhigher#brigante#vatoslocos 2w,NOVEMBER 8,post,1, 
16096.0," obafemi_36 Verified Proudofthisteam,fourwinsinarow,fourcleansheets!🙌🏾#ucl#winningstreak#bvb#aimhigher#moa16#brigante#vatoslocos 3w",NOVEMBER 5,post,5, 
7823.0, obafemi_36 Verified Finalpreparationsbeforeournext clashtomorrownight!🖐🏾#ucl#ready#bvb#aimhigher#moa16#brigante#vatoslocos 3w,NOVEMBER 4,post,0,  @championsleague
11539.0," obafemi_36 Verified Toppedabusyweekwithacrucialawaywin,nowit’stimetorestbeforeanotherbigweek!😅#winningstreak#bvb#aimhigher#moa16#brigante#vatoslocos 3w",OCTOBER 31,post,0, 
9299.0, obafemi_36 Verified Catchingaquickbreakfromabusygamescheduleandkeepin’trackofallmyfinanceswiththeeasyCSXappbyCreditSuisse📲💸formoreinfocheckmystory🔝#CSXbanking#digitalbanking#creditsuisse#CSX 4w,OCTOBER 30,post,5, 
12374.0, obafemi_36 Verified Crucial winonatoughnight!☝🏾#ucl#wecamethrough#bvb#aimhigher#moa16#brigante#vatoslocos 4w,OCTOBER 29,post,27,  @championsleague
24656.0," obafemi_36 Verified Whatanight!Derbywin,cleansheetandagoalscored⚽️Thanksforyoursupport!🙏🏾#aimhigher#bvb#trusttheprocess#moa16#brigante#vatoslocos 4w",OCTOBER 25,post,12, 
21181.0," obafemi_36 Verified I’mbackonthepitchwithafightingspiritasmyquarantineisoveraftertestingnegative.Thanksforallyourwell-wishesandsupport,Ican’twaittobeplayingagainthisSaturdayinthe""Revierderby“!💪🏾#goodtobeback#missedthis#bvb#moa16#brigante#vatoslocos 5w",OCTOBER 21,post,0, 
8011.0, obafemi_36 Verified FeelsgoodtobebackwiththeSwissnationalteam!🇨🇭#suicro#aimhigher#moa5#sfv#switzerland#brigante#vatoslocos 7w,OCTOBER 6,post,4, 
16252.0," obafemi_36 Verified Amuch-neededwintoday,goodfocusandexecution!🙌🏾#trusttheprocess#moa16#aimhigher#bvb#brigante#vatoslocos 7w",OCTOBER 3,post,1, 
10982.0," obafemi_36 Verified Toughonetolose,butitremindsustoworkevenharder!💪🏾#supercup#keepgoing#bvb#moa16#aimhigher#brigante#vatoslocos 8w",OCTOBER 1,post,3, 
17978.0, obafemi_36 Verified Itfeltincredibletogetthefirstwinofthenew#Bundesligaseasonwithacleansheetinfrontofourfans🙏🏾#welcomeback#greatstart#bvb#aimhigher#moa16#brigante#vatoslocos 9w,SEPTEMBER 20,post,5, 
14935.0, obafemi_36 Verified Offtoagreatstartintothenewcampaignwithadominatingperformance!👊🏾#nextround#bvb#moa16#aimhigher#brigante#vatoslocos 10w,SEPTEMBER 15,post,0, 
8425.0," obafemi_36 Verified Lookingforwardtogettingthisseasonstarted!Firstgame,firstroundinthecup💪🏾#weareback#seasonstart#bvb#aimhigher#moa16#brigante#vatoslocos 10w",SEPTEMBER 12,post,3, 
12326.0, obafemi_36 Verified Atleastonequalfootingagainstatopteamandcameawayjustshortofthewin!🇨🇭💪🏾#teamspirit#nationaleague#nevergiveup#switzerland#sfv#aimhigher#brigante#vatoslocos 11w,SEPTEMBER 7,post,3, 
10574.0, obafemi_36 Verified Allsmilesbeforetomorrow’sgameagainstUkraine👊🏾#gettingready#sfv#intraining#nationsleague#moa5#switzerland#aimhigher#brigante#vatoslocos 12w,SEPTEMBER 3,post,1, 
7042.0, obafemi_36 Verified Gearingupwithmyteammatesfromthe forthe#NationsLeagueunderstricthealthguidelines😷🇨🇭#switzerland#backwiththegang#moa5#sfv#aimhigher#brigante#vatoslocos 12w,AUGUST 31,post,4,  @nationalteams_sfvasf
10050.0, obafemi_36 Verified Alleyesontheprizebeforetoday‘spre-seasonfriendlygame👀#focus#bvb#moa16#aimhigher#brigante#vatoslocos 13w,AUGUST 22,post,3, 
12225.0," obafemi_36 Verified Happytoassistyou,bro 🤜🏾🤛🏼#aboutyesterday#teamwork#bvb#moa16#aimhigher#brigante#vatoslocos 14w",AUGUST 17,post,4,  @gioareyna
9921.0," obafemi_36 Verified MythoughtsarewithLebanon’schildrenandtheirfamiliesaffectedbythe#BeirutExplosion.Inadditiontothecatastrophe,familiesarefacing#COVID19andafailingeconomy. isonthegroundhelpingthoseinneedwithurgentmedicalsupplies,waterandpsychologicalguidance.Pleasesupporttheirwork🖤Linkinbio👆🏾#unicef 15w",AUGUST 12,post,5,  @UNICEF
