likes,about_post,date,type,comments,tagged_names
6510.0," ottolenghi Verified Turkeys,stuffing,gravyandlotsofheavycrates. Wishingeveryonewho’scelebratingawonderfulThanksgivingtoday.It’salittledifferentthisyear,perhaps,butsurelythatdoesn’tstopitfrombeingdelicious! 20h",20 HOURS AGO,post,8.0, 
4314.0," ottolenghi Verified Our delisand arestockinguponallsortsoffestivegifts…Cranberryandapplerelish,signedbooks,sweettreatsandthreedifferenttypesofPanettonestraightfromMilan! 2d",2 DAYS AGO,post,235.0,  @ottolenghi_london @ottolenghi_shop
23660.0, ottolenghi Verified SicilianlemonandbayleafteacakesatIslington.Icookwithbayleavesallyearroundbutthere’ssomethingsortoffestiveaboutthemhere..don’tyouthink? 5d,5 DAYS AGO,post,253.0, 
30980.0," ottolenghi Verified ChristmaspresentsyoucanmakeyourselfinmyGuardiancolumn:tahiniandnorithins,festivechillioilandmisocaramels.Checkoutthelinktorecipesinmybiopageandthanks andteamforaceshots. 5d",5 DAYS AGO,post,62.0,  @louisehagger
8686.0, ottolenghi Verified Spentthedayinthetestkitchenshootingsomeinstructionalvideoswhicharecomingyourwaysoon..#otk#ottolenghitestkitchen 6d,6 DAYS AGO,post,145.0, 
16580.0," ottolenghi Verified Asalways,theteamsintheNottingHillandBelgraviadeliswillbecookingThanksgivingfeastsnextweek.Themenuhassomenewturkeyoptions,incasetherearen’tasmanyaroundthetable,andlotsofsidestochoosefrom.SeethemenuviathelinkinmybioandplaceyourorderbySundayatmidnight...thoughturkeysarerunningoutsotrytoorderearlierifpossible. 1w",NOVEMBER 18,post,90.0, 
11868.0," ottolenghi Verified Gorgeousgoldenbeetsandredbeets,turnedintobeetsaladwithgrapefruitwhitebalsamicandrocket.OnthecounterinNottingHill.. 1w",NOVEMBER 17,post,105.0, 
7712.0," ottolenghi Verified ThinkingChristmas?Thebakeryandonlinestoreteamsaregoingalittlemad(inthebestpossibleway..),gettingreadyforyourorders.HereareourbrightnewChristmashampersfor2020,withmoreinfoviathe‘Hampers’linkinmybio.GivingFortnum'sarunfortheirmoney,Isay. 1w",NOVEMBER 15,post,406.0, 
34599.0," ottolenghi Verified Don’tyoujustlovethelookofthis?MyGuardiancolumntodayisallaboutquickmealsforworkingfromhome,whichiswhatsomanyaredoingrightnow.Thesecheesycurriedcoollbeansontoastaresomethingyoucanputtogetherin25minutes.Thelinktotherecipeisinmybio.Thanksto  and forlovelyphotos. 1w",NOVEMBER 14,post,139.0,  @louisehagger @emilykydd @jenkayprops
15070.0, ottolenghi Verified FromOttoheadofpastry StunningpearcrumblesatBelgraviaOttolenghimadeby Ijustbakedthem. 1w,NOVEMBER 14,post,79.0,"  @paulinabembel: @michaelfromnz,"
