likes,about_post,date,type,comments,tagged_names
460314.0, paulodybala Verified Sudamerica😜📸 1h,1 HOUR AGO,post,3607.0, 
1450953.0, paulodybala Verified Conmisamores❤️ 20h,20 HOURS AGO,post,18000.0, 
1101683.0, paulodybala Verified +3puntosypensandoyaenlaChampions💪🏼 1d,1 DAY AGO,post,882.0, 
1053476.0, paulodybala Verified Preparationiseverything🔥 3d,3 DAYS AGO,post,13700.0, 
2304067.0," paulodybala Verified Tengoquecontarlesqueenestos3deseoselprimordialfuelasaluddetodos.Tambiénquierodecirlesgraciasporelamorylasbuenasenergíasquemehicieronllegarenestedía,graciasporacompañarmeunañomás,graciasporlosmilesdemensajesquememandaron❤️Losquieromucho!!#27🎂🦂 1w",7 DAYS AGO,post,7198.0, 
2079808.0, paulodybala Verified Últimashoras#26🤭 1w,NOVEMBER 14,post,4522.0, 
1466489.0, paulodybala Verified Non-stop!💪🏽 2w,NOVEMBER 7,post,3388.0, 
1424779.0, paulodybala Verified Unleashthemask🤔 2w,NOVEMBER 5,post,7847.0, 
1476113.0, paulodybala Verified 🚀Readyfortake-off! #UCL 2w,NOVEMBER 3,post,3648.0, 
810920.0, paulodybala Verified Unavittoriadisquadradedicataaituoi123anni!AuguriVecchiaSignora#ForzaJuve 3w,NOVEMBER 1,post,4874.0, 
1351737.0, paulodybala Verified ✨Lasnochesmágicasde  ,OCTOBER 28,post,4206.0,  @championsleague  🎥 @thecrowncreators 3w
1002680.0, paulodybala Verified UCLmodeon!💎💪🏼 3w,OCTOBER 27,post,6730.0, 
1633187.0, paulodybala Verified Ciabbiamoprovatofinoallafinemaadessotoccariprendersiepensareallaprossimapartita💪🏼 #ForzaJuve 4w,OCTOBER 26,post,4323.0, 
1129412.0, paulodybala Verified 🤫 4w,OCTOBER 24,post,7089.0, 
1334104.0, paulodybala Verified Quelinda👕🤩loveit ,OCTOBER 23,post,5022.0,  @Pharrell! 4w
1569348.0, paulodybala Verified Sobremesasudamericana✌🏼😉 4w,OCTOBER 22,post,4702.0, 
1685460.0, paulodybala Verified GoodstartintheUCL!Nicetobeback!💪🏼 4w,OCTOBER 21,post,2969.0, 
1188547.0, paulodybala Verified ¡Listosparanuestrodebuten mañana!Readyforour debuttomorrow!💎 #FinoAllaFine#ForzaJuve 5w,OCTOBER 19,post,5136.0,  @championsleague @championsleague
1391478.0," paulodybala Verified SimplementeGRACIASportodoma,queseasmuyfelizsiempre!Teamo,felizdíadelamadre❤️😍👩‍👦#diadelamadre 5w",OCTOBER 18,post,4262.0, 
968575.0," paulodybala Verified Porproblemasdesaludhoynovoyapoderestarayudandoamiscompañerosenelcampocomomehabríagustado,perodesdemilugarvoyaestaralentandoyapoyandoparaconseguirdenuevo3puntos!#VamosArgentina🇦🇷💙 5w",OCTOBER 13,post,4705.0, 
1369651.0, paulodybala Verified Aimhigh!💥 7w,OCTOBER 2,post,8530.0, 
1351801.0, paulodybala Verified Newrockets🚀 8w,SEPTEMBER 24,post,7654.0, 
2046383.0, paulodybala Verified Thankstoeveryone!🏆 9w,SEPTEMBER 21,post,6520.0, 
1367600.0, paulodybala Verified Unpassoavanti💪🏼Happytobebackwiththeboys! 9w,SEPTEMBER 19,post,2589.0, 
1776674.0, paulodybala Verified Ratetheseboots💎  #copa20 ,SEPTEMBER 3,post,5664.0,  @adidasfootball 11w
1504061.0, paulodybala Verified Comolasextrañeeeeeee❤️🐶 12w,AUGUST 29,post,10200.0, 
1492073.0, paulodybala Verified 💪🏼Recovery!Conganasdevolver! 12w,AUGUST 26,post,1427.0, 
2068484.0, paulodybala Verified 2020💎 13w,AUGUST 20,post,14300.0, 
1189346.0, paulodybala Verified Gang😆 14w,AUGUST 16,post,3154.0, 
1511301.0, paulodybala Verified Puestadesol🌅 14w,AUGUST 14,post,5387.0, 
2062970.0, paulodybala Verified WithLove❤️ 14w,AUGUST 13,post,8783.0, 
