likes,about_post,date,type,comments,tagged_names
11757.0, pavii_padukone 🏝🤸‍♀️♥️ 3d,3 DAYS AGO,post,299.0, 
18275.0, pavii_padukone 💋 5d,5 DAYS AGO,post,198.0, 
27028.0, pavii_padukone 💜 . . Pc 🤍 . . #pavipadukone#pavi#teampavi 1w,7 DAYS AGO,post,287.0,  @in__photofactory
34388.0, pavii_padukone 💋 . . Pc ❣️ . #pavipadukone#pavi#teampavi 1w,NOVEMBER 16,post,461.0,  @in__photofactory
23776.0, pavii_padukone 🤍 . . Pc ❣️ 2w,NOVEMBER 11,post,402.0,  @in__photofactory
83219.0, pavii_padukone 💋 2w,NOVEMBER 10,post,383.0, 
18236.0, pavii_padukone 💋 2w,NOVEMBER 9,post,406.0, 
32985.0, pavii_padukone Compareyourselftoyourself💋 . . Pc  ♥️ . #pavipadukone#pavi#teampavi#photography#photo#beast#fitness#lifestyle#bööty#stayfit#lifetimenatural 2w,NOVEMBER 8,post,283.0,  @___nandan_immortal___ @in__photofactory
25403.0, pavii_padukone ⚠️ . . Pc  💜 2w,NOVEMBER 6,post,170.0,  @focuslock_photography @in__photofactory
33060.0, pavii_padukone 🖤 . . Pc  ❤️❤️ . #pavipadukone#teampavi#pavi#black 2w,NOVEMBER 5,post,325.0,  @in__photofactory @focuslock_photography
40345.0, pavii_padukone 💞 . . Pc  💜💜 . Location 💖 . #pavipadukone#pavi#teampavi 3w,NOVEMBER 4,post,162.0,  @focuslock_photography @in__photofactory @le.republique.blr
17036.0," pavii_padukone Thankyou ❤️forsendingthisbumandBodycream🔥 . . ThisCuresdark, Reducesspotsandacne🔥 . . #pavipadukone#teampavi#pavi 3w",NOVEMBER 4,post,255.0,  @barebodyofficial
48728.0," pavii_padukone TheyStalk,theyTalk😃 . . Pc  ❤️❤️ . . #pavipadukone#pavi#teampavi 3w",NOVEMBER 2,post,537.0,  @in__photofactory @focuslock_photography
13044.0," pavii_padukone Inominate     takethischallengefurthernominateyourfriendsguys! .  AlsoIwouldliketonominateallmyfollowerstotakethischallengeandtagtheirfriendstoshowusfunny/wrongwayspeoplearewearingtheirmaskrightnow  Tag andusethe#WhozTakingCareOfYoutowinexcitingprizesbyOnelifeIndia . .  Thisisanawarenessinitiativetakentospreadtheword,thatweallshouldfightagainstthispandemictogetherbywearingourmaskscorrectlyandprotectingourselvesandothersaroundus! hasalsointroducedImmuneTBoosTrwhichisanallinoneblendof12scientificallystudiedingredientstoactasashieldforourimmunity!  Beapartofthiscampaignanddoyourbitinhelpingpeopletofightthispandemic.Takethischallenge,tagyourfriendsandsenduslotsofentriestowinexcitingprizestoo! 3w",NOVEMBER 1,post,437.0,  @pams.g @iamsunithagowda @miss_curly04 @pranathi.prakash @emcee_janhavi To @onelifeindia @onelifeindia
14690.0," pavii_padukone HSNforteisoneofthebestbeautyenhancerthathelpedmeinpromotinghealthyhair,beautifulskinandstrongnailswhichhasbecomemyallinonebeautyroutine.  Thisamazingproducthasbiotinandablendofamla,gotukolawhichimprovedmyhairqualityandstrengthenedthem  Notonlythatmyskinhasanaturalglow,mynailsdon’tbreakveryoftenandiamseeingalotofimprovementinmysleepcycle! Iwouldrecommendyoualltotryit!Doletmeknowyourreviewstoo . UsemycouponcodePavi10andget10%discountnow #nutraceuticals#HSNForte#healthyhair#healthynails#sleep#amla#fit#healthylifestyle#strong#fitness#lifetimenatural 3w",OCTOBER 31,post,408.0,  @😍 .  onelifeindia . #onelifeindia
9446.0, pavii_padukone COMING ❤️ 3w,OCTOBER 31,post,833.0,  @SOON raghurajsakkare_filmworks
30876.0, pavii_padukone 😺 3w,OCTOBER 30,post,351.0, 
53391.0, pavii_padukone 💋 3w,OCTOBER 30,post,699.0, 
15973.0, pavii_padukone 💋 . . Pc  ❤️ 3w,OCTOBER 29,post,421.0,  @focuslock_photography @in__photofactory
