likes,about_post,date,type,comments,tagged_names
17222.0," pchan31 Verified “Idon'tmindgettingon Aswe'regoing,living,gladtobe WellI'llhaveyou,andyou'llhaveme,honey” • • • Thankyou  ",OCTOBER 19,post,328,  @wickinnbc 📸: @jordiehennigar 5w
9264.0," pchan31 Verified There'snodenyingit,climatechangehasintensifiedwildfiresinthewesternpartsofCanada&theU.S.  I'vebeensofortunatetohavetraveledacrossourbeautifulcountrydoingwhatIloveandIfeelaresponsibilitytodomypartinpreservingthisbeautifulplacewecallhome. Asaconsumer,thedecisionswemakeandthebusinesseswechoosetosupportmakeanimpactontheplanet. pledgestoplant10treesforeveryproductsoldandI'mhappytohelpthemgettoabilliontreesplantedaroundtheworldby2030.  Tolearnmorecheckout: fact:PlantphotosynthesishastheremarkableabilitytocaptureatmosphericCO2,releasetheoxygenbackintotheatmosphere,andconvertthecarbonintosugars.Theplantusessomeofthistoproduceabovegroundgrowthsuchasleaves.Meanwhile,asmuchas40percentofthecapturedCO2isreleasedthroughtheplant’srootstofeedsoilmicrobes,whichinturnassisttheplantinacquiringnutrients.)  #environment#sustainability#climatechange#savetheplanet 7w",OCTOBER 3,post,33,  @  tentree @kissthegroundmovie  (fun
6679.0, pchan31 Verified Averyspecialtrip❤️ ,SEPTEMBER 18,post,80,  @tourismtofino 10w
7441.0, pchan31 Verified Whatanepicroadtripthanksto beautifulBritish-Columbiainavanisthewaytodoit! #vanlife#bestplaceonearth 12w,SEPTEMBER 3,post,58,  @karmacampervans Exploring
6886.0," pchan31 Verified SpecialOlympicsathleteshaveknownthepainofisolationandexclusionlongbeforeCOVID-19.Togetherwehavethepowertochangethis.JoinmeforGlobalWeekofInclusionJuly20to26toshowtheworldthatwearebetterwhenwe#ChooseToInclude athlètesd’Olympiquesspéciauxconnaissaientladouleurdel’isolementetdel’exclusionbienavantlapandémiedeCOVID-19.Ensemble,nousavonslepouvoirdechangercela.Joignez-vousàmoiencetteSemainemondialedel’inclusion,du20au26juillet,pourmontreraumondeentierquenoussommesmeilleursquandnousnousengageonsà#ChoisirDInclureavec ",JULY 23,post,26,  @SpecialOCanada  Les @SpecialOCanada 18w
7781.0," pchan31 Verified I’mthrilledtoteamupwith inmakingtwospecialdeliveriesof1,500+bottlesofVOSStotheEvelyneSellerCenter&CaribooHillSalvationArmyinVancouver,togivetheseorganizationsamuchneededresourceduringthisdifficultperiod.ThankyouVOSSforthisincrediblegesture.Swipeforsomeofmyfavoritemomentsfromthedropoffstoday!Staysafe,heathyandhydratedeveryone.🇨🇦❤️ 28w",MAY 13,post,64,  @vossworld
1890.0," pchan31 Verified JoinmeandChristineNesbittforCOASTCommunitySpeakerSeries:LifeTransitions When:ThursdayMarch12,2020 Time:7:30pm Where:CoastPerformanceRehab,NorthVancouver  ThisisabydonationeventwithallproceedsgoingtoRightToPlay. 37w",MARCH 12,post,3, 
5616.0, pchan31 Verified Adreamcometrue🏔🇳🇵#visitnepalyear2020   ,FEBRUARY 16,post,32,  @zealoptics @marmot @lasportivana 40w
3978.0, pchan31 Verified WhatanexperiencetobeSkiMountaineeringinthealpsofSwitzerlandafterit’sdebuthere -It’sbackafter72years🤘🏼-Thankyou forteachingmetheropes.📸: ,JANUARY 15,post,24,  @lausanne2020 @yannickecoeur @kimlucine 45w
4515.0, pchan31 Verified AthleteRoleModels-Classof2020 #lausanne2020 45w,JANUARY 11,post,11,  @youtholympics
4666.0, pchan31 Verified Thecrewhasarrivedat inLondon.We’rebackbaby! 56w,"OCTOBER 31, 2019",post,24,  @budweisergardens
5530.0, pchan31 Verified There’smorethanonewaytoskateacrossCanada🇨🇦🛹⛸#rocktherink 57w,"OCTOBER 20, 2019",post,38, 
7861.0, pchan31 Verified “Theboysarebackintown” QuickcoffeebreakinwindyLethbridgebeforetonight’sshow #rocktherinktour 58w,"OCTOBER 18, 2019",post,43,  @enmaxcentre
7909.0, pchan31 Verified Quickboardmeeting🛹beforetonight’s inVancouveratthe -Lookingforwardto⛸at🏡 59w,"OCTOBER 8, 2019",post,40,  @rocktherinktour @ubctbirdarena
8188.0, pchan31 Verified ThefutureisbrightinChina!Sofunworkingwiththesekids...thanksforhavingus✌🏼 67w,"AUGUST 12, 2019",post,32, 
5200.0, pchan31 Verified Thankyou forthethrillingdrivingexperience🏎Abeautifulchallengingcircuitwithplentyoftechnicalturnsandelevationchanges.The 4Candthestunning M2wereexcitingtodrivebutIthinkthe CaymanStakesthecake.#porschegt4inthenearfuture?🤔Co-pilot: ,"JULY 23, 2019",post,19,  @islandcircuit @alfaromeoofficial @bmw @porsche @elizabethputnam 70w
8139.0, pchan31 Verified GetthelatestonPoppyChanandfollow 🐶#goldenretriever#goldenretrieverofvancouver 75w,"JUNE 15, 2019",post,47,  @vancity.pops
8135.0," pchan31 Verified Thisisit,lastshowofthetour.SeeyoutonightVancouver!#starsonice#soifamily(📸 ","MAY 16, 2019",post,49,  @gregkolz) 80w
7070.0, pchan31 Verified Howyoudoin’Victoria?😎#starsonice#soifamily(📸 ,"MAY 14, 2019",post,63,  @gregkolz) 80w
7672.0, pchan31 Verified WhatanhonortoreceivethekeytothecityofOttawa.ThankyoutohisWorshipJimWatsonforthisincredibleday  ,"APRIL 30, 2019",post,59,  @jimwatsonottawa @📸:cityofottawa 82w
11716.0, pchan31 Verified Poppythescholar ,"MARCH 29, 2019",post,85,  @🐕🎓thepetshopboys 87w
12155.0, pchan31 Verified TodaywecelebrateInternationalFrancophonieDayaroundtheworld🌎Aujourd’huinouscélébronslajournéeinternationaledelaFrancophonieetla50eanniversairedelaLoisurleslanguesofficielles🎊Quelhonneurd’êtreporte-parolepourLesRendez-VousdelaFrancophonie #rvfrancoRVF.ca. 88w,"MARCH 21, 2019",post,54,  @rvfrancophonie
4491.0, pchan31 Verified Rendez-vousdelaFrancophoniesontcommencés!Jesuishonoréd’êtreporte-paroleavec RVF.capourlesactivitésetlesconcours!#RVFranco Rendez-vousdelaFrancophoniehasofficiallystarted!I’mhonoredtobethespokespersonwith CheckoutRVF.caforalltheinfoonactivitiesandcontests!AvailableinFrenchandEnglish😉#RVFranco 90w,"MARCH 2, 2019",post,8,  @carolinesavoie Visitez @carolinesavoie
7205.0, pchan31 Verified Relivesomeofmyfavoritemomentsfrom#TTYCT.Catchittonightat7pmETon 😎 93w,"FEBRUARY 11, 2019",post,30,  @ctv
