likes,about_post,date,type,comments,tagged_names
9912.0," pinchofyum IfyouliveinMinnesota,you'reprobablynostrangertoSwedishMeatballs.Ifyouareanavid,IKEAshopper,youmayhavealsoencounteredthesetinydelights.Ifyouareneitherofthosethings,aSwedishMeatballisbasicallyjustameatballinbrowngravy.Andtheyaresoweirdlydelicious!Thesebabiesaretotallymeatless,allbakedupandboastingbigflavorfromwildriceandmushroomsandstillswimminginthatsavorygravyweknowandlove.⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ Gettherecipe--->https://pinchofyum.com/vegetarian-swedish-meatballs⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ #swedishmeatballs#cozy#holidays#recipe#comfortfood#vegetarian#veg#vegetarianfood#meatless#meatlessmonday 5d",5 DAYS AGO,post,105.0, 
2630.0, pinchofyum Thebestlittlewonder-machineyoueverdidsee.CheckoutsomeofourfaveusesforourbelovedInstantPot.#instantpot  Postandrecipeshere—>https://pinchofyum.com/ways-to-use-your-instant-pot 1w,7 DAYS AGO,post,72.0, 
10009.0," pinchofyum ""DE-LISH-OUS!Madeitlastnightandwe'vebeencuttingoutlittlesliversabouteverycouplehours…Toogood!""Yeah,thisisdefinitelythewaytodoThanksgiving,friends.Makethissilky,absolutelyno-fuss,no-frillswonderandthenjusttaketiny""bites""(read:fullslivers)throughoutthedayandnight.We'dsaysetanalarmbutyourbodywilltakecareofthat.Thisishowyoupeanutbutterpie.⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ Pulsea14-ouncepackageofOreosinafoodprocessoruntilfinecrumbsareformed.Add5tablespoonsofmeltedbutterandmixtocombine.Pressintoa10-inchpiepanandfreeze.⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ Mixallthesetogetherforthefilling:⠀ 1cuppeanutbutter⠀ 1cupsugar⠀ 8ounceswhippedtoppinglikeCoolWhip⠀ 8ouncescreamcheese⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ Pourintothecrust,smoothitout,andfreezeuntilsolid(about3-4hours).Sliceandserveandbechangedforever.⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ #pie#thanksgiving#peanutbutter#dessert#sweettooth#onthetable#feedfeed#foodblogfeed#eeeeeats#easyrecipes#recipe#instayum#eatingfortheinsta 1w",NOVEMBER 19,post,186.0, 
11189.0," pinchofyum Theremaybesomerealchickenpotpiepuristsoutthereandwegetit,thatflakypiecrustisreallysomethingspecial.But...like...canwetalkabouthomemadebiscuits?!Arguablymucheasiertomakeandstillgoldenandbutteryandsodelicious!Andwhenwe'retalkingaboutthatbubblingdeliciousgravyrichwithshallotsandthyme,creamychickenandbrightcarrotsandpeas,wecanallagreethatchickenpotpieisthebestthereissoitshouldn'treallymatterwhat'sontop(butalsohi,pleasemakeitwiththehomemadebiscuits).⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ Gettherecipe--->https://pinchofyum.com/chicken-pot-pie-with-biscuits⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ #chickenpotpie#cozy#comfortfood#chicken#biscuits#onthetable#foodgawker#feedfeed#foodblogfeed#f52grams#realfood#eeeeeats#easyrecipes#recipe#instayum#eatingfortheinsta 1w",NOVEMBER 14,post,127.0, 
8694.0," pinchofyum Maybeyoudon'tfancyyourselfabreadsmithandcertainlynotabreadsmithon,like,aregularoldThursdaynight.Butrestassured,youcanandyoushall!Especiallywiththistrulydumb-easy,absolutelynoknead,breadsituation.Stireverythingtogetherthenightbefore,totallyforgetthatyoudidthatandthensurprise!,yougettobakeupadelightfulcrustychewyrip-apartdream.⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ Gettherecipe--->https://pinchofyum.com/no-knead-bread⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ #bread#breadrecipe#baking#amateurbaker#cozy#comfortfood#recipe#easyrecipe 2w",NOVEMBER 13,post,95.0, 
8661.0," pinchofyum Crispyroastedsweetpotatoes,kale,creamyavocado,andhelloaperfectjammyeggareourfavoritesherebutthisoneissuperversatiletomeetyourbowl-buildingneeds.Butpleaseohplease,hotorcold,veganornot,piledhighorlow...howeveryoubowl,donotskiptheGENEROUSDRIZZLEofchipotletahinisauce.Creamy,smoky,andveganwithasurprisebitoforangejuiceswirlingintheremakingthisanaddictinglydelicious,eat-on-everythingwinner.⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ BlendupfortheChipotleTahini:⠀ 1/2cupoliveoil⠀ 1/4cupwater⠀ 1/4cuptahini⠀ 1–2chipotlesinadobosauce⠀ 1smallcloveofgarlic⠀ juiceof1orange(about1/4cup)⠀ 1/2teaspoonsalt⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ DrizzleChipotleTahinionbowlswithroastedsweetpotatoes,sautéedkale,quinoa,avocado,andasoftboiledegg.SOGOOD.⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ #vegetarian#veg#vegetarianfood#meatless#meatlessmonday#healthyrecipeshare#cleaneating#eatclean#realfood#eatrealfood 2w",NOVEMBER 12,post,86.0, 
6245.0," pinchofyum It'srarewerecommendamake-at-home-drinktreatunlessitissomethingweloveloveloveandthatfeelsspecialbutalsoiseasierthanitshouldbe.Andhereweare!Sweetbutnottoosweet,warmlyspiced,creamyfrothyrichOatmilkHoneyLatte.It'sadrinkablehugandit'sgettingusthrougheverymorning/mid-afternoon/fineokalsosometimesevening.⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ Newontheblog!--->https://pinchofyum.com/oatmilk-honey-latte⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ #latte#oatmilk#barista#coffee#mornings#cozy#f52grams#eeeeeats#easyrecipes#recipe#instayum#eatingfortheinsta 2w",NOVEMBER 9,post,89.0, 
7914.0," pinchofyum Goingoutforafancydinneris...well,it'snotreallyathingthisyear.AndtheenergytoMAKEafancyelaboratedinneris...well,it'snotreallyathingthisweek.Butinrollsthisdeceptivelyeasy,fake-fancy,royalgemmakingitallhappenforusintheverybestway.Searedspicedshrimpthatyouabsolutely*must*restrainyourselffromeatingstraightoutofthepansoyoucannestlethemintothatbedofcreamyrichcauliflowermashandtender,smoky,garlickysauteedkale.⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ Gettherecipe--->https://pinchofyum.com/spicy-shrimp-cauliflower-mash-roasted-kale⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ #shrimp#cauliflower#glutenfree#datenight#healthyrecipeshare#cleaneating#eatclean#realfood#eatrealfood 2w",NOVEMBER 6,post,57.0, 
8125.0," pinchofyum Weallneedsomepastarightnow,yes?Ahighlightofthispastadishisdefinitelythelife-changinglysimplesilkysavorypumpkincreamsaucebutwhatwereallywanttobringyourattentiontoistherosemarywalnutcrispiessprinkledontop.Copythat?Probablyoughttomakedouble/triplebatchbecauseyou'regonnawannascatterthemonEV.ER.Y.THING.⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ Heatafewtablespoonsofbutterinaskilletandsauté4clovesofgarlic(minced)untilfragrant.Add1cupofeachandsimmeruntilsmooth:pumpkinpuree,vegetablebroth,andheavycream.Addateaspoonortwoofkoshersaltandsqueezeoflemon,andthenapoundofpasta(cooked).⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ Forthewalnutcrispies:Runacupofwalnutsthroughthefoodprocessoruntilfinelychopped,andthentoastfor8-10minsat375degreesintheoven.Removefromtheovenandtosswith1tablespoonofeach:freshrosemaryleaves(chopped),meltedbutter,andbrownsugar.Addsaltandpeppertotaste.Sprinkleonyourpastabowls!⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ #pumpkin#pasta#noodles#vegetarian#veg#vegetarianfood#meatless#meatlessmonday#comfortfood 3w",NOVEMBER 4,post,71.0, 
20158.0," pinchofyum It'shardtochooseafavoritecookiebutluckilyyoudon'thaveto.""Acookieforeveryoccasion,""that'swhatwesay!Andthese...these,dearhearts,aregoingtoknockyoursocksoff.Athin,crispygoldenedgewithachewygooeycenterandadeeprichalmostcaramelyflavorthankstoaheftyamountofbeautiful,patientlybrownedbutter.Theyareforanightyoureallywanttoshine,ashowstopperworthyofaHollywoodhandshake.⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ Newontheblog!--->https://pinchofyum.com/browned-butter-chocolate-chip-cookies⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ #cookies#chocolate#dessert#baking#sweettooth#onthetable#eeeeeats#easyrecipes#recipe#instayum#eatingfortheinsta 3w",NOVEMBER 3,post,198.0, 
