likes,about_post,date,type,comments,tagged_names
1409.0," pketron Verified Resurrectinganoldphotobecauseduringthisandeveryelection,weshouldexerciseourrighttovoteandmakeourvoicesheard.Thankyoutothoseofyouwhohavealreadyvoted.Ifyouhaven’tyet,pleasepleasepleasegetoutandvotetomorrow.Rememberthatneithercandidatewillsolvealloftheproblemsthatthiscountryisfacing,butthereisonlyoneclearoptionforthosewhocareaboutthefutureofourchildren,ourcountry,andourplanet.#votehimout#bidenharris2020 3w",NOVEMBER 3,post,24, 
2861.0, pketron Verified HopeeveryonehadasafeandspooooookyHalloween!(anyfellowMurderinosoutthere?) 3w,NOVEMBER 1,post,61, 
4997.0," pketron Verified TocommemorateCoop’sInandOutDay!It’sactuallyfromafewweeksago.Itookthephotoontime,butthenwaitedtwoweekstopostit.🙈Inanycase,38weeks2daysold/38weeks2daysinutero! 5w",OCTOBER 17,post,126, 
1614.0," pketron Verified Editedusingthenewcolorgradingtoolscomingsoonto Ifyoumissedtheannouncementtheotherday,followthelinkinmybiotoviewasneakpreviewvideoImadeallaboutit. 7w",OCTOBER 3,post,30,  @lightroom.
4278.0, pketron Verified Someoneoutgrewhisbabybathtub 10w,SEPTEMBER 18,post,57, 
3217.0, pketron Verified TakenyesterdaybeforeEarthturnedintoMarshereintheBayArea.  #babiesinboxes 11w,SEPTEMBER 10,post,78, 
1705.0, pketron Verified ThelightinCaliforniahasbeensomethingelsethesedaysduringthewildfires. 11w,SEPTEMBER 9,post,18, 
2668.0, pketron Verified August2020homelife 13w,AUGUST 24,post,73, 
3294.0, pketron Verified Alreadyhelpingmomfindthegoodlight 14w,AUGUST 15,post,87, 
1472.0, pketron Verified Takingamoment  #lr_archive 15w,AUGUST 13,post,33, 
2589.0," pketron Verified ThelookonCoop’sfacesaysitall.It’sbeen150dayssinceBreonnaTaylorwasmurderedinhersleepbyJonathanMattingly,BrettHankison,andMylesCosgrove—andherkillershavenotbeencharged.ToooftenBlackwomenwhodiefrompoliceviolenceareforgotten.Let’sstayloud,keepdemandingjusticeforBreonnaandherfamily,andSAYHERNAME.Thiscampaignandt-shirtwascreatedby inpartnershipwiththeBreonnaTaylorFoundation,towhichallprofitswillbedonated.(Portraitonthebackoftheshirtisby ",AUGUST 10,post,29,  @phenomenal @arlyn.garcia) 15w
3084.0," pketron Verified Threeyearsago,ImarchedupthestairsofSanFranciscoCityHallandputaringonit.Happyanniversary, by ",AUGUST 3,post,139,  @mikiersmith!  Photos @dianarothery 16w
6502.0," pketron Verified Mysonturned6monthsoldyesterdayandIcelebratedbygoingbacktowork.I’msadthatmymaternityleavehascometoaclose,butI’mgratefulthatIwasabletospendthefirsthalfoftheyearfocusedexclusivelyonhim.Whenhewasborn,ourworldshrunktoexistmainlywithinthewallsofourapartment,andthepandemicandshelter-in-placeorderskeptitthere.Forme,itwasablessingindisguiseinthisway.WehavespentveryfewhoursapartfromoneanotherandwillcontinuetoenjoythisclosenessasIreturntoworkremotelywithoutchildcare(bychoicebecauseCOVID).  Sidenote:Iamthankfulmyemployervaluesfamiliesandoffersconsiderablepaidparentalleave.It’ssomethingIwishwasavailableforallnewparents,butitisnotcurrentlyguaranteedintheUS,likeitisinbasicallyallotherdevelopedcountriesintheworld.Itisalsoyetanotherthingthatdisproportionatelyaffectswomenofcolorandlow-incomewomen.Inthisnewworldwe’reallfightingfor,let’salsocontinuetoadvocateforfederalpaidleavebenefitsforbothmothersandfathers.  P.S.Thankyou Also,swipetoseethephotothatstartedmy“dryerseries”ofbabyphotosfromwhenhewas6daysold. 20w",JULY 7,post,145,  @adobe!
2745.0," pketron Verified HappyfirstFather’sDay, There’snooneI’dratherraiseourlittlefamilywith.Ican’twaittoseewhatthefuturehasinstoreforus.❤️ 22w",JUNE 22,post,67,  @mikiersmith.
