likes,about_post,date,type,comments,tagged_names
31934.0, praju_starlet Iknowhowtomaketheatmospherenice!😉 3d,3 DAYS AGO,post,420.0, 
28114.0," praju_starlet Butthat'sfine,becauseIliketohavecontroloftheambience💚 1w",NOVEMBER 13,post,341.0, 
16885.0, praju_starlet Ilovetheconfidencethatmakeovergivesme🖤 ,SEPTEMBER 26,post,178.0,  @aditimakeupartist 8w
30338.0, praju_starlet Bebacksoon😉 9w,SEPTEMBER 17,post,552.0, 
27702.0," praju_starlet Climateiswhatweexpect,weatheriswhatweget...! 10w",SEPTEMBER 9,post,272.0, 
24808.0, praju_starlet Ifyou’regoingtobetwo-facedatleastmakeoneofthempretty...⚡️#studiography#makeovercosmetics#necromanticarts#smashingeyemakeup🔥 ,AUGUST 29,post,372.0,  @aditimakeupartist 12w
17283.0, praju_starlet गणेशचतुर्थीच्याहर्दिकसुभेच्यासर्व्वाना🙏🏻#vighnhrtagnesha#ganpatibappamorya🌺 13w,AUGUST 22,post,0.0, 
34038.0, praju_starlet I'mleavingbecausetheweatheristoogood....#wanderlust#fashion#forest#monsoondiaries#storm#trekking#rainbow#naturelovers#landscape#mobilephotography#travelgram#green#instadaily#thunderstorm#monsoons#raining#indian#wind#water#sahyadri#trek#rainydays#lockdown#beautiful#art#canon#rainfalltattoo 18w,JULY 19,post,0.0, 
20919.0, praju_starlet Beyourownkindofbeautiful🤎 19w,JULY 14,post,0.0, 
30941.0, praju_starlet Sundaychecklist:donothing&chill😉🖤#sundayvibes#bestmemories#chillingathome#lockdown2020 20w,JULY 5,post,0.0, 
32182.0, praju_starlet Bekindwheneverpossible.Itisalwayspossible:) 20w,JULY 4,post,0.0, 
34164.0," praju_starlet Itisnothowmuchwehave,buthowmuchweenjoy,thatmakeshappiness🥳 21w",JULY 1,post,0.0, 
45665.0," praju_starlet Lifeisgood,especiallyonaFriday😉✌🏻#weekendvibes#outdoor#mansoonlover#lovelymood#happyme#prajustarlet✨ 23w",JUNE 12,post,0.0, 
34776.0," praju_starlet TakemeasIam,orwatchmeasIgo😉...#lockdownlife#thickthings#supermoments#affection#destiny#happyplanner#sunkissed#stayhome#staysafe#lockdown2020🔐🏠 26w",MAY 26,post,0.0, 
20567.0, praju_starlet Lifeswingslikeapendulumbackward&forwardbetweenpain&happiness🤍#staysafeoutthere#protectyourself🧩 35w,MARCH 22,post,0.0, 
39084.0, praju_starlet IthoughtI'dbefamousforbeingcute😝🥰#cutoholic#newaffection#greataura#superkindness#girlmotivationñ 36w,MARCH 15,post,0.0, 
41592.0," praju_starlet Nowit'stimeforustositbackandrelax,let'spartywith#SHEINGirlPowerduring2ndMar-8thMar.Usemycode“WD120”forextra10%offentiresiteofwww.shein.inorSHEINAPP.(Couponcodevalidtill8thApr)  Outfit-  - #sheingirlpower#black#romper#romperseason#summer#summervibes#summertime#pose#foryou#picoftheday#picture#color#colorful#loveyourself#gngindia#glitznglamindia#brandconnect ",MARCH 7,post,0.0,  @sheinofficial @shein_in  Collab @gngindia #shein @#collaboration 37w
54649.0," praju_starlet BePrettyandactprofessionallywhenIamatwork.Let'scelebrateourfestivalwith #SHEINGirlPowerduring2ndMar-8thMar.UsemycodeWD107forextra10%offentiresiteofwww.shein.inorSHEINAPP.(Couponcodevalidtill8thApr).""Forcollaboration:  #sheinofficial#sheingals#sheinfashion#prajaktadusane#CELEBRITY#YouthIcon#WomenEntrepreneur#Queenism#gngindia#glitznglamindia 37w",MARCH 4,post,0.0,  @sheinofficial @gngindia @sagarkapadia ••• #shein
53705.0, praju_starlet Evenformelifehaditsgleamsofsunshine....☀️ 38w,MARCH 3,post,0.0, 
35547.0, praju_starlet HelloFebruary🥂-themonthoflove💕.... 42w,FEBRUARY 1,post,0.0, 
42518.0, praju_starlet Therearefarbetterthingsaheadthananyweleavebehind...#latepost#lookforword#newyear#peace#happiness#joy#positve#heart#understanding#many#things#experience#grow#brave#strength#faith#trurttheprocess#knowyourworth#bright#future 45w,JANUARY 11,post,0.0, 
29741.0," praju_starlet Whenathingisdone,it's✅#Dontlookback💁‍♀️Lookingforwardtonextobjective💃#bye2019👋🏻 47w","DECEMBER 31, 2019",post,0.0, 
32090.0, praju_starlet Helloडिसेम्बर🙋‍♀️ IgetexcitedforbiggamesinDecember🥳 #happinessmatters#postivevibes#inspiration#achievinggoals#fortnitelovers#prajustarlet✨ 51w,"DECEMBER 1, 2019",post,0.0, 
35545.0, praju_starlet Eyeshavetheirownvocabulary...Whatabeautifullanguagetolearn!#tuesdaythought#moodygrams#positivevibestribe#attitudeineyes#loveyourself#instamoment#prajustarlet✨ 53w,"NOVEMBER 19, 2019",post,0.0, 
28514.0, praju_starlet Iamagluttonfortranquility❣️#behindthescence#tranquilnature#lovelyscenery#pieceofmind🍁 58w,"OCTOBER 15, 2019",post,0.0, 
36934.0," praju_starlet Teetharen’tpearly,untilyousmile:)#smileofkindness#blissfulness#happydays#happylife 60w","SEPTEMBER 29, 2019",post,0.0, 
56431.0, praju_starlet Sexinesshasitsdifferentroles!!😉 61w,"SEPTEMBER 20, 2019",post,0.0, 
60429.0," praju_starlet I'malwayshappywhenI'msurroundedbywater,IthinkI'maMermaidorIwasamermaid🧜🏻‍♀️ 62w","SEPTEMBER 16, 2019",post,0.0, 
26998.0, praju_starlet #Blackasthedevil#hotashell#pureasanangel#sweetaslove❤️ 62w,"SEPTEMBER 13, 2019",post,0.0, 
38236.0, praju_starlet Bemindful.Begrateful.Bepositive.Betrue.#behindthescenes🎬 64w,"AUGUST 29, 2019",post,0.0, 
31031.0," praju_starlet Becausehappinessisnotagoal,itisaby-product:))) 66w","AUGUST 21, 2019",post,0.0, 
49320.0, praju_starlet Liveboldlynow.Latermaynotbean ,"AUGUST 18, 2019",post,0.0,  @option😉📸ajaypatilphotography 66w
31224.0," praju_starlet Well,myfavoritecolorIguessIwouldsayyellow💛causeeverybodyisnicertomewhenI'minyellow🙃 66w","AUGUST 16, 2019",post,0.0, 
77310.0, praju_starlet Heyflashy!!! 67w,"AUGUST 7, 2019",post,0.0, 
35634.0, praju_starlet Afriendisonewhobelievesinyouwhenyouhaveceasedtobelieveinyourself❤️#tweetylola👯‍♀️#togetherforever💕 68w,"AUGUST 4, 2019",post,0.0, 
37596.0, praju_starlet Whatyouseekisseekingyou! 68w,"AUGUST 3, 2019",post,0.0, 
93795.0," praju_starlet Don'tjustthink,ponder..!Don'tjusttake,give..!Don'tjustsee,feel..!Don’tjustdream,do..!Don'tjusthearlisten..!Don'tjusttalk,act..!Don'tjusttell,show..!Don'tjustexist,live..!#justdoitwhateveryouwant✌🏻 69w","JULY 26, 2019",post,0.0, 
53690.0, praju_starlet IcallitlikeIseeit.Idon'tholdbackwhenitcomestobeingcandidonthehotissues😉 70w,"JULY 19, 2019",post,0.0, 
33519.0, praju_starlet Theeyeshouldlearntolistenbeforeit! #highvibe#lovebeginsathome#alotonmymind🖤 71w,"JULY 10, 2019",post,0.0, 
45537.0, praju_starlet Everysmilemakesyouadayyounger:) 74w,"JUNE 21, 2019",post,0.0, 
62897.0, praju_starlet I’mhappy.Whichoftenlookslikecrazy😉 75w,"JUNE 13, 2019",post,0.0, 
36010.0, praju_starlet Smilefromyourheart;nothingismorebeautifulthanawomanwhoishappytobeherself😊 76w,"JUNE 6, 2019",post,0.0, 
38434.0, praju_starlet Ineverthinkaboutmystylebutjusttryandmakethepictureslookbelievable🤞🏻 ,"MAY 21, 2019",post,0.0,  @Pc📷ajaypatilphotography 79w
46050.0, praju_starlet Iliketomixthestreetlookwithclassyandsexy.Icallit'hoodchic’✌🏻 79w,"MAY 16, 2019",post,0.0, 
