likes,about_post,date,type,comments,tagged_names
689686.0," priyankachopra Verified “Sunisshining,theweatherissweet…”  #FendiPeekaboo#Fendicons  📷:  ",9 HOURS AGO,post,1201.0,  @fendi @fisforfendi @divya_jyoti Styling: @luxurylaw 9h
1406358.0," priyankachopra Verified Thefutureofourplanetisinourhands.That’swhyon10.10.20,I’llbehosting —afree,live,globaleventtochangehowwetackleclimatechange.Areyoureadyto#JoinTheCountdown?Tuneinat3:50pmETon YouTubechannel. 1d",1 DAY AGO,video,3273.0,  @TEDCountdown @ted’s
1504382.0, priyankachopra Verified Everyshootis#Unfinishedunless makesanappearance.🐶❤️ #BTS#Unfinished#covershoot  Photographer:    ,3 DAYS AGO,video,1466.0,  @diariesofdiana @eccles Makeup: @patidubroff Hair: @cwoodhair Styling: @stylememaeve 3d
2923518.0," priyankachopra Verified ...Andso,whileyou’lldefinitelylearnabouthowIbecamemeduringthe“inbetween”ofwhatyouhaven’tseen,Ialsohopeyou’llwalkawaywiththeconfidenceofknowingthatIT’SOKtopickup,walkaway,leavethingsunfinished,andmoveontowhat’snextifthat’swhatyourjourneyrequirestogettothenextdestination.Weallhaveadifferentstorytotell,thisismystory,andIam#Unfinished.  PRE-ORDERNOW!(linkinbio) 1w",7 DAYS AGO,video,4214.0, 
1550075.0," priyankachopra Verified ...Myparentstaughtmeataveryyoungagetohavecourageofconviction,andI’veneverbeenambivalentaboutthis.Ihavealwaysbeenguidedbymycuriosity,driveforchallenge,andintrinsicneedtoconstantlyevolveandmoveforward.Ihavetakenmanyleapsoffaith,oftentimeswhenIwasadvisednotto...andevenwhenItoowasafraid.Someriskspaidoff,somedidn’t(mylifeisnotafairytale,althoughIdohatetolose...c'estlavie),butwhatIlearnedduringthisprocessisthatIhavenevershiedawayfromchange,orforcedguiltonmyselfforleavingsomethingunfinishedifthat’swhatmyevolutionasanindividualrequired...#unfinished  PRE-ORDERNOW!(linkinbio) 1w",7 DAYS AGO,video,2724.0, 
1129599.0," priyankachopra Verified Ironically,InamedthismemoiryearsbeforeIstartedwritingit.Havingbeenapublicpersonnowfor20years,withsomuchlifetoliveandalonglistofthingstocheckoffmylistpersonallyandprofessionally,Iamverymuch#Unfinished.BUTthefunnythingaboutwritingamemoiristhatitforcesyoutolookatthingsdifferently,reconcilingsomanythingsyouthoughtyouhadputtobed.IndoingsoI’verealizedthatbeing“unfinished""hasdeepermeaningforme,andhasinfactbeenoneofthemostcommonthreadsofmylife...  PRE-ORDERNOW!(linkinbio)  📸: ",7 DAYS AGO,post,2747.0,  @eccles 1w
4652115.0, priyankachopra Verified Thisismystory.#unfinished     📸:  2018 1w,OCTOBER 2,video,1503.0,"  @vogue @annieleibovitz,"
1588712.0, priyankachopra Verified Thisismystory.#unfinished     📸: 2016 1w,OCTOBER 1,video,1182.0,"  @time,"
1964455.0, priyankachopra Verified Thisismystory.#unfinished 1w,OCTOBER 1,video,1162.0, 
1065077.0, priyankachopra Verified Weallhaveajourneyandastorytotell.#unfinished 1w,OCTOBER 1,video,1345.0, 
