likes,about_post,date,type,comments,tagged_names
3132.0, priyankatyagi03 Uffthissong🥵🥵 #reels#reelsinstagram 16h,16 HOURS AGO,post,62, 
5030.0, priyankatyagi03 #goodmorning#reels#reelsinstagram❤️❤️ 2d,2 DAYS AGO,post,140, 
7697.0, priyankatyagi03 चेहराक्यादेखतेहो????  . 🤪🤪 2d,2 DAYS AGO,post,35, 
1608.0, priyankatyagi03 #ladkidramebaazhai  #ladkidramebaaz 2d,2 DAYS AGO,post,163,  @mojindia @zeestudiosofficial
8919.0, priyankatyagi03 Remembranceofmoments🌼 . . Outfitstitchedby ,3 DAYS AGO,post,186,  @s.k_fashion_stylish_designer 3d
7934.0, priyankatyagi03 Yaarcan’tcontrolmylaugh😂🤪#reels#reelsinstagram 3d,3 DAYS AGO,post,148, 
7833.0," priyankatyagi03 Everybodyisstanding,butyoumuststand 🌼🌼 Outfitstitchedby #lovely#prilaga#mensfashion#fashionable#love#fashionmodel#modeling#hijabfashion#fashion#fashionstyle#mylove#instafashion#streetfashion#fashiongram#loveit#naturelovers#models#instalove#fitnessmodel#fashionblogger#model#fashionista#modellife#loveyourselffirst 4d",4 DAYS AGO,post,171,  @s.k_fashion_stylish_designer . . .  #modelo
8617.0, priyankatyagi03 👋hiii .sareeme 💃 . . . #modelo#lovely#prilaga#mensfashion#fashionable#love#fashionmodel#modeling#hijabfashion#fashion#fashionstyle#mylove#instafashion#streetfashion#fashiongram#loveit#naturelovers#models#instalove#fitnessmodel#fashionblogger#model#fashionista#modellife#loveyourself 5d,5 DAYS AGO,post,78, 
2154.0, priyankatyagi03 इसीकेसाथशुभरात्रि🤗🙏🏻 #reels ,7 DAYS AGO,post,127,  @#reelsinstagram . mojindia 1w
8686.0, priyankatyagi03 Whentheproductisrightflauntit. Inlovewith handmadeproducts🥰🥰 Speciallythehandmadebodyyogurt💋 1w,7 DAYS AGO,post,138,  @seasons_skincare
6854.0, priyankatyagi03 Agirlshouldbetwothings:CLASSYandFABULOUS.  Outfit  #beautiful#summer#nature#girl#style#family#pretty#home#spring#live#portrait#tree#garden#outdoors#summertime#people#house#forest#clothing#wood#photograph#one#outside#traditional#window#bad 1w,NOVEMBER 16,post,76,  @aradhya_designer  🌼🌼 📷 @darshan_bhanushali_photography . . . #fashion
4380.0, priyankatyagi03 Goodmorning❤️❤️ #reels#reelsinstagram 1w,NOVEMBER 15,post,87, 
6274.0, priyankatyagi03 Rejoiceonthisblessedoccasionbyspreadingjoywithyourfriendsandlovedones.HappyDiwali! . #happydiwali#diwali#festivalvibes#favfestival . 📷shotby by ,NOVEMBER 14,post,186,  @darshan_bhanushali_photography Outfit @aradhya_designer 1w
7871.0, priyankatyagi03 WishingyouallaveryhappyDHANTERSASANDCHOTIDIWALI🪔 #saree#diwali#festivefashion#diwalilook Diwalivibeseverywhere🪔 . Saree-fromudaipur Blousestitchedby- - ,NOVEMBER 13,post,107,  @s.k_fashion_stylish_designer Earrings @hm 1w
4686.0, priyankatyagi03 ishtyllleemeinrehneka😹😹👋 . #reels#reelsin 1w,NOVEMBER 12,post,243, 
12436.0, priyankatyagi03 दिल्लीकियादें🌼 . #fashion#beautiful#cute#summer#nature#girl#style#smile#hair#spring#face#photograph#glamour#lady#present#eye 2w,NOVEMBER 10,post,113, 
6352.0, priyankatyagi03 लेतेरेसंगहोचली👋👋👯‍♀️ .  #fashion#beautiful#nature#hair#pretty#green#dress#spring#live#portrait#lovely#garden#outdoors#summertime#people#park#girlfriend#photograph#outside#child#grass 2w,NOVEMBER 9,post,94, 
