likes,about_post,date,type,comments,tagged_names
4793.0," purbaasha Usee,amaskdoesn'thideu,itexposesu,sodotheyloveuorthemaskuputoneveryday? tyforthiscoolmask😷 1d",1 DAY AGO,post,44,  @🎭🙃 themaskmaniacs
2486.0, purbaasha Itsnevertoolatetosaysaree😎 Beautifulsareeby ,2 DAYS AGO,post,41,  @kavya_shopping 2d
1190.0, purbaasha FromPurbashatoPoorealquick💯😎 Beautifulsareeby ,4 DAYS AGO,post,120,  @kavya_shopping 4d
7209.0, purbaasha RememberTraveling&adventures??🤣 YaneitherdoI😫 1w,7 DAYS AGO,post,60, 
2448.0," purbaasha Don'tburstaPataka,beone🧨💥✨💫 1w",NOVEMBER 15,post,44, 
1987.0, purbaasha Alldresseduptogoout&sitinmylivingroom✨💫 #diwali2020 1w,NOVEMBER 15,post,40, 
2307.0, purbaasha HappyDiwali!!💥✨💫🌟 1w,NOVEMBER 14,post,35, 
1162.0, purbaasha Diwaliready🥰💥✨💫 1w,NOVEMBER 14,post,79, 
5825.0, purbaasha Thegirlinthegreenscarf🧣 Ty & forsendingmethisbeautifulscarf🥰 1w,NOVEMBER 12,post,61,  @rheana.accessories @_crewscloset_
3639.0, purbaasha HurricanemixedwithSunshine☀️🌪🌈 Ty & forthisgorgeousscarf🧣 📸- ,NOVEMBER 11,post,46,  @rheana.accessories @_crewscloset_ @picxellence_31 1w
2162.0, purbaasha Tellmeaboutitstud💋 2w,NOVEMBER 9,post,86, 
5102.0, purbaasha Doesmysparkleburnureyes?✨ 😅 2w,NOVEMBER 8,post,10, 
582.0," purbaasha Gotverifiedonsnapchatuguys!!👻Ican'tbelievethis😍Iamsohappyrn,wasn'texpectingitatol!!Thankyousomuchforallthelove&supportinstafam&snapchatfam🙌🏻Iloveuguys😍 👻-purba.das 2w",NOVEMBER 8,post,72, 
3678.0," purbaasha Lifeistrickybaby,stayinurMAGIC✨ 2w",NOVEMBER 7,post,86, 
4308.0," purbaasha Mirchi🌶Mirchi🌶Mirchi🌶 Nazreintirchi,shakalhaifirni, Harkateinfilmi🎥🎞 2w",NOVEMBER 6,post,67, 
4072.0, purbaasha Fromheartbrokentoheartlessrealquick💔 2w,NOVEMBER 5,post,179, 
8412.0, purbaasha 🌶🌶🌶 2w,NOVEMBER 4,post,70, 
1986.0, purbaasha 5waysucanstyleurscarfasatop💁🏻‍♀️🧣Ty & forsendingmethesegorgeousscarfs☺️ 3w,NOVEMBER 3,post,64,  @rheana.accessories @_crewscloset_
3416.0, purbaasha Snackthattalksback😛 3w,NOVEMBER 2,post,81, 
4319.0, purbaasha Iameverythinguwishtobe🦄🔮💁🏻‍♀️ 3w,OCTOBER 29,post,0, 
10296.0, purbaasha Bigginishoot👻Twopiecesonly✌🏻😛 4w,OCTOBER 27,post,24, 
1231.0, purbaasha 👑MaharaniVibesonly👑✌🏻🙌🏻 4w,OCTOBER 26,post,16, 
990.0, purbaasha Notacceptingrishtasyetbutwouldmakeagr8profileonshaadi.com😛 4w,OCTOBER 26,post,20, 
1129.0, purbaasha HappyDessehra!🙏🏻Mayusucceedinremovingallevilfromyourlife.Believeinthepowerofgood. 4w,OCTOBER 26,post,20, 
1286.0, purbaasha Celebratingthetriumphofgoodoverevil.ShubhoBijayaDashami🙏🏻 4w,OCTOBER 26,post,23, 
1382.0, purbaasha ShubhoBijayaDashami🙏🏻 4w,OCTOBER 26,post,56, 
2395.0, purbaasha ShubhoNavami🙏🏻☺️ 4w,OCTOBER 25,post,88, 
4183.0, purbaasha Saree-ADresswithasoul♥️ 4w,OCTOBER 24,post,53, 
2564.0, purbaasha ShubhoAshtami🙏🏻☺️ 4w,OCTOBER 24,post,108, 
4676.0, purbaasha DuggaDugga🙏🏻 4w,OCTOBER 23,post,60, 
2710.0, purbaasha Letmesetyoursoulonfire🔥💥 📸- ,OCTOBER 22,post,53,  @thebarcakidd 4w
3249.0, purbaasha Sareenotsorry🌸🦄💕 📸- ,OCTOBER 21,post,108,  @thebarcakidd 4w
2529.0, purbaasha MusiconWorldoff🎧🎶🎵 Theamazingsoundby Rock-n-RollLoungeHeadsethasmyfoot-tappingthroughout!🎶 . . . . . . #FINGERSAddict 4w,OCTOBER 21,post,60,  @fingersindia
1703.0, purbaasha YoumakemefeellikeI'mlivingaTeenageDream🥰💃🏻✨ ,OCTOBER 20,post,59,  @madamefashions #letyourdenimtalk 5w
2046.0," purbaasha HeyInstaFam!ShubhoNavratri!ThisDurgaPoojaIdiscoveredthebestanti-agingandyouthfulcareformyskinwithapremiumrangeofproductsfrom Anti-AgingFaceSculptingMask,MitchellUSALift&FirmInstantFaceTighteningandAntiAgingSerum,andMitchellUSASunscreenSPF45.Theseproductsare‘MadeforIndianskin’intheUSAandaredermatologicallytestedonIndianskin.MitchellUSAproductsareinfusedwith‘BrahmaKamal’orWhiteSacredLotusseedextractswhichhasbeenanancientsecretbeautyingredientofIndianWomen.  YouguyscanalsogetthisamazingglowonyourfacewithMitchellUSAproducts.  Theproductsareavailableonwww.mitchellusa.co.in/collections/anti-aging Checkoutthelinkinmybiodescription  TryoneofMitchellUSA’sbestsellingproductsfora15%Discount.  UsemyexclusivecodeforyouCouponPURBALC15 Buyinglink-http://bit.ly/LinelessEyeComplex_IGPB  Thanksforreading,Somakesureyougoandgetyouragelessbeautyproductstoday🤩🤩  #MitchellUSA#AntiAging#AntiAgeingSkinCare#SacredLotusSeedExtracts#PersonalCare#LinelessEyeComplex#UnderEyeSerum#DayNightHairTonic#SacredLotus#NeckCream#Sunscreen#AntiWrinkleCream#DarkSpotRemover#AlcoholFreeToner#AntiAgingFootCream#ExfoliatingCream#PapayaFacewash#BijoyaDashami#NightCream#footcream 5w",OCTOBER 20,post,42,  @mitchellusaindia-
2358.0," purbaasha Turnthevolumeup,Closeyoureyes&letmusictakeoveryoursoul♥️🎧🎶 Theamazingsoundby Rock-n-RollLoungeHeadsethasmyfoot-tappingthroughout!🎶 . . . . . . #FINGERSAddict 5w",OCTOBER 19,post,15,  @fingersindia
4837.0, purbaasha Nothingcandimthelightwhichshinesfromwithin✨💫🌟 📸- ,OCTOBER 18,post,23,  @thebarcakidd 5w
2186.0, purbaasha Letmeshowuhowitsdone💋 5w,OCTOBER 17,post,37, 
4297.0, purbaasha Yougotthatdevilinyoureyes🧿 Thankyou forthiselegantevileyebracelet hasnowenabledyoutoshopwithyourfriendsonline!Shopthemostexclusivebrandswithyourfriendstoday  #crewscloset#gatheryourcrew#socialshopping 📸- ,OCTOBER 16,post,67,  @_crewscloset_ @😍🥰 _crewscloset_ @the_pixeleyes 5w
3117.0, purbaasha Thickthighsandprettyeyes💁🏻‍♀️ Wearing-  ,OCTOBER 15,post,23,  @srstore09 📸- @shotfromabhi 5w
2840.0," purbaasha Call911,Iamonfire🔥 Wearing-  ",OCTOBER 15,post,37,  @srstore09 📸- @shotfromabhi 5w
2230.0," purbaasha Yourbiggesthaterisneverastranger🧿 Thankyou forthisbeautifulevileyebracelet,soinlovewithit hasnowenabledyoutoshopwithyourfriendsonline!Shopthemostexclusivebrandswithyourfriendstoday  #crewscloset#gatheryourcrew#socialshopping 📸- ",OCTOBER 14,post,67,  @_crewscloset_ @😍 _crewscloset_ @the_pixeleyes 5w
700.0, purbaasha Galputurrecordson💋✨ 5w,OCTOBER 14,post,56, 
3397.0, purbaasha Thankyou forthisgorgeous hasnowenabledyoutoshopwithyourfriendsonline!Shopthemostexclusivebrandswithyourfriendstoday 📸- #gatheryourcrew#socialshopping 6w,OCTOBER 13,post,76,  @_crewscloset_ @earring. _crewscloset_ @the_pixeleyes #crewscloset
1728.0," purbaasha Autumnwhispered""Ifall,butalwaystoriseagain""🍂 Wearing- AutumnStaycationcollection20' Tysm 🥰 📸- ",OCTOBER 12,post,46,  @madamefashions @madamefashions @the_pixeleyes 6w
1508.0, purbaasha Amassiveshoutoutto forsendingmeacrosstheseAutumnStaycationCollection20'.TheyarejustsochicandcomfortablethatIcouldjustdoaboutanythinginthem😍Thankyousomuch 🥰 📸- ,OCTOBER 11,post,57,  @madamefashions @madamefashions @the_pixeleyes 6w
