likes,about_post,date,type,comments,tagged_names
122880.0, rajputpaayal Verified Herecomesmyfav.Collection🔱 Mahadevtrident🔱 inbio✔️ 13h,13 HOURS AGO,post,541.0,  @goomfydotapp Link
39245.0, rajputpaayal Verified Beyourownkindofbeautiful🤍 Thanks  foranamazingsetoflashes🥰 Can’twaittousethem🤍 15h,15 HOURS AGO,post,108.0,  @swativerma @swaticosmetics
141664.0, rajputpaayal Verified Justclicked...Huhlifeisbetterinpajamas💕 #selfieafterlong#chillvibes 💕 1d,1 DAY AGO,post,418.0, 
86504.0," rajputpaayal Verified I’menjoyingQ/Aroundwithallofu🤍🤍🤍 Thanksforurloveandconstantsupport🙏🏻🧿🙏🏻 HereI’msharingfewquestionsonmypost🥰 HopeyouhavewatchedAnagangaOathidhion ? Ifnotthenplzsparesometimeanddowatch,Ipromiseyougonalovethisamazingcontent🤟🏼 4d",4 DAYS AGO,post,960.0,  @ahavideoin
143133.0, rajputpaayal Verified Hey...didusmiletoday?☺️  Styledby  ,5 DAYS AGO,post,0.0,  @impriyankasahajananda Outfit @atelierstores 5d
151726.0," rajputpaayal Verified AweekfullofindulginginDiwalisweets,snacksandalotmore.It’stimetoburnthoseextracaloriesandgetbacktomyschedule,whatgetsmegoingistheallnewHelixGusto2.0.I'mreadyto#HustleWithHelix  Thistrendydualcolourfitnessbandisnotonlystylishbutsupercomfortabletoo.Ithelpsmetokeepacheckonmyfitnessgoalseverysingleday.Withnotificationalerts,longerbatteryback-up,activitytrackingandsleepmonitoring,theallnewHelixGusto2.0istheperfectfitnesscompanion.  Logontohttps://helix-watches.com&getyourHelixGusto2.0today! #HelixIndia#HelixWatches#FitnessBand#FitnessWatch 6d",6 DAYS AGO,post,478.0,  @helixindia  #Gusto2
137760.0, rajputpaayal Verified IntheworldfullofmascarathereexistsaBINDI🤍 AboutlastnightatpreviewofAnaganaOathidhi🤍 P.cHyderabadMedia🤍 1w,7 DAYS AGO,post,216.0, 
38010.0," rajputpaayal Verified Soexcitedtoshareposterofmyupcomingpunjabimovie🎥 WewillstartshootingfromnextmonthonwardsinCanada🇨🇦  HRGFilms & inupcomingmovie""RangRatta"" Director-GurcharanSingh Starring:RoshanPrince,PayalRajputGurpreetGhuggiMahabirBhullarSatwantKaurYaadGrewal WrittenbyGurcharanSingh&HarcharanWaraich ProducedbyHarcharanWaraich ProductionAsst.ManrajRai CoWriterVishavjeetSingh Singer:RoshanPrinceJasbirJassiKanwarGrewalViruSs Music:Underrated,RomeySingh&Ulluminati Lyrics:Ulluminati,BhattiBhariWala&SonySinghThulewal  ReleasingNextYear#2021 #RangRatta#RoshanPrince#PayalRajput#GurcharanSingh#GurpreetGhuggi#MahabirBhullar#SatwantKaur#YaadGrewal#HRGFilms#BrahmoFilms#HarcharanSingh#JasbirJassi#KanwarGrewal#Viruss#Underrated#RomeySingh#Ulluminati#BhattiBhariWala#SonySinghThulewal#ManrajRai#VishavjeetSingh#NavjotBains#PunjabiMovie2021 1w",7 DAYS AGO,post,233.0,  @Presents theroshanprince @rajputpaayal
29687.0, rajputpaayal Verified Itmakesusimmenselyhappythatitisnoneotherthan Garuwhowilllaunchthetrailerof#AnaganagaOAthidhitoday 5onlyon Getreadytobesurprised      ,NOVEMBER 17,post,447.0,  @venkateshdaggubati @ @ahavideoIN @❤️  rajputpaayal @chaitanyakrishna @filmmaker_dayal_padmanabhan @trendloud @rakeshb.raj.5 @arrol_corelli 1w
152885.0, rajputpaayal Verified Captionthis😜...LoL😋 1w,NOVEMBER 17,post,683.0, 
