likes,about_post,date,type,comments,tagged_names
2010.0, ranjanagodara09 🧏🏻‍♀️🧏🏻‍♀️ #ree 5h,5 HOURS AGO,post,12.0, 
5991.0, ranjanagodara09 HellochromeX🤗 Preregisternow #ad#iamlanistar 23h,23 HOURS AGO,post,80.0,  @lanistar #lanistar
1562.0, ranjanagodara09 #reelitfeelit💓💓💓 1d,1 DAY AGO,post,33.0, 
4321.0, ranjanagodara09 Joyinlookingandcomprehendingisnature'smostbeautifulgift.. . . . . #love_nature#fashionmodelshoot#fashionmodeling#fashiondaily#love_natura#fashionmodel#prilaga#loveable#fashiondesign#fashioninspo#loveall#love 2d,2 DAYS AGO,post,120.0, 
4348.0," ranjanagodara09 Lovebeginsathome,anditisnothowmuchwedo...buthowmuchloveweputinthataction. . . . #love_nature#fashionmodelshoot#fashionmodeling#fashiondaily#love_natura#fashionmodel#prilaga#loveable#fashiondesign#fashioninspo#loveall#love 2d",2 DAYS AGO,post,134.0, 
4345.0, ranjanagodara09 Onemustbeintunewiththetimestoappreciatetraditions. . ... .#webstagram#blackandwhite#tweegram#my#yummy#instacool#instasize#nice#wedding#igdayly#throwback#instapic#instafollow#iphonesia#sweet#baby#prilaga#black#funny#awesome#iphoneonly#instalove#pink#red#night#followback#blue#makeup#cat 3d,3 DAYS AGO,post,91.0, 
5659.0, ranjanagodara09 TherealquestioniswhetherornotthisblanketI’mwearingisafashionstatementorthethrowthatwasonmycouch.Theworldmayneverknow.  . . .#webstagram#blackandwhite#tweegram#my#yummy#instacool#instasize#nice#wedding#igdayly#throwback#instapic#instafollow#iphonesia#sweet#baby#prilaga#black#funny#awesome#iphoneonly#instalove#pink#red#night#followback#blue#makeup#cat 5d,5 DAYS AGO,post,111.0, 
12117.0," ranjanagodara09 ThethingIloveaboutalehengaisthatunlikeagown,everygirllooksgoodinit,nomatterwhatskin-tone,shape,size,orbudgetshehas! . . . #webstagram#blackandwhite#tweegram#my#yummy#instacool#instasize#nice#wedding#igdayly#throwback#instapic#instafollow#iphonesia#sweet#baby#prilaga#black#funny#awesome#iphoneonly#instalove#pink#red#night#followback#blue#makeup#cat 6d",6 DAYS AGO,post,215.0, 
20341.0, ranjanagodara09 Rockingmy  💥 . . . . . . .  #ethnic  #fashionista  #indianwear  #indianwedding  #instafashion  #instagood  #lehenga 1w,NOVEMBER 19,post,152.0,  @ethnicity! darshan_bhanushali_photography @💥 s.k_fashion_stylish_designer
8244.0, ranjanagodara09 Don’tmistakemeforademuredamselwhenI’minthisprettylehenga.I’masavagerebelnomatterwhatIwear. Outfitby by #loveit#instafashion#fashiongram#loveyourself#prilaga#instalove#fashionstyle#streetfashion#ethnic#ethnicwear#mylove#love#hijabfashion#ethnicjewellery#fashion#ethnicfashion#fashionista#doglover#mensfashion#fashionblogger#naturelovers#fashionable#loveyou#indianethnicwear 1w,NOVEMBER 18,post,166.0,  @s.k_fashion_stylish_designer Shot @darshan_bhanushali_photography . . . #lovely
7602.0, ranjanagodara09 ThejoyofdressingisinwearinganIndian 💥💥 Shotby 💥💥  . . . . . . .  #ethnic#fashion#ethnicwear#traditional#indianwear#saree#style#instafashion#handmade#sareelove#india#indianfashion#indian#fashionblogger#kurti#ootd#indianwedding#wedding#designer#embroidery#fashionista#love#partywear#cotton#suits#lehenga#instagood#bhfyp#wedmegood ,NOVEMBER 17,post,125.0,  @dress!!!!!!💖💖💖💖💖💖💖💖 s.k_fashion_stylish_designer @darshan_bhanushali_photography @wedmegood 1w
