likes,about_post,date,type,comments,tagged_names
1472345.0, ranveersingh Verified 40yearsofmarriage!😇♥️🙏🏽🧿#purelove#happyanniversary 3w,SEPTEMBER 21,post,6078.0, 
1049128.0," ranveersingh Verified HitmanSZNhasreturned! Machawees,Bawa! Lovinthe#RSmerch🧢eknumber!💯 #rohitsharma#ipl 3w",SEPTEMBER 19,post,5903.0,  @🏏💥rohitsharma45
338669.0," ranveersingh Verified Shwapon,mymostfavouritetrackfromtheRokNahiPaayegaEPhasbeentranslatedtoIndianSignLanguage.Checkoutthevideo-Linkin feat. andmixedby byRākhis  createdbyTheIncInkArtStudio Concept&Art    ISLVideoby   by SignLanguageConsultant(Deaf):SunilSahasrabudhe  ISLSigners:  ",SEPTEMBER 19,post,1110.0,  @bio. incinkrecords . _slowcheeta_ @dipannitaacharya Produced @beatsbyinkheart Mastered @manchandashikhar @thebeastindiacompany  Art @mihir.sud @avndsouza @incinkrecords @acciomango @drjahan  Edited @poly_bat  Indian @hardeeply @milett_ma4 3w
1326317.0, ranveersingh Verified Liveforthebeats🎧  ,SEPTEMBER 18,post,5519.0,  @theprodigyofficial @maxim 3w
1452364.0, ranveersingh Verified सख़्तलौंडा 4w,SEPTEMBER 12,post,10300.0, 
1043706.0, ranveersingh Verified 😻🤟🏽 Maaluumhainaaaaaa!🎤🎶🎵🎶🎵supercoolArtworkby: ,SEPTEMBER 8,post,3677.0,  @emiway_bantai @yomanarty 4w
1078165.0," ranveersingh Verified BittooselekarMurad,fanshainmeresabsehard!Mereyaaronmerepyaaron..karoQuizzesshuru!DownloadtheTrueFanappnowandyoucanwinapersonalizedvideomessagefromme!Linkinmybio.#TrueFan#StarKaYaar ",SEPTEMBER 6,video,2252.0,  @truefan_official 5w
608169.0," ranveersingh Verified #SundayNightFootball  Allintogetherfor#SundayNightFootball!Aslifankabhimissnahikarega!🤪🤪🤪Watch 20/21,LIVEfromSep12on  ",SEPTEMBER 5,video,795.0,  @premierleague @starsportsindia! @plforindia 5w
757655.0," ranveersingh Verified Stokedtoannouncemycollaborationwith It’saninitiativebymydynamicyoungfriend IamwithheronthisjourneyassheseekstoredefineanddemocratizeonlineeducationinIndiabymakingworldclasseducationavailabletoeveryoneatjustRs.999!  Deshkenaujawaanon, Abhogi#sapnokiazadi!!!  Tounlockyourpersonallearningjourneywith downloadtheappnow!Linkintheirbio ",SEPTEMBER 1,video,2242.0,"  @eduauraa! @akanksha0711. @eduauraa, @📚 zeetv 5w"
1270237.0," ranveersingh Verified Sabsetezzmanagerkaun?Pep,Kloppyaaap?;) andIhaveanexcitinggiftforallyouPLloversoutthere!JoinmyFPLleagueandthewinnerstandsachancetowinanall-expensespaidtriptotheUKtowatcha game!Haikinahi,MIND-ICH-BLOWING!?!:)) Leaguecode-ys2spz#RanveerFPL 6w",AUGUST 29,video,2678.0,  @plforindia @premierleague
890119.0, ranveersingh Verified Nana-G💸   ,AUGUST 26,post,2362.0,  @shaunak_hingorani @queen.saum @riticulousness 6w
1136336.0, ranveersingh Verified kyabolrelipublicccc  Artworkby: ,AUGUST 24,post,7178.0,  @sumit_illustrate 6w
1043444.0, ranveersingh Verified thegrammademedoit 7w,AUGUST 24,post,4987.0, 
1083089.0, ranveersingh Verified ☯️ 7w,AUGUST 22,post,5129.0, 
1638622.0, ranveersingh Verified MilgayaAchhaAloo!:D ,AUGUST 17,video,5986.0,  @bingo_adda #AchhaAloo 7w
2652229.0," ranveersingh Verified Thislittlegemofaphotoisoneofmyprizedpossessions.Itwastakenaroundtheyear2007/08atNDStudioinKarjat.Iwasabout22yearsold,workingasanassistantdirector.Itookupthisparticularjobonlybecausetheadfilmfeaturedtheone&onlyMSDhoni.Iwasoverworkedandunderpaid,butIdidn’tcare-IjustwantedtobeinHispresence.Iwaseveninjuredatthetime,butIworkedthroughthepaininthehopethatasarewardformysincereefforts,IwouldbegrantedachancetobrieflymeetMSDandmaybegetaphotowithhim.WhenIfinallymethim,Iwascompletelyawestruck.Hewassohumble,sodown-to-earth,fullofgraceandexudedanunmistakableauraofkindness.Mylove,respectandreverenceforhimgrewevenstronger.  AfterIdidmyfirstmovie,Sapna(whowasourcommonhairstylistatthetime)calledmeonedayandsaid‘heyIknowyou’reamassiveMSDfan,he’sshootingatMehboobstudio,come&meethimifyou’dlike’.Man-oh-man!Ijustdroppedeverythingandrushedtothestudiotomeethim!HewasjovialandwarmandpraisedmyperformanceinBBB.Wehungout,Ihadmycapandjerseysignedbyhim,likeatruefanboy.Thatday,IfeltlikeIwaswalkingontheclouds!  Sincethen,everytimethatIhavethegoodfortuneofmeetinghim,Iamleftenergisedandenthused,asifabigbrotherhasblessedmewithenergyandmotivationtogooutandbethebestthatIcanbe.🙏🏽  MSDisoneofthegreatestsportsmentohaveeverlived.I’mluckytohavewitnessedhisplayingcareerinmylifetime.Aparagonofexcellence.Aniconofthesport.Myheroforever.🌟  ThankyouMahiBhaiforbringingglorytoourgreatnationandfillingabillionheartswithpride.🇮🇳#MSDthe#GOAT🐐 8w",AUGUST 16,post,9241.0, 
636323.0, ranveersingh Verified PSY-FI ,AUGUST 14,post,2752.0,  @😻🌈🌈🌈  wtf.s.i.d. 8w
479586.0," ranveersingh Verified SoFly,So #ZX2KBOOST#adidasZX 8w",AUGUST 14,post,1608.0,  @Squishy adidasOriginals
895500.0, ranveersingh Verified WannabeRapperMusicVideoOUTNOW.🎤🎙💥Linkin feat. andmixedby by  videocreatedby with ,AUGUST 13,video,1074.0,  @Bio. _slowcheeta_ @delraaz  Produced @mrdoss Mastered @manchandashikhar @thebeastindiacompany Music @aestheticelectric @incinkrecords 8w
994728.0, ranveersingh Verified LAUNDABHAYANKARHAI!!!🐆 youlilbro!♥️ 050representtttt✊🏽 8w,AUGUST 12,post,1922.0,  @_slowcheeta_ love
631314.0, ranveersingh Verified WannabeRappermusicvideoreleasestomorrowat feat. andmixedby by  videocreatedby with ,AUGUST 12,video,640.0,  @11am _slowcheeta_ @delraaz Produced @mrdoss Mastered @manchandashikhar @thebeastindiacompany Music @aestheticelectric @incinkrecords 8w
426075.0," ranveersingh Verified RokNahiPaayegaEPoutNOW!!!  3bangertracks(ChalChalMereSaath,Shwapon&WannabeRapper-linkinbiotoheartheEP)/Videoreleasingsoon...  WrittenandPerformedby Artists     by  createdbyTheIncInkArtStudio Concept&Art  ",AUGUST 12,post,999.0,  @_slowcheeta_ Featuring @dipannitaacharya @delraaz Producers @mixlaproduction @mrdoss @beatsbyinkheart Mastered @manchandashikhar @thebeastindiacompany  Art @mihir.sud @avndsouza  incinkrecords 8w
1181632.0, ranveersingh Verified ♥️ 8w,AUGUST 11,post,6174.0, 
502547.0," ranveersingh Verified Boredwiththesameoldsupplements?Leavetheboredombehindandgetyour#FitnessRefreshedwiththebrandnewfruitflavouredprotein""Frotein”from mehowyou'vekeptfitnessfunthelastfewmonthswiththehashtag#FitnessRefreshed. 9w",AUGUST 6,post,2690.0,  @bigmuscles_nutrition.  Tell
