likes,about_post,date,type,comments,tagged_names
73734.0, realshoaibmalik Verified #Repost ♥️♥️♥️ ・・・ Thankyouallforyourwonderfulwishesandsomuchlove❤️Itrulyfeelblessed..Ihadthemostamazingtimewithfamilyandfriends..andthankyouto fortheamazingsurprise💞 1w,NOVEMBER 16,post,261.0,  @mirzasaniar @realshoaibmalik
65202.0, realshoaibmalik Verified #Repost  please🏖️✋🏽 2w,NOVEMBER 7,post,271.0,  @mirzasaniar @(get_repost) ・・・ Beach
111107.0," realshoaibmalik Verified -Feelingcompletewithmyown,littleworld!♥️ 4w",OCTOBER 30,post,713.0, 
27769.0," realshoaibmalik Verified -MayProphetPBUH'steachingslightourpathtograce,peace,andharmonytodayandtomorrow#EidMiladUnNabiﷺMubarak!♥️♥️♥️ 4w",OCTOBER 29,post,184.0, 
20071.0," realshoaibmalik Verified -Lovedtheenergyofthegametoday,finallywecameoutvictorioustolifttheNationalT20cup,thumbsuptoallthefellowplayers,especiallyourcoachAbdulRazzaqbhai.  Abigshoutoutto#PCBfororganisingagreattournament...#harhaalmaincricket#NationalT20Cup#Cricket#Pakistan 5w",OCTOBER 19,post,135.0, 
39838.0, realshoaibmalik Verified -Whatacareeryouhavehadbrother#UmarGullovedeverybitofplayingwithyou...#ThankYouUmarGul #Guldozer#Cricket#Pakistan 5w,OCTOBER 16,post,157.0, 
40673.0," realshoaibmalik Verified -""IwouldliketocongratulatethepeopleofPakistanasIamthefirstAsiancricketertohavereachedthismilestoneofmaking10,000runsin#T20cricketandIhopeIwillcarryoninthewayIhavebeenplaying.I'dliketodedicatethismilestonetomyparents,they'vealwaysprayedforme.Iwishmyfatherwasalivetodayashewould'vebeenveryhappy,butthat'showlifeis.WheneverIgotothegroundIalwayscallmymotherbeforeamatch&getherprayers.Alsoabigthankyouatthesametimetoallmyfellowplayers,groundstaffmembers,fansandsupporters,""ShoaibMalik♥️  #ShoaibMalik#SM18#t20#Cricket#Pakistan 6w",OCTOBER 11,post,643.0, 
32357.0, realshoaibmalik Verified Theytoohaverights-theybelongwiththeirownkind. 8w,SEPTEMBER 30,post,402.0, 
50529.0, realshoaibmalik Verified -AnyguesseswhereIamheaded? 14w,AUGUST 17,post,1062.0, 
25678.0," realshoaibmalik Verified I’veofficiallysignedupwith poweredby and#WalnutMediawhichisPakistan’sLargestVideoNetwork.MycontentonAllPlatforms(includingYouTube,FacebookandInstagramisallcopyrightprotectednow).Keepsupportinglegalcontent!#DotRepublicMedia#CreatorsOne#LetsCreate ",AUGUST 7,post,139.0,  @creatorsone @dotrepublicmedia_mcn @gamesportsmgmt 16w
34918.0," realshoaibmalik Verified -""Ourfuturedependsonwhatwedecidetodotoday..."". 17w",JULY 28,post,274.0, 
15443.0," realshoaibmalik Verified -CongratulationsArshadNadeem,whatanachievement!Goodluckforwhatliesaheadand glory!#PrideOfPakistan🇵🇰 18w",JULY 22,post,86.0,  @olympics
23085.0, realshoaibmalik Verified CheckouttheOfficial RangeforUKon officialResellerofCASportsPakistan.IfanyoneofyouinUK🇬🇧islookingforaCASportsGearfollowthem!  #Cricket#SportsGear#CASports#UK#Pakistan 19w,JULY 13,post,139.0,  @CASports.official @wssportsuk
31761.0," realshoaibmalik Verified -Inashortspanoftime,you'vecapturedtheattentionofCricketfansoutthereandrightlyso.Iwishyoutheverybestinlifeandhopetoseeyoubackinaction,betterandstronger!Happybirthday, #HappyBirthdayHasanAli 21w",JULY 2,post,114.0,  @ha55an_ali!
55317.0," realshoaibmalik Verified -Averywarmbirthdaygreetingtomybrother keepthatpaceupmate,prayersandbestwishesasalways...#WahabRiaz#Cricket#Pakistan 21w",JUNE 28,post,205.0,  @wahabviki
5717.0," realshoaibmalik Verified -Attimeslikethese,weneedtocometogetherandsupporthumanity'sgreatestchallenges. Donategenerouslyto""CentralParkTeachingHospital""#Lahore#Pakistan ",JUNE 26,post,18.0,  @cpmcollegeandhospital 21w
