likes,about_post,date,type,comments,tagged_names
481.0, riimusicofficial Verified Goodvibesonly☮️  📸 ,6 HOURS AGO,post,58,  @ajayyparmar 6h
6847.0, riimusicofficial Verified Ican’tdealwiththebackground#stopthrowingplasticonthebeaches😤 2d,2 DAYS AGO,post,14, 
1191.0, riimusicofficial Verified #बातेंउसकी  🎬 2d,2 DAYS AGO,post,32, 
861.0," riimusicofficial Verified Ionlyunderstandbisous,merci,ouiandÇaVainFrench🌚(one-twoslagwordsaswell🤭)  Butthisalbum“littleFrenchsongssoundssogorgeousandmakesmehappy&I’mgonnaaddthisalbumtomyplaylisteventhoughIdon’tknowwhattheymean🎶🌸  🛳❤️ 6d",6 DAYS AGO,post,50, 
2527.0, riimusicofficial Verified 🍭 1w,NOVEMBER 17,post,7, 
981.0, riimusicofficial Verified IlovewearingmyHusband’sclothesandhecan’tdoanythingaboutit-🤭 1w,NOVEMBER 17,post,7, 
908.0, riimusicofficial Verified Lifeisbeautiful🍭 1w,NOVEMBER 16,post,12, 
3061.0, riimusicofficial Verified HappyDhanteraseveryone🪔🙏  •aapkoitnadhanmilekiconfusehojao  ACCOUNTKHOLEINYABANK  #happydhanteras 1w,NOVEMBER 13,post,42, 
1520.0, riimusicofficial Verified WhatareyourplansforthisDiwali?🪔#2020 2w,NOVEMBER 11,post,41, 
1718.0, riimusicofficial Verified ......✍🏻📖 2w,NOVEMBER 10,post,46, 
2973.0, riimusicofficial Verified 📽 2w,NOVEMBER 10,post,20, 
978.0, riimusicofficial Verified Lovestayslongafterloversaregone.🎥✍🏻 #बातेंउसकी #comingsoon 2w,NOVEMBER 9,post,36,  @therashmivirag  #bts  🎥
2638.0, riimusicofficial Verified Mirchimirchimirchinazreintirchi Shakalhaifirniharqateinfilmi🌶 2w,NOVEMBER 5,post,56, 
6628.0, riimusicofficial Verified Youarethebestdecisionofmylifewiththeblessingsofourparents. Thankyouhubbyforbeingtheperfectmanforme.”  Iheard-lifechangesaftermarriageforawomenwithaCareer. TheonlychangeIcanseeismydreamsbecome‘our’dreams&mewearingyourclothesmorethanmine(damncomfy)😁🤭   SoGratefulforyouIloveyou 💋♥️ 3w,NOVEMBER 5,post,46,  @florianhurel
2819.0, riimusicofficial Verified Happykarwachauthtoallthebeautifulladies!♥️ 3w,NOVEMBER 5,post,94, 
6381.0, riimusicofficial Verified It’sbecauseof- #istatedthefact 3w,NOVEMBER 4,post,61,  @flofitboxmumbai
3697.0, riimusicofficial Verified Shotformynextsong.MyBestyet🎶Ican’twaittoshareitwithyou❤️#Rii#riimusic#newsong#2020 3w,NOVEMBER 3,post,14, 
3675.0, riimusicofficial Verified 🌩 4w,OCTOBER 25,post,46, 
