likes,about_post,date,type,comments,tagged_names
2466859.0, robertdowneyjr Verified HBDandsomuchmore...Theworldisluckytoknowyoutwo... #ScarlettJohansson 20h,20 HOURS AGO,post,11800.0,  @markruffalo
1715413.0," robertdowneyjr Verified Ahhhh#Flashmeboy,,,#rescuegoat#sweet#kind#grateful#OldMacDowney#footprintcoalition#natemerritt (📸 )#thankyou#goat#🐐 1d",1 DAY AGO,post,5920.0,  @thedoodlinkid @jimmy_rich
3519219.0," robertdowneyjr Verified #Water+#bonsai=#simple...#Harmony,#peace,anorderofthoughts,#balanceandallthatisgoodin#nature...#footprintcoalition(📸 )#babygroot 4d",4 DAYS AGO,post,3388.0,  @jimmy_rich
1089818.0," robertdowneyjr Verified Shewhomakesthehouseahome,istheheartofthefamily,governswithgreatdiscernmentandNEVERdrawsattentiontoherself,shallandmustbehonoredandadoredbyhermostloyalsubject..today..andforever. HBD,dearestDowney-#happybirthday 2w",NOVEMBER 7,post,12500.0, 
3163026.0," robertdowneyjr Verified Wasfeelingkeenlyperceptive,mightsolvesomemysterieslater...#idk#sherlockholmes#flashback#throwback#2008#london#uk#bts (📸 ) 3w",OCTOBER 27,post,2653.0,  @wbpictures @jimmy_rich
1245051.0," robertdowneyjr Verified Oct24th,3pmEST/12pPST,tuneinforanepicvirtualrallyservingupvotinginspirationfromyouthactivistsalloverthecountry...Findthestreamonlive.votewith.us(linkinbio)andsimulcastacross andcoalitionpartners’socialmediachannels.#sciencebros#safetyfirst#ivoted#votewithus#vote#early#2020#voteforthefuture#88mph#gigawatts#fluxcapacitor 4w",OCTOBER 24,post,8463.0,  @youtube
1083220.0, robertdowneyjr Verified ‘Tuneinnow’on tosee andItalk#turkey#chickens#alpacasand#prison#mynextguestneedsnointroduction#davidletterman#hair #style #bts#teamdowney#OlMcDowney 4w,OCTOBER 21,post,62100.0,  @netflix @letterman @davynewkirk @jeanneyangstyle
4252529.0," robertdowneyjr Verified Whataworld...The“sinless”arecastingstonesatmy#brother,ChrisPratt...Areal#Christianwholivesby#principle,hasneverdemonstratedanythingbut#positivityand#gratitude...ANDhejustmarriedintoafamilythatmakesspaceforcivildiscourseand(justplainfact)INSISTSonserviceasthehighestvalue. IfyoutakeissuewithChris,,,I’vegotanovelidea. Deleteyoursocialmediaaccounts,sitwithyourOWNdefectsof#character,workonTHEM,thencelebrateyourhumanness... I#gotyerbackbackback 4w",OCTOBER 21,post,30200.0,  @prattprattpratt
975596.0," robertdowneyjr Verified Ayearago,Ifoundedthe withthemissiontolearnabout andsupporttechnologythatcanmakearealdifferenceinourenvironment.Today,I’m thrilledtocometoyouwiththefirstofmanygreatideaswe’veexplored.Joinusand learnmore. #linkinbio#footprintcoalition 4w",OCTOBER 20,post,1179.0,  @officialfootprintcoalition
999052.0, robertdowneyjr Verified Nowords...  #EVH#rip#legend#guitar#hero 6w,OCTOBER 7,post,1465.0,  @eddievanhalen @vanhalen
4392106.0, robertdowneyjr Verified HBDtothisabsolutepowerhouse.Youdeserveallthebesttoday...andthenalittlebitmore. #pepper#pepperony 8w,SEPTEMBER 28,post,14400.0,  @gwynethpaltrow
715071.0, robertdowneyjr Verified Lookwhatwehavehere! hasunearthedacouple#classicsfromourlimitedlist...Pleasecomeoutandsupport#summerdriveinfilmfest/ ...#infoinmybio🙏🏽❤️#anthonymichaelhall 14w,AUGUST 14,post,1332.0,  @amh4real @evocinemas
1822192.0, robertdowneyjr Verified #Brother andI#summerlovin’andappreciatingthese ...#riderad#ebikes#radrunner#eastcoastconnection🙏🏽♥️ 14w,AUGUST 12,post,1720.0,  @chrisccuomo @radpowerbikes
1777058.0," robertdowneyjr Verified Tonight,court’sinsession. at9PMon ThemissusandIaregettingreadywithafewbitsandbobsfromPerry’sownMasonFarm.Celebratinglocalrestaurantsaroundsincethetimeoftheshow.Tuneinwithus?#mocktails 17w",JULY 27,post,1590.0,  @PerryMasonHBO @HBO.
385956.0," robertdowneyjr Verified Ipromisetopullnopuncheswhileinterviewing#ColinJostforhisbook”AVERYPUNCHABLEFACE”..Iwillvirtuallyprobeandpenetrate,,,pleasejoin??Linkfoundinmybio... 18w",JULY 18,post,1425.0, 
