likes,about_post,date,type,comments,tagged_names
1724217.0," rohitsharma45 Verified #BubbleLifewastrendingwhenwelandedinUAE.3monthslaterIcansaythisseasonwasaspecialone.Afterdaysinquarantine,followedbytraining,itwastimefor#Dream11IPL2020.Protocolsbecamehabits.Teamroombecameourlivingroom.Ourhotelbecamekidsplaygroundandpostdinnermeet-upsbecamecompetitivegamingsessions.Winninganddefendingourtitlewasspecialandour#OneFamilyfoundahomeawayfromhomeinside“our ",NOVEMBER 12,post,9383.0,  @bubble”. . mumbaiindians 1w
1718962.0," rohitsharma45 Verified Whatateam,whatasquad.Pre-eminentallthewaythrough.Lovedit ",NOVEMBER 11,post,18600.0,  @mumbaiindians 1w
1795643.0, rohitsharma45 Verified Niceandrelaxedeveningatthebeach😍 3w,OCTOBER 27,post,13200.0, 
1485927.0, rohitsharma45 Verified Beinghappynevergoesoutofstyle😉 4w,OCTOBER 24,post,7707.0, 
2125290.0, rohitsharma45 Verified 👨‍👩‍👧😍 5w,OCTOBER 14,post,14100.0, 
783428.0," rohitsharma45 Verified AmazingstylingandneverbeforepricingonHighlander,duringFlipkartBigBillionDaysandMyntraBigFashionFestivalbetween16thOctto22ndOct.Enjoyshoppingyourfavouritefashionbrand,staysafeandtakegoodcareofyourself.#highlanderindia#myntra#flipkart#FlipkartBigBillionDays#MyntraBigFashionFestival ",OCTOBER 14,post,4030.0,  @highlander_india 5w
1059168.0, rohitsharma45 Verified Lovedrepresentingthisjerseyforthe150thtime.Thisisandalwayswillbemyhome.Appreciateeveryonewhohashelpedmethroughthisjourney👊 💙 6w,OCTOBER 12,post,4179.0,  @mumbaiindians
1425044.0, rohitsharma45 Verified 🌅🥰 6w,OCTOBER 7,post,7570.0, 
319632.0," rohitsharma45 Verified Join inthisjourneyofbriningaboutpositivechangeinlife,gameandworld. 6w",OCTOBER 7,post,1023.0,  @ADIDASINDIA
1101486.0, rohitsharma45 Verified Goodtogetourfirstwinunderway ,SEPTEMBER 24,post,5562.0,  @mumbaiindians 8w
1095561.0, rohitsharma45 Verified Prepworkdone.Timeforexecution👊 ,SEPTEMBER 18,post,7411.0,  @mumbaiindians 9w
1297851.0," rohitsharma45 Verified Myloveforcricketstartedinthegully,withmyfriendswhereIwasjustRo.NotIndia'sOpeningbatsmanRohitSharma,justRo.AllthatIhaveachievedisonthebackofthosegullycricketdayswithmyfriends.#MajorMissing,I'msureyoumissgullycrickettoo.Staystrong,staysafe.Untilthen,playonDream11.  #YahanSabSameHai#YeApnaGameHai#Dream11IPL 9w",SEPTEMBER 13,post,10000.0, 
1184245.0, rohitsharma45 Verified Perfectsendoffforthefirstdayoftraining 12w,AUGUST 28,post,4647.0, 
873025.0, rohitsharma45 Verified Happybirthdaylegend🎯 12w,AUGUST 28,post,5056.0, 
1473986.0," rohitsharma45 Verified SammybeingintroducedtodinosaursviaJurassicWorld,oneguesswhoseideathiswas🙄PS:sheonlywatched2minutesofit 12w",AUGUST 27,post,3811.0, 
646196.0, rohitsharma45 Verified Happy#InternationalDogDay🐶 12w,AUGUST 26,post,4416.0, 
1347635.0," rohitsharma45 Verified GotmypackerinchieftohelpmegetreadyfortheUAE😄Thanks,baba🥰 13w",AUGUST 21,post,8641.0, 
1306754.0," rohitsharma45 Verified Whenyouknowyouknow,wishyouthebestforyourfutureengagements.Haveagoodone ",AUGUST 16,post,5378.0,  @sureshraina3 14w
1690133.0, rohitsharma45 Verified OneofthemostinfluentialmeninthehistoryofIndiancricket👏Hisimpactin&aroundcricketwasmassive.Hewasamanwithvisionandamasterinknowinghowtobuildateam.Willsurelymisshiminbluebutwehavehiminyellow.  Seeyouon19thatthetoss 👍😁 14w,AUGUST 16,post,4275.0,  @mahi7781
1198213.0," rohitsharma45 Verified Batinhand,helmeton,padsongloveson,shoeson:Iamcomplete. 14w",AUGUST 15,post,5175.0, 
1125698.0, rohitsharma45 Verified WishingeveryIndianahappyIndependenceDay🇮🇳Nothinglikesteppingoutforyourcountry. 14w,AUGUST 15,post,2687.0, 
853489.0, rohitsharma45 Verified Goinglowonlytopushyourselfhigher. 14w,AUGUST 13,post,4275.0, 
1203473.0, rohitsharma45 Verified Justtwoweirdosinlove. 15w,AUGUST 6,post,5175.0, 
900673.0," rohitsharma45 Verified Thisshoeisinspiredbymylovefortheoceanandit’scoralreefs.Theysignifythechangewewishtoseeintheworld.Aplasticfreeoceanandthrivingmarinelifeandcoralreefs. and didandincrediblejobwiththese❤️sohonouredtohavetheseasapartofourcollection.Sorryguysyoucan’tgetyourhandsonthese,theyaretheonlypairslikethemintheworldbutwhatyoucandoishelpmecreateawarenessandabetterworldoverandunderthewater#SuperstarsOfChange#adidasSuperstars 15w",AUGUST 4,post,2687.0,  @adidasoriginals @chaitanya_dixit
1099515.0, rohitsharma45 Verified MerunningtowardstheairporttocatchaplaneforDubai#IPL2020 16w,AUGUST 2,post,8903.0, 
714057.0, rohitsharma45 Verified MerunningtowardstheairporttocatchaplaneforDubai#IPL2020 16w,JULY 25,post,4618.0, 
