likes,about_post,date,type,comments,tagged_names
5795.0, ruma_sharmaa Verified LoveFor#Pink PinkCity#jaipur PinkKurtaSetFrom- - #sunkissed#jaipurdiaries#pinkcity#jaipurblog#jaipurmorni#jaipurphotography#jaipurblogger#travelphotography#travelgram#traveldiaries#traveltheworld#travelgram#rumasharma#indianwear#kurtidress#comfortablefashion#comfortwear#kurtidress 2d,2 DAYS AGO,post,72.0,  @jaipur_morni . PC @sumitphotography_ . #mondayvibes
16055.0, ruma_sharmaa Verified HelloSunday💋 . . #sundayfunday#sundayvibes#cuteme#pout#makeup#redlips#curlyhair#instadaily#intsagood#instapic#selfportrait#selfportraitphotography#glam#diva#rumasharma#croptop#love#fashionista#casualstyle#casualwear#lookoftheday 2d,2 DAYS AGO,post,267.0, 
23265.0, ruma_sharmaa Verified HappyLongWeekendPeeps😘 What’sYourWeekendPlans?? . #happyweekend#letsslay#fridayvibes#flashbackfriday#curvygirl#glam#diva#rumasharma#instadaily#bikinigirl#portrait#portraitphotography#bossbabe#beautyshot#majorthrowback#lookgood#photooftheday 4d,4 DAYS AGO,post,487.0, 
20008.0, ruma_sharmaa Verified Black🖤 . CustomisedEarrings- - - - #hotinblack#goodhairday#makeuplooks#lookdiva#rumasharma#customised#earrings#accessories#love#giftforher#curvygirl#black#instadaily#instagood#smilemore#trending#outfitoftheday#instafashion 1w,7 DAYS AGO,post,443.0,  @mahiara.official PC @vishal_walanj_photography MUA @glowlushbyneet Hair @javed_ali_hair . #wednesdaywisdom
8486.0, ruma_sharmaa Verified CurrentObsession#green💚 From InLoveWithThis#partydress . PC- - - - #shimmer#gown#fashionblog#fashiondiaries#styleblogger#rumasharma#fashionblogger#glam#bold#beautiful#diva#fashionable#fashionphotography#fashionnova#whatiwore#fashionlover#partywear#partygown#glamoutfits#shinebright#outfitoftheday 1w,NOVEMBER 16,post,198.0,  @atticsalt___ Am @vishal_walanj_photography MUA @glowlushbyneet Hair @javed_ali_hair Outfit @atticsalt___ . #partydresses
9429.0, ruma_sharmaa Verified DescribeMeInOneWord🥰 . HMUA- - #gowndress#eveninggowns#whitegown#christianbride#longgown#bride#bridegown#makeup#makeuplooks#weddingdress#dressgoals#fashiondress#womenstyle#classy#sexy#curvy#rumasharma#curly#longhair#instabride#bridalstyle#bridaltrends#instawed#fancydress#fashionpost#dressoftheday#lookoftheday#sundayvibes 1w,NOVEMBER 15,post,218.0,  @rajni_bridalmakeover Edit @rahul_photographer__ . #gown
8216.0, ruma_sharmaa Verified MyFavouriteFestivalOfTheYear🎇 #happydiwaliEveryone HaveAsafeDiwali🪔 . ThankYou TheseScentedCandles🕯 JustSoPerfectFor CreatingCalmAndPositiveVibe🥰#homefragnances . PC- - - : : - #diwalilook#diwaligifts#diwalidecorations#candles#candlesofinstagram#homedecor#positivevibes#diwalioutfit#festivaloflights#festivevibes#festivewear#rumasharma#bloggerstyle#indianwear#festivemakeup#diwalispecial#lookoftheday#outfitoftheday 1w,NOVEMBER 14,post,244.0,  @ekamonline For @dhiraj__moily_photography MUA @glowlushbyneet Hair @javed_ali_hair Outfit @jiyabyveerdesignstudio Jewellery @satyam_jewellery_mumbai Retouch @rahul_photographer__ . #diwali2020
6971.0, ruma_sharmaa Verified OnThisAuspiciousfestival MayYourLifeShimmerwithSilver ShinewithGold⭐️ AnddazzlelikePlatinum! HappyDhanteras🎁❤️ . HMUA- - By- #festivalvibes#dhanteras#celebration#festivalsofindia#festivalmakeup#chotidiwali#goodvibes#lights#festivaloflights#rumasharma#indianwear#staysafe#prayers#happiness#prosperity#nocrackers#spreadlove 1w,NOVEMBER 13,post,176.0,  @rita_nandus_bridal_solution PC @__picstory__ Edit @rahul_photographer__ . #festivalseason
5748.0, ruma_sharmaa Verified HappinessComesIn#pinkcity #jaipur . Accessories- - - #travelgram#indianbeauty#sareelove#historicalplace#jaipurdiaries#throwbackthursday#rumasharma#travelphotography#indianbeauty#jaipurphotography#jaipurcityblog#jaipurtourism 1w,NOVEMBER 12,post,121.0,  @thestorehub PC @sumitphotography_ Retouch @rahul_photographer__ . #traveltheworld
25811.0, ruma_sharmaa Verified ABeautifulDistraction🥰 . Retouch- #wednesdayvibes#instadaily#instagood#instamood#hot#glam#diva#rumasharma#portrait#beauty#indianwear#indianmakeup#curvygirl#festivalseason#festivalfashion#weddingdress#designer#designerwear#designershoot#prettyvibes 1w,NOVEMBER 11,post,443.0,  @rahul_photographer__ . #wednesdaywisdom
