likes,about_post,date,type,comments,tagged_names
6653.0," saanvidhiman #Sareekefallsakabhimatchkiyare,  #Kabhichhoddiyadil,kabhicatchkiyare  Photography #indianwear#indiansaree#pinksaree#laalbindi#bindi#bindilove#indianculture#indiangirl#actorlife#actress#actorlifestyle#punjabi#mumbai#up#chandigarh 23h",23 HOURS AGO,post,103,  @spidy_photography  # #  #indian
5571.0, saanvidhiman #angrezimedium#nachannujikarda# #saanvidhiman   ,1 DAY AGO,post,195,  @ms_dance_24 @ozigymandspaofficial mainhoonromy @nikhitagandhi 1d
11779.0, saanvidhiman Iamnotcranky.Ijusthaveviolentreactiontostupidpeople  #punjabi#punjabimodel#punjabisong#actorslife#chandigarh#punjab#mumbai#delhi 2d,2 DAYS AGO,post,236, 
4885.0," saanvidhiman MathaTekJaayin,NaaleSaureDekhjayin, NaaleShakLayinPakaudeJehdeBane..........Ton😛  Photography- #indian#anarkali 2d",2 DAYS AGO,post,479,  @spidy_photography  .  .  #suits
5934.0," saanvidhiman Akhiyanudeekdiyadilvajaamarda, ajapardesiyavaastaiipyaarda........  PC #actress#punjabisuit#mumbai#chandigarh 6d",6 DAYS AGO,post,251,  @spidy_photography  .  #punjabi
9722.0, saanvidhiman #gendaphool   photography -  #genda#indian#saree#pink#blue#actorlife#actress#mumbai#up#chandigarh 1w,7 DAYS AGO,post,23,  @spidy_photography MUA @gaganmakeo @hairstylist_yuvi  ..  .  .  #gendaphool
4561.0, saanvidhiman #happy #vishwakarma #day🙏 1w,NOVEMBER 15,post,418, 
7096.0, saanvidhiman HappyDiwali 1w,NOVEMBER 14,post,64, 
6804.0, saanvidhiman #happydiwali#festival#diwali#lights#fireworks 1w,NOVEMBER 14,post,154, 
4342.0, saanvidhiman #happydiwali#everyone 1w,NOVEMBER 14,post,146, 
4333.0," saanvidhiman 🪔🔥🧨 MaythedivinelightofDiwalispreadintoyourlifeandbringpeace,prosperity,happiness,goodhealthandgrandsuccess.HappyDiwali2020 1w",NOVEMBER 14,post,124, 
12366.0, saanvidhiman Ajeebdastanhaiyeh Kahanshurukahankhatam Yehmanzilehaikaunsi Navohsamajhsakenahum.  📸   #photography#saree#traditional#model#chandigarh#mumbai 1w,NOVEMBER 13,post,24,  @spidy_photography Hair @hairstylist_yuvi Makeup @gaganmakeo  #southindianbride
11891.0, saanvidhiman #❤️ 2w,NOVEMBER 9,post,215, 
9998.0, saanvidhiman #❤️ 3w,NOVEMBER 3,post,50, 
9465.0," saanvidhiman #terenainadigoli,nevajdiseenevichthaaaakarke......  ...  ....  ... #orange#suits#jumkas😍#actorlife#actorlifestyle#actress#pollywood#mumbai#up#chandigarh 3w",NOVEMBER 1,post,148, 
11448.0, saanvidhiman #Hayemainterishadowbanjawaan Naalnaalrahungamutyare  ....  ...  #shadow#frame#skirt#hills#view#actorlife#actresslifestyle#actress#pollywood#mumbai#up#chandigarh 4w,OCTOBER 28,post,75, 
16505.0, saanvidhiman #❤️  .  ...  ....  #ford#endevour#love#red#actorlife#actorlifestyle#actress#pollywood#mumbai#up#chandigarh 4w,OCTOBER 26,post,115, 
13090.0, saanvidhiman innankhonmainkuchadhuresapnekaidhain🌸  .  .pc. #eyes#speak#dreams#strenth#power#girl#face#clicks#actorlife#actorlifestyle#actress#mumbai#up#chandigarh 4w,OCTOBER 23,post,15,  @spidy_photography  #sapne
10064.0, saanvidhiman #esmileplease😁  ...  . #smile#pic#spidy#photography#punjabi#suit#blue#feelgood#actorlife#actorlifestyle#mumbai#up#chandigarh 5w,OCTOBER 21,post,41, 
9493.0, saanvidhiman #ZaraSaJhoomLoonMain ArreNaReNaReNa ZaraSaGhoomLoonMain ArreNaReNaReNa  .  .  #happiness#red#skirt#lifeisgood#happy#actorlife#actorlifestyle#actress#mumbai#chandigarh#up 5w,OCTOBER 18,post,131, 
5688.0, saanvidhiman #happynavratrijaimatadi🙏 5w,OCTOBER 17,post,150, 
18071.0, saanvidhiman #kivenmukdhetonnazranhatawan naterejehahordisda...💕  ..  ... #blue#white#pose#perfect#actorslife#actorlifestyle#actress#pollywood#mumbai#chandigarh#up 6w,OCTOBER 14,post,152, 
18537.0, saanvidhiman #🧸  .  #nature#naturelover#hills#waterfall#maclodganjdiaries#white#black#actorslife#actress 6w,OCTOBER 11,post,115, 
12454.0," saanvidhiman #Q-whengiventhechoicebetweenbeingrightorbeingkind  A-choosekind""  . ....  ... #sunlight#peace#pink#hm#diesal#actorlife#actorlifestyle#pollywood#mumbai#chandigarh#upcomingrapper 6w",OCTOBER 9,post,232, 
23661.0, saanvidhiman JabSaamneTumAaJaateHo KyaJaaniyeKyaHoJaataHai. . . . . . #vacation#hillstation#himachal 7w,OCTOBER 7,post,290, 
21304.0, saanvidhiman Tunazmnazmsamere Honthonpetheharja Mainkhwabkhwabsateri Aankhonmeinjaagunre  tuishqishqsamere roohmeinaakebasja jisaurterishehnaai usormainbhaagunre  . . . . PC #punjabi#actress#fashion#influencer#pollywood#punjabiartist#pollywoodartists#chandigarh#mumbai#uttarpradesh 7w,OCTOBER 5,post,155,  @spidy_photography  #model
