likes,about_post,date,type,comments,tagged_names
19806.0, santoshishetty Verified RockingmyMondayinthispiecefromtheRlElan™️PankajandNidhiCollection'Talisman'thatissoversatiletoloungeinwhen#TheWorldIsHomeorjusttostepout👜  TheRlElan™️FeelFreshfabricissoftandhasantimicrobialpropertiesaswell. Follow toseemoreofthecollection✨  ________________________________________________  #fabricofthefuture#Talisman  • 1d,1 DAY AGO,post,83.0,  @r.elan.official @pankajandnidhi @lakmefashionwk
9916.0," santoshishetty Verified Ihavebeenatit!Beenwatchingthe‘LakméFashionWeek2020–DigitalFirstSeasonFluidEdition’.🤸🏻‍♀️ It'sthelastdayofthe madnesstoday,socomejoininonthe#LakméFashionWeekwebsite✨  _________________________________________  #SpotlightReady#5DaysOfFashion• 2d",2 DAYS AGO,post,101.0,  @lakmefashionwk
16924.0, santoshishetty Verified Stunned!Watchedthefirstlivestreamedconcertof ‘WhereDoWeGo?’lastnight. Indeedaspectacularone#itsavibe🤩 Whatacoolwaytolaunchthe#GucciEpiloguecampaignduringthepreshow!😎🌪 🌪 2d,2 DAYS AGO,post,57.0,  @billieeilish @gucci
10722.0, santoshishetty Verified #5DaysOfFashionnotcompletewithout Sophistication&elegancecomestolifethrough#NEXAXKunalRawal’spremiumcollectioncalledPROCESS🌪🖤  Don’tforgettologinat8pmonLakmefashionweek.co.in #LFWWF20• 3d,3 DAYS AGO,post,215.0,  @kunalrawalofficial. @• nexaexperience lakmefashionwk  ____________________________________________  #NEXAatLFW
8689.0, santoshishetty Verified Dopamineiskickingin⛄️🧬🌪  Hairandmakeupby 💎👽 5d,5 DAYS AGO,post,227.0,  @makeupbymausam
12601.0, santoshishetty Verified Shotthisfestivelookonthenewlylaunched#GalaxyF41by thatisavailableexclusivelyon ⚡️  Lovingthecontrastandthecolours🎞Trulya#FullOnexperiencewithanInfinityUdisplay&aterrifictriple64MPcamera. Getyoursasthe#TheBigBillionDayssalehappeningnow!(linkinbio)•  Outfitfrom ✨  ______________________________________  #galleri5InfluenStar#ad• 6d,6 DAYS AGO,post,296.0,  @samsungindia @flipkart @myntra
22715.0, santoshishetty Verified Workingthisversatileco-ordstylefrom ‘sFestiveWinter20collection!Indeedapiecethatcanbestyledmultipleways.Howwouldyoustyleit?😍✨  📸 #LabelSquad• 1w,7 DAYS AGO,post,159.0,  @labelritukumar @mrinmaiparab __________________________________________  #LabelRituKumar
11880.0," santoshishetty Verified Throwbacktobindisandbraids,hopeyouaredoinggood,feelinggreatanddoingthingswithawareness🙏🏼😘✨ Sendingpyaaaartoall💞 1w",OCTOBER 19,post,154.0, 
8950.0, santoshishetty Verified The#GalaxyF41from hasjustbeenlaunched&isavailableexclusivelyon 🕴🏻🕴🏻🕴🏻 Itcomesinseveralcolours&alsohasagreatInfinityUdisplaythusofferinga#FullOnpremiumqualityviewingexperience&anamazing64MPtriplecameratocapturemy outfit😉✨  Tapthelinkinbiotocheckitout•  ______________________________________________  #galleri5InfluenStar#ad• 1w,OCTOBER 18,post,102.0,  @samsungindia @flipkart @myntra
9136.0," santoshishetty Verified 1👖,2ways •whichoneareyou?💘 1w",OCTOBER 17,post,88.0,  @w/levis
32595.0," santoshishetty Verified I’mcelebratingthisbeautifulsoultodaywithallmyheart.Iappreciateyousomuch!Yourloveinspiresmeinsomanywaysandletsmedealwitheverysituationwithequanimity.Nothingbutgratefulforyoursmile,hugs,kisses,yourlove,yourwisdom,yourmovessssandthissoulconnection🌻Gratefulforyou,baby❤️ ✨HappppyBirthdayyyy,myAntiFanti✨😘 YOU’REAWWWWWESOMEEE😎👋🏻🌻😚🤸🏻‍♀️😍🌹✨ 1w",OCTOBER 16,post,158.0, 
27222.0, santoshishetty Verified Justadaytogofor#MyntraBigFashionFestival✨AndI’mabsolutelyreadytogetmyhandsonsomemorecottonsareeslikethisone!😍✨ Saleisfrom16th-22ndOctoberwithupto50-80%off(pricesrevealedalready)• Tapthelinkinbiotogetyour wishlistready🌻  ProductCode:11549702 P.S.Flat500offforfirsttimeuserswithfreeshippingfor1month.  _______________________________________________  #MyntraBFF• 1w,OCTOBER 15,post,136.0,  @myntra
14090.0, santoshishetty Verified 2outof7ways highloosefitdenims•1or2?🍁 (slideandtapfordeets) 1w,OCTOBER 14,post,82.0,  @w/levis
17099.0, santoshishetty Verified Lastweeksometimewithmylovers🍃🐶🌻⛅️ 2w,OCTOBER 13,post,120.0, 
71988.0," santoshishetty Verified #7Days7Waysandmy7moods👽 inmy 👖  Agoodpairofjeanscangoalongway.Itcanalsobestyledinseveralwayswhichmeansyourstylecanbesustainable,too? Iindeedenjoyedstylingthisversatilepairin7differentways,whichone’syourfavourite?😍✨ #LiveInLevis•  🎞Editedby 😎⚡️ 2w",OCTOBER 10,video,136.0,  @Levis_in @sonamdoesmakeup
12792.0, santoshishetty Verified Join todayat7pmfor#ToIndiaWithLoveaone-of-a-kindvirtualfundraiserthatsupportstheIndiankarigar.Showyoursupportbyshoppingyourfavouritedesigners✨  https://vogueindia.giveindia.org/ 2w,OCTOBER 9,post,165.0,  @vogueindia
14352.0, santoshishetty Verified Waitingonyoutojoinmeforthe#HelloMemberIndiaLoyaltyprogramthat'sfinallyavailableon#HMIndia🤸🏻‍♀️⚡️⚡️  I'veindeedhadsuchbeautifulexperienceswith whichonlygotowardselevatingtherelationshipwiththiscommunityevenfurther💜  Notonlydotheircollectionshavesomethinginitforeveryonebuttheloyaltybenefitswillalsoenhanceyourshoppingexperience.AvailthebestoffersandlearnmoreaboutitonHm.com• 2w,OCTOBER 8,post,201.0,  @hm
20960.0," santoshishetty Verified HapppyBdayGhe,thanksformakingittomewithlotsofgheeandhealthylados😂❤️👋🏻 Thenonsensethatwespeakalwaysmakesalotofsense,lol,somuchsothatwedon’tevenrealiseit’s6amandweshouldprobablyhaveslept.Itmaylooklikewearehavingsomereallydeepconversations,butit’sallaboutgheintheend😂❤️ JUSSTTTTCANTTTTwitheachother,everytimeandthere’snowaywecanundoeachotherbecauseWHATHAVEWEFOUNDDDDDD.You’llcatchuseithereatingorlaughing,there’snothinginbetween😁⚡️ Deadlycomboforsurelikededdd🦹🏻🧝🏻‍♀️Iloveyouuuubaby,haveanamazingone💕 2w",OCTOBER 7,post,56.0, 
18485.0, santoshishetty Verified Indeedoneofmyfavouritefestivelooksandthischokerjustdoesitsthing😍✨ 3w,OCTOBER 6,post,52.0, 
29118.0, santoshishetty Verified whiteonwhitesundaze🥛🐇 3w,OCTOBER 4,post,183.0, 
24405.0," santoshishetty Verified AcoupleofweeksbackIwasoutinthesunandamidstnature,healingandjustbeing.InthatprocessIendedupgettingthesebruisesthatyouseeonmyarms,someonmythighsaswell.It’ssomeskinallergythat'smorelikeaplant'sreaction&withthesunburnsitgotworse,Iguess.But,Iseeitasnaturetattooingonme❤️🌿✨AndtillthetimeIhavethistattooI’mgonnaembraceit.Thankyouforyourconcernsandsendinginyourloveandhealing,Iappreciateit🙏🏼💛✨ Hopeyou’restayingsafeandfeelinggood,hugs&love😘 3w",OCTOBER 3,post,103.0, 
17495.0, santoshishetty Verified Allminty-printyinthisgorgeousnumberby 🌿🌿🌿✨ 3w,SEPTEMBER 30,post,329.0,  @printsbyradhika
11509.0, santoshishetty Verified onlyblockingcoloursatm🧢 4w,SEPTEMBER 28,post,67.0, 
21697.0," santoshishetty Verified Lookingfor🦎🦎🦎justtoseeifIcanbefriendswiththem🐒🍃 Vibesarereal,fearisanillusion,andyou’rebeautiful!Haveanamazingday,y'all💛✨ 4w",SEPTEMBER 27,post,105.0, 
16178.0, santoshishetty Verified Whichbuttondownlookareyouvibingwith?😎💘 4w,SEPTEMBER 26,post,203.0, 
14449.0," santoshishetty Verified Pokerstraighthairforthedayft.#DysonCoralle👾  Tried newestaddition&thereducedimpactoftheheatisjustwhatourhairneedsinthishumidity.Also,thewirelessfeatureissuchasavior.Goodbyecords!👋🏻  ______________________________________________  #DysonIndia#DysonHair• 4w",SEPTEMBER 25,post,266.0,  @dyson_india's
19490.0," santoshishetty Verified Indeedwassuchabeautifuldaywithmygirls😍✨🍃 Thankyou forlettingusjustbe,breatheandreset✨  P.S.YoucanusethecodeEARLY10toavailadiscountthisOctober🤸🏻‍♀️ 4w",SEPTEMBER 24,post,218.0,  @dellaadventureandresorts
86870.0," santoshishetty Verified Learning,healing&stayinggrounded.Enjoytheprocessandhaveabeautifuldayy’all✨Keepgrowing💘 4w",SEPTEMBER 23,video,150.0, 
23426.0, santoshishetty Verified yellowtobrightenyourday🌼✨ 5w,SEPTEMBER 21,post,218.0, 
192789.0, santoshishetty Verified 🍃✨ 5w,SEPTEMBER 20,video,150.0, 
11747.0," santoshishetty Verified Feelin'the astheycelebratetheir6thbirthdaywithsomecrazyoffers,here'sapeek!  -Upto40%offontheirwebsiteplumgoodness.com -Theirbest-sellingPlumkajalfreeonordersabove₹1299 -Greenteatravelkitfreeonordersabove₹1999 Also,surprisegoodiesoneveryorder.  _____________________________________________  #UnwrapGoodness#PlumTurns6• 5w",SEPTEMBER 19,post,202.0,  @plumgoodness
7361.0," santoshishetty Verified Livin'thesalonlifeathome👾  Thanksto Icannoweasilyaccessgreatqualityproducts&havethesalonexperienceathome!Gocheckoutthelinkinmybio&getyoursalonexperienceforthefestiveseason.  Productsinframe🚿:  SchwarzkopfProfessionalBcKeratinSmoothPerfectTreatment,PurpleandBcKeratinSmoothPerfectMicellarShampoo,Purple.(B086B4ZF2C)  O3+Moisture&GlowFaceSheetMaskforBrightening&MoisturizingAction.(B07T9F97QD)  ____________________________________________  #amazonfashion#amazonbeauty#amazonbeautyexpert #amazonsalonathome• 5w",SEPTEMBER 16,post,164.0,  @amazonfashionin
301533.0, santoshishetty Verified Songonmymind-TheBestofBothWorldsbyHannahMontana🎤😌 6w,SEPTEMBER 15,video,93.0, 
17700.0," santoshishetty Verified OnaDellaadventure🍃😷 Celebratedmydad’sbdayat andindeedfeltbeautifultobeoutthereinnatureaftersoooolong!!!Theyaremakingsurethatallsafetymeasuresaretaken&thepremisesaresanitisedfrequently,makingitasafeget-away⛰  ________________________________________________  #DellaResorts#ExperientialHospitality#UnLockWithDella• 6w",SEPTEMBER 15,post,132.0,  @dellaadventureandresorts
30286.0," santoshishetty Verified Created5festivemakeuplooks.Triedtonsofthingsfromsmokeytopopofcolourstoboldlips!Whichonewouldyougofor?Listingdowntheproductsthatyoucanshopfrom 💋✨  Look1 Eyes-MakeupRevolutionPreciousStoneShadowPaletteRuby,Multicolor(B07Z29CRY1) Lips-LakmeAbsolute(MasabaLips)LipPout,CaramelToffee(B074PC6XRH)+ LakmeAbsoluteKKKSepiaLipDefiner(B07H5LFL9D)  Look2 Eyes-MakeupRevolutionCrushedPearlPigments,SassQueen(B07G5GX291)+ MakeupRevolutionPreciousStoneShadowPaletteRuby,Multicolor(B07Z29CRY1) Lips-LakmeAbsolute3DmatteLipColour,BritishBrown(B083FFMV6L)  Look3 Eyes-MakeupRevolutionLondonBBBFortuneFavoursEyeshadow,TheBrave30(B01IVA9OY8)+ LakmeAbsoluteKohlUltimateTheGelatoCollection,Raspberry(B083FFH7VL) Lips-Lakme9to5NaturaleLipstick,HoneyLove(B07W979GD7)  Look4 Eyes-MakeupRevolutionPreciousStoneShadowPaletteRuby,Multicolor(B07Z29CRY1) Lips-LakmeAbsolute3DMatteLipstick,PurpleEvening(B083FG1XDQ)  Look5 Eyes-LakmeAbsoluteKohlUltimateTheGelatoCollection,BlackCurrantandLagoon(B083FFTV5N) Lips-LakmeAbsolute(MasabaLips)LipPout,CaramelToffee(B074PC6XRH)  _______________________  #amazonbeautyexpert#amazonbeauty#festivemakeup• 6w",SEPTEMBER 14,post,217.0,  @amazonfashionin
20394.0," santoshishetty Verified I’mconstantlyfocusingonenjoyingtheprocessofeveryactivitythatItakeup;suchasbeingfullyinvolved&inthemomentwithlove!Evenfordailytaskslikebrushingmyteeth,takingashower,eatingmymeals,Iconsciouslybringmyawarenesstothatverytaskandeverythingaboutitissuddenlysojoyfulandmomentous. Sendinglovetoallllll❤️ Practicegratitude,smileandhugyourself😘 6w",SEPTEMBER 13,post,157.0, 
7676.0, santoshishetty Verified mooood 6w,SEPTEMBER 12,post,168.0, 
16373.0, santoshishetty Verified wooffff 6w,SEPTEMBER 11,post,178.0, 
17931.0, santoshishetty Verified 🌶🥶 6w,SEPTEMBER 10,post,142.0, 
20251.0, santoshishetty Verified reversiblencool🏹 🏹 6w,SEPTEMBER 10,post,134.0,  @all2defy
22711.0," santoshishetty Verified tieanddyeit,stripeitorknitit⚡  KeepingitchillandeasyasI#WorkFromHome💻Herearemythreebuttondownpicks(alsonopantsftw)from •  Productdetails:  Look1 -MAXWomen'sRayonstraightKurta (B07VDYDL9Y)[https://amzn.to/2R79pqH]  Look2 -VEROMODAWomen'sStripedRegularFitShirt(B076X53K3G)[https://amzn.to/2FeRrjc] -LAKMEAbsoluteMatteMeltLiquidLipColor,MildMauve (B07F1QDQT9)  Look3 -FOREVER21CottonA-lineDress (B08BZ6K8YW)[https://amzn.to/32cYHW0] -CONVERSEUnisexCanavasSneakers(B012TRPWOK)  ____________________________________________________  #HarPalFashionable#AmazonBeautyExpert#AmazonFashion• 6w",SEPTEMBER 9,post,178.0,  @amazonfashionin
14970.0," santoshishetty Verified Aslongaslove'sadog,Immachaseit🥰  HUEMN+BUKOWSKILimitedEdition[Chapter2]T-shirtnowavailableon //  SICKONE & 🖤  ________________________________________________________  #CharlesBukowski#huemn#Bukowski#huemnbukowski• 7w",SEPTEMBER 7,post,142.0,  @_huemn @shy_machete @pranavkirti
21836.0," santoshishetty Verified Workingthemcut-outsandlongsilhouettesinthisnewRituKumardress• haslotsofgreatlabelstochoosefrom;checkouttheirdesignerboutiqueonthewebsite,justaclickaway🖤✨  Recreatemylook-  LabelRITUKUMARGreyEmbroideredRoundNeckSleevelessLongDress (B085VSWNWB)  LakmeAbsoluteMatteMeltLiquidLipColor,RedSmoke (B07F1SMLGL)💋  ______________________________________________  #AmazonFashion#AmazonDesignerBoutique#VocalForLocal#RituKumar#amazonbeauty#amazonbeautyexpert• 7w",SEPTEMBER 6,post,134.0,  @amazonfashionin @amazonfashionin @amazonfashionin
11547.0, santoshishetty Verified 🌚✨🌝 7w,SEPTEMBER 5,post,218.0, 
19156.0, santoshishetty Verified feelings🌡☀️💦🧶 7w,SEPTEMBER 3,post,130.0, 
20930.0, santoshishetty Verified busydays 7w,SEPTEMBER 2,post,229.0, 
21649.0," santoshishetty Verified Suchanelegantprintonprintset,feelingclassyandcomfyinthis outfit.Threwonsomesilverjewellerytocomplementthelook🌿  Shopthislookfrom#myntra- Productcode:11431006  Followmeon#MyntraStudioformore(linkinbio)👋🏻  ________________________________________________  #womenwear#kurtas#ethnicwear#indianwear#galleri5influenstar• 8w",AUGUST 31,post,223.0,  @myntra
21216.0, santoshishetty Verified Let’sgodancing👽  __________  wearing#HMStudio• photosby • 8w,AUGUST 30,post,275.0,  @mrinmaiparab
20542.0, santoshishetty Verified oldpicswhereI’mallshinyshinyundertheCali☀️💕 8w,AUGUST 28,post,112.0, 
