likes,about_post,date,type,comments,tagged_names
5519568.0, selenagomez Verified Firstissueof Chinawearingall ♥️  Photos:     Direction: ,NOVEMBER 10,post,18100.0,  @crfashionbook @rarebeauty @adrienneraquel Fashion: @yashuasimmons Hair: @marissa.marino Makeup: @makeupbymelissam Nails: @tombachik Art @elliottfoote 1w
9668851.0, selenagomez Verified Justfinishedfillingoutmyballot! 3w,OCTOBER 23,post,141000.0, 
13466459.0," selenagomez Verified WhenIgotmykidneytransplant,Irememberitbeingverydifficultatfirstshowingmyscar.Ididn’twantittobeinphotos,soIworethingsthatwouldcoveritup.Now,morethanever,IfeelconfidentinwhoIamandwhatIwentthrough...andI’mproudofthat.T-Congratulationsonwhatyou’redoingforwomen,launching whosemessageisjustthat...allbodiesarebeautiful. 8w",SEPTEMBER 24,post,21700.0,  @lamariette
3364505.0, selenagomez Verified I’velookedupto forsolongandtobeabletohearsuchaninspiredwomansaythesethingsmeanstheworldtome.Thankyou thankyou makesureyouregistertovote! 8w,SEPTEMBER 24,post,89600.0,"  @americaferrera @time, @americaferrera...and"
10354487.0, selenagomez Verified Thankyou forincluding inthe#AllureBestOfBeautyissue!💄💋  Bytheway-didyouregistertoVOTE?  Photographer:   MEusing withdirectiononZoomfrom  by: ,SEPTEMBER 9,post,12600.0,  @allure @rarebeauty @micaiahcarter Stylist: @ariannephillips Hair: @marissa.marino Makeup: @rarebeauty @hungvanngo Nails: @tombachik Story @jess_chia 10w
1927052.0," selenagomez Verified Wehadtodoalotofworkduringquarantine-wecouldn’thavearegularphotoshootwithaprofessionalphotographerormakeupartist.WesenteachmodelourLiquidTouchWeightlessFoundation,LiquidTouchBrighteningConcealer,andAlwaysAnOptimistIlluminatingPrimer.Wehadthemapplyitthemselves(supereasytouse)andtakeaselfie.Andit’soutNOWonlyat and‪RareBeauty.com‬!! 10w",SEPTEMBER 4,post,35100.0,  @sephora
8303482.0, selenagomez Verified SOEXCITEDthoughIwishwecouldcelebrateinperson.Thankyoutomyamazingteamat andourcommunity!Thisisjustthebeginning!!! 11w,SEPTEMBER 3,post,17000.0,  @rarebeauty
3596026.0, selenagomez Verified IT’SHERE!! isnowavailableonly   #sephorainjcpandRareBeauty.com.I’msoexcitedforyoutofinallytryit! 11w,SEPTEMBER 3,post,16000.0,"  @rarebeauty @sephora, @sephoracanada, @sephoramx"
4335295.0," selenagomez Verified IlovewearingmySoftPinchLiquidBlush,itaddstheperfecthintofcolorandfeelssoweightless.I’mwearingGrace.Onlyafewhoursuntil isavailableat -tonight12AMET! 11w",SEPTEMBER 2,post,19800.0,  @rarebeauty @sephora
4262607.0," selenagomez Verified LipSouffléMatteLipCream–weightless,hydrating,andlongwearing.I’mbeyondexcitedforyoutotryitonSeptember3rdonlyat I’mwearingInspire. 11w",SEPTEMBER 1,post,10900.0,  @sephora.
3856844.0,"  ismakeupmadetofeelgoodin,withouthidingwhatmakesyouunique. 11w",SEPTEMBER 1,post,22700.0,  @selenagomez Verified RareBeauty
5854944.0," selenagomez Verified Guys,Ican’tbelievewe'relaunching intwodaysonlyat  and #sephorainjcp❤Iwantedmyfoundationtobeweightlessandbreathable,butstillbuildable.SomedaysIwantfullcoverage,somedaysnotsomuch.LiquidTouchWeightlessFoundationisavailablein48shades. 11w",SEPTEMBER 1,post,19100.0,"  @rarebeauty @sephora, @sephoracanada @sephoramx."
3872531.0," selenagomez Verified I’vebeenworkingon fortwoyearsnow,it’ssomethingI’mreallyproudof-can’tbelieveIfinallygettoshareitwithyou.ComingTHISThursday,September3rd,at12AMET...onlyat , , andRareBeauty.com.#sephorainjcp 11w",AUGUST 31,post,28800.0,  @rarebeauty @sephora @sephoracanada @sephoramx
7683564.0, selenagomez Verified #SELPINKisofficiallyinyourarea.ThesongandvideoforIceCreamareoutnow!🍦 ,AUGUST 28,post,41800.0,  @blackpinkofficial 11w
7556454.0," selenagomez Verified TocelebratethefinalepisodesofSelena+ChefSeason1on andthereleaseofICECREAM,Imadealittleextrarecipe...  Sundae!🍨 11w",AUGUST 28,post,65400.00000000001,  @hbomax @serendipity3nyc @serendipitybrands
8583358.0, selenagomez Verified 🍦🍦🍦 12w,AUGUST 26,post,12800.0, 
6740758.0, selenagomez Verified IceCream🍨 🍦SELPINKINYOURAREAsoon...August28 12w,AUGUST 21,post,36500.0,  @blackpinkofficial
