likes,about_post,date,type,comments,tagged_names
947391.0," shakira Verified OMGthankyou forthecutestcookwarepiecesI’veeverhad!!Onceyougoceramic,non-toxicandpink(!!)younevergoback!NowIjustneedsomeonetoteachmehowtocook...😛 2d",2 DAYS AGO,post,2708.0,  @gwynethpaltrow
1282363.0, shakira Verified Surfskatingwithmyfriends! 📸by ,NOVEMBER 17,post,5463.0,  @jaumedelaiguana 1w
131924.0," shakira Verified Loslatinossomosunacomunidadqueestácreciendorápidamente,conmillonesdejóvenesalosquedebemosgarantizarunaeducacióndecalidadeigualdaddeoportunidades.Deacuerdoaloqueheinvestigado,Bidenproponeunsalariomínimode$15, bajaspagadasporenfermedadoporCOVID,yuniversidadpúblicaGRATISalasfamiliasqueganenmenosde$125k. Hoyeselúltimodíadeelegirloquedeseamosparaelfuturodelosjóveneslatinos. 3w",NOVEMBER 3,post,7784.0, 
1125844.0, shakira Verified MeetMaxPiquéMebarak! AKAballofcuteness! ❤️🐇 4w,OCTOBER 28,post,8236.0, 
1813217.0," shakira Verified Lastweek,pureOxytocinattheWavegarden! by📷 ",OCTOBER 22,post,8417.0,  @wavegarden_official Photos @gorkagurdi 5w
803320.0," shakira Verified Latinasmaybeaminoritybutourvoiceswillmakeahugedifferenceduringthiselection.Sogooutandvote.Yourvoiceisyourvote🗳#linkinbio Latinassomoslafuerzadetrásdenuestrasfamiliasynuestrascomunidades.Aunquesomosunaminoríaenestepaís,lasvocesunidasdelasLatinasharánunagrandiferencia.Tuvotocuenta. 🗳#linkenbio ",OCTOBER 16,post,7562.0,  @she_sepuede Las @she_sepuede 5w
875435.0, shakira Verified 14/10/20-Happyplace. Picsby ,OCTOBER 15,post,10600.0,  @jaumedelaiguana 6w
891250.0, shakira Verified Morningvibe#feelinggood 🥰🛹 6w,OCTOBER 14,post,3976.0,  @doggface208
140857.0," shakira Verified LatinosareconsideredaminorityintheUSbutwhatmanydon’tknowishowfastwearebecomingthelargestoneandamajorforce!Wehaverealpowerinthiselectionthataffectsthewholeworld.Thistimearoundlatinoshavearealsayandmustshowup.Findouthowtovoteinyourstateatthe#linkinbio. LoslatinossomosconsideradosunaminoríaenlosEEUU,peroloquemuchosnosabenesnuestrafuerzaylavelocidadalaqueestamoscreciendo.Tenemosunpoderrealenestaseleccionesquerepercutenenelmundoentero.Estavezloslatinospodemoscambiarlascosas,tenemosunavozydebemosusarla!Averiguacómovotarentuestadoenellinkqueencontrarásenlabio. 6w",OCTOBER 13,post,9371.0, 
303144.0, shakira Verified Sohumbled&happytobepartofPrinceWilliam’s#EarthshotPrizeCouncil(fullvideoonmyfeed) 7w,OCTOBER 9,post,932.0, 
718625.0," shakira Verified ElálbumdeShakira,PiesDescalzos,cumple25añoshoy!Vamosacelebrarlodurantetodoeldía! Noscompartensusrecuerdoscomentandoenestepost? Shak's#PiesDescalzosalbumturns25today!We'llbecelebratingthroughoutthedayonShak'ssocials-pleaseshareyourmemoriesofthealbuminthecommentsbelow! ShakHQ 7w",OCTOBER 6,post,7781.0, 
1602934.0, shakira Verified My#EmojiChallenge!Aquíestámiretode#ImitaElEmoji! 7w,OCTOBER 4,post,5041.0, 
1724831.0, shakira Verified FakeCapowithmycrew! FakeCapoenunbreakdelosensayos… 7w,OCTOBER 3,post,3888.0, 
634327.0, shakira Verified Olitasdecemento!Wavesofconcrete! 9w,SEPTEMBER 24,post,7503.0, 
1269112.0, shakira Verified Waitingformidnightlike... #dancemidnight#comingsoon 10w,SEPTEMBER 17,post,2338.0, 
5569043.0, shakira Verified ThisisanewbathingsuitIdesignedandmyfriendBegomadeforme.Ialwaysneedtocreatemyownforthesummer! 11w,SEPTEMBER 7,post,1683.0, 
