likes,about_post,date,type,comments,tagged_names
9338.0, sheetalthakur Verified #sardiwalidhoop✨🌈☀️ 1d,1 DAY AGO,post,23, 
7635.0," sheetalthakur Verified Whysitinthearchives,whenyoucanbeonthetimeline💁🏻‍♀️#onefromthearchives 1w",NOVEMBER 17,post,39, 
16878.0, sheetalthakur Verified WishyouallaveryhappyDiwaliandhopethateverypersontransformsdarknessintohappiness🪔💕#Happydiwali  Styledbymysisters   ,NOVEMBER 14,post,51,  @nidhikurda @anusoru @lucknowicrafts 1w
11080.0, sheetalthakur Verified Justbusyaddinglayers💁🏻‍♀️ 2w,NOVEMBER 10,post,51, 
11846.0, sheetalthakur Verified Novemberitis!!!!AndwhatdoImissthemost?? Themagicofwinter&Sweaters!!!!!😫 2w,NOVEMBER 9,post,50, 
12363.0," sheetalthakur Verified BeenwaitingtopostthispictureuntilIcameupwithagoodcaption,butIcouldn’tthinkofanything.Soeffit,Iwasfeelingmyself#feltcutewontdeletelater 3w",OCTOBER 29,post,61, 
30231.0, sheetalthakur Verified HappyDurgaashtami♥️ 4w,OCTOBER 24,post,5, 
9476.0," sheetalthakur Verified Lifeisshort,letmyPallubelong! 5w",OCTOBER 20,post,21, 
5976.0, sheetalthakur Verified मेरीएकबहुतपुरानीप्रेमकहानी💕🙏🏻#अम्मा♥️ 5w,OCTOBER 20,post,65, 
12094.0," sheetalthakur Verified Don’tjustcelebrateNavratri,understandit’simportanceandrespectwomen.HappyNavratri#duggadugga🙏 5w",OCTOBER 17,post,82, 
8327.0, sheetalthakur Verified गाँवमेंरहतेरहतेज़िंदगीखुदबख़ुदरूटीनमेंआजातीहै🙏🏻 5w,OCTOBER 16,post,64, 
7329.0, sheetalthakur Verified ✨नूर✨ 5w,OCTOBER 15,post,8, 
7818.0, sheetalthakur Verified ✨नूर✨ 6w,OCTOBER 15,post,48, 
5046.0, sheetalthakur Verified ✨हीर✨ 6w,OCTOBER 14,post,72, 
7869.0, sheetalthakur Verified ✨हीर✨ 6w,OCTOBER 14,post,69, 
6122.0, sheetalthakur Verified ✨हीर✨ 6w,OCTOBER 13,post,162, 
6098.0, sheetalthakur Verified Whenacharacterdoesanembarrassingthingandyoujustshutthebookfeelingembarrassed.....&thenyouopenthebookcringing#rereadingclassics#robinsoncrusoe 6w,OCTOBER 10,post,167, 
6610.0, sheetalthakur Verified *Insertmusic*  पियातोसेनैनालागेरे...🎼💕 6w,OCTOBER 9,post,53, 
