likes,about_post,date,type,comments,tagged_names
7497.0," shonda1020 Verified FoilPacketSweetPotatoesthatareYamtastic!Perfect#Thanksgivingsidedish! PacketIngredients: 4medium-largesweetpotatoes Saltandblackpepper oliveoil ReynoldsWrap®Non-StickFoil FORSERVING: 1/4cupdarkbrownsugar(coconutordatesugararegreatalternatives) 1teaspoongroundcinnamon 1/2cuproastedpecanpieces 1/4driedcranberries 1cupminiaturemarshmallow  Directions: Preheattheovento400°F. Washsweetpotatoesandpatdry. TearofffoursheetsofReynoldsWrap®Non-StickAluminumFoileach16incheslong.PlacesweetpotatointhecenteroftheReynoldsWrapNon-StickFoil,dullsideofeachfoilsheettopreventsticking.Thenpokeholesintothesweetpotatoes,coatinoliveoilandseasonwithsaltandpepper. Bringupthelongsidesofthefoil,sotheendsmeetoverthem.Doublefoldtheends,leavingroomforheattocirculateinside.Repeatforeachsweetpotato. Doublefoldthetwoshortendstosealthepacket.Foldthefoilaroundthepotatolikeapresent. Bake60minsoruntilpotatoesuntilsoft.Carefullyopenpackets. Topeachasdesiredamountofbrownsugar,marshmallows,cinnamon,driedcranberries,andpecans.Youcangetcreativewithyourtoppings! Returntoovenonbroiluntilmarshmallowsarebrowned. ServeimmediatelyandENJOY! 1d",1 DAY AGO,post,265.0, 
530.0," shonda1020 Verified #ADI’mexcitedtopartnerwith forthisdeliciousmealrecipe.StuffedSweetPotatoesaretheperfectadd-ontoanymealorholidaycelebration.Sweetpotatoesareagreatsourceoffiber,vitamins,andmineralswhichmakeiteasytoenjoywithoutatonofguilt!Thesearedeliciousandquitefilling!Sweetpotatoescanbestickyandamesstocleanup.IloveusingReynoldsWrap®Non-StickFoilforasimplecleanup!Iservedthesweetpotatoesrightoutofthepacket,itdoesn’tgetmucheasiertomakeformomthanthese!  ThesesweetpotatoesareYamtastic!!AndtheReynoldsWrap®Non-StickFoilmakesiteasytolinepansandgrills,orcoverandwrapyourdisheswithouttheaddedhassleofcleanup.Justbesuretoputthedullsideofthefoilfacingup–that’sthenon-stickside.#ReynoldsPartner 2d",2 DAYS AGO,post,8.0,  @ReynoldsBrands
10281.0," shonda1020 Verified IdkwhatInstagramisdoingwiththeiralgorithm.It’ssuperfrustratingattimestoreach.0000001ofyourdemographics.I’vedecidedthebestthingIcandoiskeeppostingandsharewhatistruetome.Iworrysomuchaboutengagementthatitcompletelytakesanymotivationtopostaway.Istartedmyaccounttosharemyjourneyandattimesfeellikethatislonggone.Sohere’sanupdate💞👇  Ifindcomfortinfood.I’mthinkingaboutwhat’sforlunchwhileI’meatingbreakfast.WhenI’mstressedIgrabsomethingtoeat.Wecelebratewithfood.Wegivefoodasgifts.Weonlywanttoeatfoodwejustloveandtastegreattous.I’mnotsayingweshouldn’tenjoywhatweeat.Weshould. I’verecentlyhadtoresetmyrelationshipwithfood.It’ssoeasytomakeexcusesandthinkI’llstarttomorrow.Monthslaterstillrepeatingthatsamemessagetomyself. Therealityistherereallyisnoexcuse.Wemustallovercomestrugglesandbarrierstoachieveanythingworthachieving.Weknowthedifferencebetweenadonutandabowlofoatmeal. Thechoiceswemaketodaywillleadtotheresultsweachievetomorrow.Inactiontostarttodaywillonlymakeiteasiertocontinuethatpartner. I’mnotanaturalsize0comingatyouwithahigherthanattitude.I’mamomthatstruggles,hassetbacks,andinsecurities.Wehavetoworkatwhatwewant.I’mweek1intofollowingamealplan,it’sbeenyearssinceI’vefollowedone.Notmonths.Years.Week1willneedtobefollowedby15morebeforeI’llseetruelastingresults.IknowthatbecauseI’vebeenonweek1before. Mypointisitdoesn’tmatterhowmanytimeswestartover.Failureisn’tpermanent,it’sonlyatemporarysetback.Askyourselfwhat’sholdingyoubackfromwhateveryourgoalis.Makealistofwhatyouneedtobesuccessful.I’vefoundthatlisthasonethingonit.Me.Mydecisions.Mycommitment.Simplyme. Ifyoufindyourselfinmyshoeshanginthere.Commitandstayfocused!Wegotthis👊  #healthy#mom#fitnessjourney#weightlossjourney#lifestyle#life#Sunday#Sundayvibes#keepgoing#keepmovingforward#strong#strongwomen 4d",4 DAYS AGO,post,7.0, 
3143.0," shonda1020 Verified Let’smakemealsandmemorieswiththoseyoulovethisHolidayseason,evenifthingsdolookalittledifferentthisyear.Crock-Pot®hasalwayscreatedasenseofcomfortanddespitenothavingnormalgatheringsCrock-Pot®isheretohelp!#sponsored IusedmynewCrock-Pot®6-QuartExpressPressureCookertomakethiscomfortinganddeliciousTurkeyandNoodlessoup. TheCrock-Pot®ExpressCrockPressureCooker,isanall-in-oneappliance.Whetheryou'repreppingyourmealtoletitcookallday,oryouneedadishinunderanhour—thisone-potpressurecookerdoesit 6-QuartExpressCrockPressureCooker  Ingredients *4lbsfrozenorthawedTurkey(canusechicken) *1largeyellowonion,roughlydiced *2clovesmincedgarlic *4largecarrots,chopped *6sticksceleryribsincluded,chopped *3-4cupswater *4-5cupsbroth* *2tablespoonoliveoil *10ounceswideeggnoodles *SaltandGroundblackpepper *1tbsponionsalt *Italianseasoningparsley *2tbspfreshthyme *1tspdriedoregano Instructions StartbyrinsingyourTurkeywithcoldwaterandpatdry. IfusingathawedTurkeyorchicken:Seetheblogforfrozendirection. SetCrock-Pot®6-QuartExpressCrockPressureCookertosauté.Addoliveoil.Whenyourcookerisheatedaddthegarlic,onion,celery,andcarrots.Sauté4/5minsoruntilonionistranslucent. AddtheTurkey,placingitbreastupinthecenter. Addinthenoddles.Allowingthemtofallaroundtheturkeyontopoftheveggies. Pourin5cupsbrothand3/4cupswater.YouwilladdwatertomaxfillindicatorinyourCrock-Pot®6-QuartExpressCrockPressureCooker.Placelidonandsecure.Pressthemanuelbuttonandusethe+/-buttonstosetto8mins.Whenthecooktimeends.Allowthepressuretorelease. Carefullyopenthelid,andremoveturkey.Useaforktoshredthechicken,removingthebonesasyougo.(Themeatwillliterallyfalloffthebone.)AddshreddedturkeytoCrock-Pot®andusingawoodedorplasticladlecombinewell.Makesuretogettothebottomtocatchtheveggies. Garnishwithfreshthymeorparsley.Serveimmediately. #Crockpot#Crocktober 1w",7 DAYS AGO,post,4.0,  @all!  Equipment CrockPot®
5886.0, shonda1020 Verified GoodmorningandHappyMonday!ThisisneitherfitnessorfoodbutIwantedtoshare.It’stakenme2yearsandlotsofhelpbutmyhomeremodelisfinished.💞🥳Ilovethewayitturnedout.I’llfindabeforepicandpostinmystories:)Whatdoyouthink? 1w,NOVEMBER 16,post,14.0, 
3782.0," shonda1020 Verified Cajun+GarlicStuffedChicken✨  Lovethisstuffedchickenidea.ThisoneisboastingwithsomuchFLAVOR🔥🔥Simplerecipebelow! By chickendownthesidetocreateapocket Ruboliveoiloverchicken&sprinkle1tbsp roastedgarlic&Cajunseasoning Stuffchickenwithdicedbellamushrooms,broccoli&cheddarjackcheese Placeonbakingsheet&coverwithaluminum Bakeinovenat375for20min Thentakeout,addalittlemore(optional) Crispupinairfryerat320for5min . . . . . . . . . . . . #mealprepideas#mealplanning#eatbetternotless#stuffedchicken#eatcolorful#makesmewhole#kaylaitsines#weeknightdinner#simplerecipes#cleanfoodshare#quickandhealthy#fuelyourbody#keto#nourishingfoods#lowcarbrecipes#glutenfreerecipes#ketorecipes#food4thought#healthyfoodshare 1w",NOVEMBER 15,post,16.0,  @thetastebunny #stuffedchicken Slice @mccormickspice
7625.0," shonda1020 Verified BecauseI’mreallyreallyhungryrn🤩 SkinnyBunsEggSandwich🍳🥑 Thesedeliciousskinny""buns""eggsandwichesforanymealthisweek!Loadedwithnutrients,proteinandsatisfyinghealthyfats...allreadyinabout10minutes! By 2servings  Ingredients: 4largefree-rangeeggs 2-3Tbsp.water 1smallripeavocado,lightlymashed 2-3slicesnitrate-freebacon,cookedtoyourliking 2Tbspsshreddedcheese(optional) coconutoravocadooilcookingspray  Instructions: Placeamediumnonstickpanovermediumheat,thenarrangeinside4masonjarlids(centersremoved).Lightlyspraywith cookingspray.Verygentlycrackeggsintothecentersofthelidsandlightlywhiskwithaforktobreakuptheyolk. Pourwateraroundthelidsandcoverthepan.Cookonlowheatforabout3-4minutes,oruntiltheeggisjustset.Removelidandtopeggswithcheeseifyoulike. Cookuntilthecheeseisslightlymelted,about1minutemore. Gentlyfliptheegg""bun""sidewithoutthecheeseontotheplate.Topwithmashedavocadoandcookedbacon. Assembleasshown,andenjoy!#avocado#egg#bacon#friday#fridayvibes#hungry#yum#lowcarb#delicious#breakfast#breakfastideas#buzzfeast#buzzfeedfood#yummy#recipe#sandwich#breakfastsandwich#quickmeals#easyrecipes 2w",NOVEMBER 6,post,125.0,  @cleanfoodcrush makes
8247.0," shonda1020 Verified NowthatIhaveyourattentionGOVOTE🇺🇸❤️🙏🏻 ItookthisinamomentthatIallowedmyselftobeproud.Proudaftobehonest.Ihavecomealongway.IamfromsmalltownTexaswherelifeisn’talwayseasy.Ididn’tgiveupEVER.Mymomtaughtmebyheractionsyouworked,expectednothingfromanyoneelse,andkeptgoing.Idomybesttolivethatwaytothisday.Istrugglewithselfdoubtandoftenwonderwhenthatwillend.ItmaynotendbutIcontrolwhereIallowmymindtogo.Ichoosetofocusonthepositive,thethingsIcancontrol.Wecontrolourabilitytogovote.Wearefreebutourfreedomisn’tfree.Wehavearesponsibilitytoeducateourselvesontheissuesandelectpeoplethatstandforwhatwebelieve.Don’tallowanyone-media,celebrities,influencers,familymembers,etctochangewhatyourvaluesare.#vote#vote2020#election2020#election#electionday#freedom#govote#america#proud#mom 3w",NOVEMBER 3,post,48.0, 
8286.0," shonda1020 Verified CINNAMONROLLINAMUG😍 Madewith2-ingredientdough! By anyofyoutriedthe2-ingredientdoughbefore?  Iwonderedwhetheritwouldworkinasmallerbatch...inthemicrowave...ANDITDOES!!🙌  ThiscinnamonrollwaseverythingIwantedittobe🤤 Soft,doughy,cinnamonyandsweet!  Soundonforfullinstructions🔉  Here’swhatyou’llneed👇  2-ingredientdough: 50gSelfraisingflour 60gGreekyoghurt  Filling: 10gbutter,melted 1tbspgranulatedsugar 1/2tspcinnamon Icing:  3tbsppowderedsugar 2tspMilk  Mymicrowaveis750Wand50secondsonhighwasaboutperfect.Trynottoovercookasthedoughwillgochewy!  Happy#humpDayeverybody🥰 #cinnamon#cinnamoroll#yum#dessert#healthylifestyle#delicious#instagood#inspiration#mugcake#cinnamonrolls#delicious#sundayfunday#sundayvibes#sunday 3w",NOVEMBER 2,post,30.0,  @fitwafflekitchen  Have
3405.0," shonda1020 Verified HowbadlydoyouWONTonthese?😏Presentingmyvegandumplingsinasichuanchillisoysaucewithapulledoatsandscallionstuffing🥟😍Recipebelowby ingredients-oats,yellowpeas,favabeans,saltandoil!Soit'snotonlygoodfortheplanet,butalsoloadedinnutrientsandsoeasytouse. . *Ingredients* . Forthestuffing: -200gPulledoats -Springonion,2tbspchopped -1tspmincedginger -1tbspsoysauce -2tspsesameoil -5tbspwater -saltandsichuanpeppertotaste . Forthewrappers: -2cupsofflour -1/2cupofwaterplussomeextratspsifneeded . Forthesauce: -halfcupchillioil -1/4cupsoysauce -2tspgarlic,grated -1springonion,chopped . Method: -Lightlysautethepulledoatsonlowheatinsesameoil.Addalltheotherstuffingingredientsandfryforamin.Setasidetocool. -Mixthesauceingredientsinabowlandsetaside. -dumplingwrapper(oruseshopboughtwrappers)andfold.Thenaddthestuffingandsteamfor3-4mins. -Addittothesauceandservewithasprinkleofchoppedspringonion.Enjoy💗 #wonton#dumplings#delicious#dinner#lunch#recipe#recipes#sogood#pulledoats#meals#recipe#recipes#yum#comfortfood 4w",OCTOBER 29,post,41.0,  @truffleandtoast - 5
