likes,about_post,date,type,comments,tagged_names
1433830.0, shraddhakapoor Verified Ashtami🙏💫💜 9h,9 HOURS AGO,post,51400.0, 
1900943.0," shraddhakapoor Verified Finally!Goldjewellerythat'smadeforyoureveryday! keepsyourwardrobeinmind,andmakesfashionablegoldjewelleryforallthatyoudoeveryday-acoffeedateforone,ameetingatwork,atriptothemall,orevenwhenyou'redoingnothingatall!It'smadesoyoulookgoodalways,soyoucanlivethe#ArtOf24x7Fashionlife!⚜️💜  #Melorra#FineGoldJewellery#EverydayGold 2d",2 DAYS AGO,video,5475.0,  @melorra_com
1881344.0, shraddhakapoor Verified Here'sasnippetofmewalkingfordesignerlabelFalguniShanePeacockatIndia'sfirst-everdigitalcoutureweek!😍Whatanexperienceitwas!🧚🏼‍♀️🔮♥️  Makeup&hairMagicby & 💫  #falgunishanepeacockindia#falgunishanepeacock#thepeacockmagazine#falgunipeacock#shanepeacock#fsp#fdci#icw2020#decodingcouture 1w,OCTOBER 13,video,16800.0,  @shraddha.naik @menonnikita
1835967.0, shraddhakapoor Verified Onewiththecreatorsofthisdreamycouture- and !🧚🏼‍♀️🔮♥️  #falgunishanepeacockindia#falgunishanepeacock#thepeacockmagazine#falgunipeacock#shanepeacock#fsp#fdci#icw2020#decodingcouture 1w,OCTOBER 13,post,2047.0,  @falgunipeacock @shanepeacock
2573181.0," shraddhakapoor Verified IwillstandbymywordsandrepeatthatifIcould,Iwouldliveinthisgorgeouslehengaforthenext7daysstraight!😄✨ LovedwalkingforFalguniShanePeacock atFDCI'sfirst-everdigitalIndiaCoutureWeek2020astheirshowstopper! Thankyou and fordressingmeupinthisdreamycouture!🧚🏼‍♀️🔮♥️  AndthankyouMagicGirls & formakeupandhairlove✨  Thankyou forsuchbeautifulphotos!!  #falgunishanepeacockindia#falgunishanepeacock#thepeacockmagazine#falgunipeacock#shanepeacock#fsp#fdci#icw2020#decodingcouture 1w",OCTOBER 13,post,15800.0,  @falgunishanepeacockindia @falgunipeacock @shanepeacock @shraddha.naik @menonnikita @avigowariker
1789019.0, shraddhakapoor Verified Homefitnesswith and 💪🏼🏡 Thankyoubothforbeingmyfitnessgurussince#ABCD2!🙏Ourvideocallworkoutshavebeenbeyondamazing⭐️💜#HomeWorkout#FitnessFun#HealthIsWealth  P.s:thankyou formyfitnesscompanion+watch☺️🥰 #realmeWatch 2w,OCTOBER 9,post,17100.0,  @_praveen_nair @maaheknair @realmelink
3353458.0, shraddhakapoor Verified Yum!!! 🤤😍💜 #HappyAtHome #HersheysIndia 5w,SEPTEMBER 14,post,12100.0,  @hersheysindia
1640024.0, shraddhakapoor Verified Doublebirthdaylove #MeenaAaji 6w,SEPTEMBER 8,post,3774.0,  @💕🎉💜asha.bhosle
4238178.0, shraddhakapoor Verified Inlovingmemory...#1YearOfChhichhore         ,SEPTEMBER 6,video,10600.0,  @❤️  nadiadwalagrandson @niteshtiwari22 @sushantsinghrajput @fukravarun @naveen.polishetty @tushar.pandey @tahirrajbhasin @saharshkumarshukla @_prat wardakhannadiadwala ashwinyiyertiwari 6w
1793594.0," shraddhakapoor Verified RainGodsareleavingwithauthority🌧🙏PayingourobeisancewiththisenchantingmeghmalhartrackbymybelovedAshaaaji. ,sungbymywonderfulMommy.🎶✨💜 7w",SEPTEMBER 5,video,7378.0,  @asha.bhosle
