likes,about_post,date,type,comments,tagged_names
337593.0, shrutzhaasan Verified Abacusmemories❤️❤️❤️with   AnshuandShakti—-abacuswassuchanamazingschoolandI’malwayssothankfultohavestudiedthereandmadetheverybestfriendsforlife🌸 2d,2 DAYS AGO,post,614.0,  @anusharamki @niaeats @seaanemoneshe
192872.0, shrutzhaasan Verified Monkeyme🐒1993 2d,2 DAYS AGO,post,631.0, 
117304.0, shrutzhaasan Verified Happyten !!It’sbeensofunandthanksformypresent💝 2d,2 DAYS AGO,post,1107.0,  @instagram
589355.0, shrutzhaasan Verified Backonsethappiness❤️🌸 1w,7 DAYS AGO,video,528.0, 
153546.0,  #adidaszx 1w,OCTOBER 2,post,549.0,  @shrutzhaasan Verified adidasoriginals
319340.0, shrutzhaasan Verified 💜💜💜💜💜Lovingmy #adidaszx💜💜💜💜💜💜 1w,OCTOBER 2,post,1033.0,  @adidasoriginals
84286.0, shrutzhaasan Verified Majormood🌸💜🖤💜🖤🌸styledby ,OCTOBER 2,post,193.0,  @amritha.ram 1w
432455.0, shrutzhaasan Verified FeelinthatChennai🔥🔥🔥🔥🔥📸 👜 ☀️🥵 ,OCTOBER 2,video,567.0,  @amritha.ram @supervek @chennaicity 1w
264153.0, shrutzhaasan Verified 🧡❤️🧡💛❤️#workmode#staysafe 1w,SEPTEMBER 30,post,519.0, 
178896.0," shrutzhaasan Verified Machasandmachis,watchoutfortheladySingham'spowerpunchcomingyourway!Aaryastarringmyfavourite nowstreaminginTamil,onlyon ",SEPTEMBER 28,video,404.0,  @sushmitasen47 @disneyplushotstarvip 1w
76837.0," shrutzhaasan Verified Machasandmachis,watchoutfortheladySingham'spowerpunchcomingyourway!Aaryastarringmyfavourite nowstreaminginTamil,onlyon ",SEPTEMBER 27,post,492.0,  @sushmitasen47 @disneyplushotstarvip 1w
143917.0, shrutzhaasan Verified Deeplysaddenedbythelossof#SPBalasubramaniamsir..thankyouforyourartistryandyourkindwords.maythehallsofheavenbefilledwithyourresplendentvoice.Youwerefamilyandthelossisheartbreaking 2w,SEPTEMBER 25,post,605.0, 
