likes,about_post,date,type,comments,tagged_names
25919.0, notknown,13 MINUTES AGO,post,231.0, 
16214.0, notknown,1 HOUR AGO,post,3208.0, 
93186.0, snoopdogg Verified MeandFredBerry.Aka.Rerun.Ibroughthimonmyshowdoggyfizzletelevizzleon.MTV.CuzIlovedhimsomuchasakid.Hewassodope💯✨🔥🙏🏾 16h,16 HOURS AGO,post,332.0, 
160400.0, snoopdogg Verified MeandFredBerry.Aka.Rerun.Ibroughthimonmyshowdoggyfizzletelevizzleon.MTV.CuzIlovedhimsomuchasakid.Hewassodope💯✨🔥🙏🏾 16h,18 HOURS AGO,post,5582.0, 
45641.0, snoopdogg Verified MoodAllWeek 20h,20 HOURS AGO,post,1560.0, 
142887.0, snoopdogg Verified MakeAPimpWannaJumpback 1d,1 DAY AGO,post,539.0, 
74412.0, snoopdogg Verified FightoftheDecade.ShatteredallPPVprebuyrecords.Clickheretobuynownwatchwithme.  ,1 DAY AGO,post,9766.0,  @Https://afy.ai/sqhKJ MikeTyson @royjonesjrofficial 1d
76961.0, snoopdogg Verified Repostfrom  NOWandgetur DOGGYSTYLEBOXERSforHimNHerInThaDoggystyleBundle#27yearsold 1d,1 DAY AGO,post,2841.0,  @snoopysclothing • Visit @snoopermarket @ethika
60131.0, snoopdogg Verified Repostfrom  NOWandgettha  DOGGYSTYLEBOMBERinthaDoggystyleBundle#27yearsold 1d,1 DAY AGO,post,204.0,  @snoopysclothing • Visit @snoopermarket @karlkani @snoopysclothing
85699.0, snoopdogg Verified Repostfrom  NOWandgetyour  DOGGYSTYLETSHIRTinthaDOGGYSTYLEBUNDLE#27yearsold 1d,1 DAY AGO,post,716.0,  @snoopysclothing • Visit @snoopermarket @snoopysclothing @karlkani
125140.0, snoopdogg Verified Repostfrom  NOWandgetyour  DOGGYSTYLETSHIRTinthaDOGGYSTYLEBUNDLE#27yearsold 1d,1 DAY AGO,post,794.0,  @snoopysclothing • Visit @snoopermarket @snoopysclothing @karlkani
119011.0, snoopdogg Verified Inglewoodlovetoday.Thanksto    👊🏿🔥🔥💥.🦃 2d,2 DAYS AGO,post,1136.0,  @rams @chargers @laclippers @sofistadium
124954.0,  🔥👊🏿💥💥🎤🎤💎💎💨💨💨 2d,2 DAYS AGO,post,497.0,  @snoopdogg Verified anderson._paak
133256.0, snoopdogg Verified Happy.B.DaytomybloodCuzzzn ,2 DAYS AGO,post,641.0,  @kdubb_cpt 2d
80416.0, snoopdogg Verified 🐐💨🎤🤷🏽‍♂️💎💎🔥🔥 2d,2 DAYS AGO,post,1205.0, 
43347.0," snoopdogg Verified Celebrating27yearsof#doggystyle🙌🏿🙌🏿imadeaspeciallimitedbundleforyallwithmybomberjacket,t-shirtandboxerbriefs💪🏿💪🏿💪🏿🎉getitonsnoopermarket.com 2d",2 DAYS AGO,post,3958.0, 
366807.0, snoopdogg Verified Happy.Cdayto.My1stsolorecord.Doggystyle27yearsoldartby ✨👊🏾🔥.🐐🎙 2d,2 DAYS AGO,post,703.0,  @jo2cool_the_artist
248763.0, snoopdogg Verified Happy.Cdayto.My1stsolorecord.Doggystyle27yearsoldartby ✨👊🏾🔥.🐐🎙 2d,3 DAYS AGO,post,1262.0,  @jo2cool_the_artist
