likes,about_post,date,type,comments,tagged_names
7981.0," symmetrybreakfast Verified SunshineEggs,thisparticularrecipeisatwistonthedeliciousMenemenwithaddedsaffron,freshherbsandagiantpieceoffetacheesewithsomeUrfachilli.Fromthenew cookbookraisingawarenessaroundmentalhealthandsuicidepreventionthroughfoodandeventsintheUK Iwassohappytobeaskedtocontributearecipe(notthisonethough!thisisfrom andsomewordstoopentheBreakfastchapter.90recipesfromchefsandfoodieslikeYotamOttolenghi,GordonRamseyandRomyGill. --------------------- IfyouwantacopybeforeChristmas,thenheadovertotheBederwebsiteandusemycode“MICHAEL10”for10%discount.www.beder.org.uk 1w",NOVEMBER 15,post,47.0,  @beder_uk @frombederskitchen. @sw3kitchen)
16121.0," symmetrybreakfast Verified GoodMorningChengdu🐼成都早安！BreakfastatMiXun,avegetarian/plantbasedteahousethat’spartofthe (ahotelsetamongstrestoredQingdynastybuildings).ThemenuisalltheclassicsofSichuancooking,reimaginedwithoutmeat!Spinachdandanmain担担面,tofumadewithwalnutsinsteadofsoyandsomeveryartfullyarrangedbambooinchillioil.Definitelykeepingitlightthismorningbecausewearegoingonaminifoodtourtodaywith toeatallthechilli,dumplingsand甜水面🍜I’mgoingtobehittingallthespotsfromtwoyearsagobutforthosewhomissedthatbuckleyourseats!#symmetrybreakfast#chengdu#成都 2w",NOVEMBER 7,post,97.0,  @templehousecdu @shanghaigirleats
11118.0," symmetrybreakfast Verified HappyHalloweeny’all🎃!Crackingoutthepumpkinfacesagain,quitesimplereally.cutoutthemouthandstretchthedough,thenusethepieceyoucutoutfortheeyesasteeth😬glazedwithhoneyandservedwithseasonalpersimmonfrom陕西.Workingthoseautumnalcolourshardandmatchedwiththesestripedplatesfrom thatremindmeofthefilmBeetlejuice👻 ------------------- ThisisourfourthHalloweennowinShanghai,andI’malwayssoamazedhowparticularholidayshavegonemainstreaminthiscityandacrossChina.Iguessanyexcusetodressupandhaveapartywilldo!😂#symmetrybreakfast 3w",OCTOBER 31,post,49.0,  @skandihus_london
12640.0," symmetrybreakfast Verified Friedeggsandtoast,withhandmadesoysaucefromourweekendvisittoAnchang安昌asuburbtownofShaoxing.Wegottogobehindthescenesat仁昌Renchangtoseehowthey’vebeenmakingsoysaucefor11generations.Thelittlecakesaremadeofrice,filledwithredbeanandflavouredwithosmanthuswiththeleftsaying安andtherightsaying昌thenameofthetown.FullvideoisbeingdevelopedforYouTubeandcomingsoon,#itsnotacookingshow#symmetrybreakfast 4w",OCTOBER 26,post,94.0, 
10951.0," symmetrybreakfast Verified HelloBeijing!AcheekyweekendawayinChina’scapitalcity,it’sbeennothingbutpristineblueskiesforus💙ForbiddenCity✅ PekingDuck✅ BeijingHotpot✅ StayingattheOppositeHouse asusual,Iloveitsomuch.MysisterlivedinBeijingformanyyearsbeforewelivedinShanghaiourselves,Ihavesomanygreatmemoriesfromthelatenoughties(I’lluploadsomepicsinStorieslater)#symmetrybreakfast 5w",OCTOBER 17,post,59.0,  @oppositehouse
8020.0," symmetrybreakfast Verified Blini,withsourcreamandcaviar.Minimal,elegantandforeverbeautiful.ImadethesepancakeswithaketorecipeIfoundonline,butwouldyouknowfromthephotoifIdidn’ttellyou?3/4cupAlmondflour,4ozcreamcheese,4eggseggsandasplashofmilkplusseasoning.WithteainnewcupsfromourtriptoFujianlastweek#symmetrybreakfast#sunday#russianfood#блины 6w",OCTOBER 11,post,22.0, 
8873.0," symmetrybreakfast Verified GoodMorningGulangyu!🏝WeareonaminibreakexploringFujianprovince,startinginGulangyu,atinyislandnexttoXiamenfamousforitsAmoyArtDecoarchitectureandthedistinctlackofcars.WearestayinginaverycuteguesthousecalledtheSlowHouse慢屋度假别墅.Tomorrowwewillheadinlandtovisitthetulouhouses -------------------- Breakfasttoday,wellit’sverycute,maybeabitofaneclecticmixofthings.Afriedegg,ricenoodleswithtofusquares,somechickenwings,seaweed,kimchi,freshmangoandaglassofwarmmilk!!Bizarrebutgood!🤪#symmetrybreakfast#fujian#gulangyu 7w",OCTOBER 2,post,42.0, 
10109.0," symmetrybreakfast Verified 桂林米粉GuilinRiceNoodles.WehadthesenoodlesonourrecenttriptoGuangxiprovince,ricenoodles,withsomebraisedgravy,sourbambooshoots,peanuts,pickledcowpeaandmarinatedegg.It’seatenbreakfast,lunchanddinnerandusuallyfromexperiencetheportionsizeisabsolutelymassive🤪Todayforthefirsttimeit’snotteainthecup,butsouptogowiththenoodles.FinishedwithaShanghainesemooncakebecausetodayisthestartofGoldenWeekakaMoonFestivalakaMid-Autumn!🌚 ----------------- We’reofftoFujianlatertoday,firsttoXiamenandthentoseethetulouhouses,DehuaforceramicsandfinishinginFuzhouforlacquerwareandfishballs!#symmetrybreakfast#桂林米粉 8w",OCTOBER 1,post,85.0, 
5292.0," symmetrybreakfast Verified COMPETITIONBELOW!👇🏼👇🏼👇🏼Maftoulbilsukar,from bookBaladiusing organichandrolledmaftoul,whichisoftencalledpearlcouscous,simplycookedandservedheavilybutteredandsweetenedwithsugarandgarnishedwithsliveredgreenpistachioandscantamountofrosepetals.Adivineandspeedybreakfast! ---------------- I’mgivingawayFIVEof fabulousZoomgroupcookingclasses!  Toenter,it’ssimple: -Followme, andmyfriendat CommentoneitheroflatestpoststaggingafriendyouwouldlovetomakeoneofJoudie’sdeliciouscreationsfor. -Tagasmanyfriendsinseparatecommentsasyoulike-eachcommentcountsasanentry!Goodluck! -TermsandConditionsinthecommentsbelow 8w",SEPTEMBER 28,post,315.0,"  @palestineonaplate’s @zaytoun_cic @palestineonaplate’s @symmetrybreakfast, @palestineonaplate -"
10497.0," symmetrybreakfast Verified SundaySimit,adeliciousbraidedTurkishbread,seemslikeabagel,butno,it’snotboiledbeforebeingbaked,usuallywithacrustycrunchyexteriorratherthanachewyskinnedbagel.Thesedefinitelyneedmorework!Thinneranddarkercolourwouldbeperfect.Servedwitheggsfriedinsesameoil,butterandthelastofmystashofUrfachilliflakesIgotinTurkeylastyear.Minibananas🍌🍌🍌tofinishbecausethey’recute...likeme😂#simit#turkishfood#symmetrybreakfast 8w",SEPTEMBER 27,post,54.0, 
