likes,about_post,date,type,comments,tagged_names
2021647.0, taylorswift Verified ItonlytookonedaytoconfirmwhatIhadsuspectedforyears:PaulMcCartneyistheloveliestpersonalive.Thankyou formakingthishappen.TheMusiciansonMusiciansIssueisoutnow🙏 📷: ,6 DAYS AGO,post,0,  @rollingstone @marymccartney 6d
2795944.0, taylorswift Verified Ispoketo aboutwhyI’llbevotingforJoeBidenforpresident.Soaptthatit’scomeoutonthenightoftheVPdebate.Gonnabewatchingandsupporting byyellingatthetvalot.AndIalsohavecustomcookies🍪💪😘  📷 ,OCTOBER 8,post,0,  @vmagazine @kamalaharris @inezandvinoodh 6w
2291403.0, taylorswift Verified folkloredeluxeeditionfeaturingbonussong“thelakes”isnowavailabletostream/download🌊  📷:BethGarrabrant 13w,AUGUST 18,post,0, 
1799708.0, taylorswift Verified cardigan“cabinincandlelight”versionisoutnow🕯 16w,JULY 30,post,0, 
2307651.0," taylorswift Verified Youcangetthebonussong“thelakes”onthe8deluxeCDeditions,8deluxevinyleditions,andthecassetteeditionoffolklorethatareavailableattaylorswift.com🌊  📷:BethGarrabrant 17w",JULY 24,post,0, 
2077545.0," taylorswift Verified Iknewyoutriedtochangetheending,PeterlosingWendy.The#cardiganMusicVideoisoutnow. 17w",JULY 24,post,0, 
3233268.0," taylorswift Verified Inisolationmyimaginationhasrunwildandthisalbumistheresult,acollectionofsongsandstoriesthatflowedlikeastreamofconsciousness.Pickingupapenwasmywayofescapingintofantasy,history,andmemory.I’vetoldthesestoriestothebestofmyabilitywithallthelove,wonder,andwhimsytheydeserve.Nowit’suptoyoutopassthemdown.folkloreisoutnow.  📷:BethGarrabrant 17w",JULY 24,post,0, 
2592881.0," taylorswift Verified Themusicvideofor“cardigan”willpremieretonight,whichIwrote/directed.Amillionthankyou’stomybrilliant,badassvideoteam-cinematographerRodrigoPrieto,producerJilHardin,executiveproducerRebeccaSkinner,ADJoe‘Oz’Osbourne,editorChanclerHaynes,specialeffectswizardsDavidLebensfeld&GrantMiller,andsetdesignerEthanTobman.Theentireshootwasoverseenbyamedicalinspector,everyoneworemasks,stayedawayfromeachother,andIevendidmyownhair,makeup,andstyling😂 17w",JULY 23,post,0, 
2614692.0," taylorswift Verified folklorewillhave16songsonthestandardedition,butthephysicaldeluxeeditionswillincludeabonustrackcalled“thelakes.”Becausethisismy8thstudioalbum,Imade8deluxeCDeditionsand8deluxevinyleditionsthatareavailableforoneweek😄Eachdeluxeeditionhasuniquecovers,photos,andartwork.Availableexclusivelyattaylorswift.com 17w",JULY 23,post,0, 
3160200.0," taylorswift Verified MostofthethingsIhadplannedthissummerdidn’tenduphappening,butthereissomethingIhadn’tplannedonthatDIDhappen.Andthatthingismy8thstudioalbum,folklore.Surprise🤗TonightatmidnightI’llbereleasingmyentirebrandnewalbumofsongsI’vepouredallofmywhims,dreams,fears,andmusingsinto.Iwroteandrecordedthismusicinisolationbutgottocollaboratewithsomemusicalheroesofmine; (whohasco-writtenorproduced11ofthe16songs), (whoco-wroteandwaskindenoughtosingononewithme),WilliamBowery(whoco-wrotetwowithme)and (whoisbasicallymusicalfamilyatthispoint).EngineeredbyLauraSiskandJonLow,mixedbySerbanGhenea&JonLow.Thealbumphotoswereshotbytheamazing BeforethisyearIprobablywould’veoverthoughtwhentoreleasethismusicatthe‘perfect’time,butthetimeswe’relivinginkeepremindingmethatnothingisguaranteed.Mygutistellingmethatifyoumakesomethingyoulove,youshouldjustputitoutintotheworld.That’sthesideofuncertaintyIcangetonboardwith.Loveyouguyssomuch♥️ 17w",JULY 23,post,0,  @aarondessner @boniver @jackantonoff @bethgarrabrant.
