likes,about_post,date,type,comments,tagged_names
2103.0, testkitchen Verified HappyThanksgivingfromyourfriendsatAmerica’sTestKitchen! 22h,22 HOURS AGO,post,19.0, 
1906.0, testkitchen Verified Todayisalsoagreattimetoassembleyourstuffing(ifyou’repreparingitoutsideofthebird)sothatyoucangofromfridgetooventomorrow. 1d,1 DAY AGO,post,26.0, 
1783.0," testkitchen Verified Wemadeallthemistakessoyoudon’thaveto.Relyon100%foolproof,adaptablerecipes,kitchentips,andmorethisThanksgiving.Visitour2020Thanksgivingguideforeverythingyouneed.Linkinbio. 1d",1 DAY AGO,post,37.0, 
2021.0," testkitchen Verified Ifyou’rebriningorsaltingyourturkeythisyear,makesuretostarttheprocesstoday.WeoffertwobrineformulasinourRoastBrinedTurkeyrecipe:onefora4-to6-hourbrineandanotherfora12-to14-hourbrine. 1d",1 DAY AGO,post,19.0, 
2172.0," testkitchen Verified TomorrowisThanksgiving!Crosssomethingsoffthelisttoday,likebakingyourpumpkinpie.Recipelinkinbio. 1d",1 DAY AGO,post,23.0, 
2451.0," testkitchen Verified Makeabigbatchofdrycornbreadmix,thenscoopsomeoutandmixwithyourliquidingredientstomakeabatchofcornbreadwheneveryouwant!This recipemakesiteasyforkids(andgrown-ups)tosay“solong”tostore-boughtmixesandbakefromscratch!Recipelinkinprofile.⁠ 2d",2 DAYS AGO,post,2.0,  @testkitchenkids
4326.0, testkitchen Verified Wewantedtocreateagrown-uppiethatbroughttogetherapplesandflavorfulsaltedcaramel.TapthelinkinourprofileforourSaltedCaramelApplePierecipe. 2d,2 DAYS AGO,post,15.0, 
2758.0, testkitchen Verified FollowthesekeystepstoensurethefluffiestmashedpotatoesthisThanksgiving.Recipelinkinbio.⁠ 2d,2 DAYS AGO,post,23.0, 
3735.0," testkitchen Verified IsthisyourfirsttimecookingThanksgivingdinner?Yourthirtiethtime?Whateveryourneeds,we’vegotyoucovered.Getallthekitchen-tested,foolproofrecipes,tips,tricks,andmoreonour2020Thanksgivingguide.Linkinbio. 2d",2 DAYS AGO,post,33.0, 
2065.0, testkitchen Verified Usetodaytobakeyourpecanpieandstartthawingoutfrozenitemsinthefridge(yourturkeyshouldalreadybeinthefridge!). 2d,2 DAYS AGO,post,12.0, 
2969.0," testkitchen Verified Noflipping.Nolong-simmeredgravy.Forfuss-freeturkeyandafast,richlyflavoredgravy,weborrowatoolfrompizzamaking.GetourEasierRoastTurkeyandGravyrecipebyclickingthelinkinourprofile. 2d",2 DAYS AGO,post,36.0, 
1172.0," testkitchen Verified Achievetheglossy,gorgeouspietopbyfollowingthistipbeforebaking. 3d",3 DAYS AGO,post,11.0, 
2296.0," testkitchen Verified Applepieisawinnernomatterwhatformittakes,fromthebiggesttothesmallest(thesepops).TryourAppleButterPiePopsrecipebyclickingthelinkinourprofile. 3d",3 DAYS AGO,post,122.0, 
