likes,about_post,date,type,comments,tagged_names
23486.0, thatbohogirl Verified 24festiveoutfitideasinunder30secs. Whichoneisyourfave?💜#festiveseason 14h,14 HOURS AGO,post,80.0, 
23669.0," thatbohogirl Verified SincemanyofyouhavebeenaskingwhatmeasuresItakebehindthescenestokeepmyskinnourishedandhealthy,andtobalanceouttheeffectofheavy makeup–thoughtI’dsharesunprotectproductsIswearby.✨Forme,it sunrange.🤍  Idon’tlikeproductsthatareheavyontheskin,sothesesunscreenswhichareuniquelylight,unscented,non-stickyand fast-absorbingautomaticallymakeittomyessentialsskincarekit.  TheseproductsalsoprovideabroaderprotectionagainstUVA,UVBandInfra-red radiation,whichtendtocauseasubstantialamountofskindamagerangingfrom sunburns,skinrednesstoevenskinaging.  Nowyouknow☺ 16h",16 HOURS AGO,post,143.0,  @is Cetaphil_India’s
54993.0, thatbohogirl Verified Sunshine&Goodvibes.🌞 How’syourdaygoing? Tee afunQ/AonSnapchat.👻:That_bohogirl✨ 19h,19 HOURS AGO,post,153.0,  @myntra Did
76498.0, thatbohogirl Verified Pinkfortheday.💞 Saree ,1 DAY AGO,post,163.0,  @muksweta 1d
53798.0, thatbohogirl Verified ‘It’sbackless’that’swhat said.👑 Weallhaveapooinsideus.🤣canweallagree? 1d,1 DAY AGO,post,307.0,  @kareenakapoorkhan
77029.0, thatbohogirl Verified ShootingDiwalivideosandfinishingoffsomependingworktoday.Weloveproductivedays.💞 Mirror Robe ,1 DAY AGO,post,541.0,  @omaara_international Satin @urbanic_official 1d
95791.0," thatbohogirl Verified Festiveoutfits✨1,2,3,4or5? Tapfordeets 1st&2nd   Mom’scloset 2d",2 DAYS AGO,post,223.0,  @sukritiandaakritiofficial 3rd @spoylapp 4th @dollyjstudio 5th:
54060.0,"  takesyouonavirtualtourtoshopallyourfavouriteluxuryfashionlabelsfromaroundtheworldatadiscountedprice.😍 Withthefestiveseasonjustaroundthecorner,doesn'tthatsoundabsolutelyamazing?  WithDarveys,youcanshopfromover120+luxurybrands.Itsourcesfromover500+boutiquesfromacrosstheworld.Discountedluxuryshoppingisjustaclickawaynow! 2d",2 DAYS AGO,post,311.0,  @thatbohogirl Verified darveys @darveys
36878.0, thatbohogirl Verified StylingAnarkaliforDiwali.✨  Suit  ,3 DAYS AGO,post,364.0,  @gulabo_jaipur Earrings @amama_loves 3d
63060.0, thatbohogirl Verified Proudofyoubabysister. 👶 coming🔜 3d,3 DAYS AGO,post,103.0,  @deekshakhurana @deeeclothing
40065.0,"  Studioismygo-toplacewhenI’mlookingforsometrendinglooks!IcameacrossthisgorgeousreddressonSonakshiSinha,andjusthadtogetmyselfsomethingredtoo!Andtrustme,thestylingtipsandtricksavailableonStudioarejustgreat.TapthelinkinbioandheadtoMyntraandclickontheStudioicontocheckoutsomeamazingstyles!✨ . . #MyntraGetTheLook#TalkingTrendsWithMyntra#MomentsStyledByMyntra,#MyMyntraMoment#MyntraStyleFiles#MyntraStudio . . . #galleri5InfluenStar 3d",3 DAYS AGO,post,166.0,  @thatbohogirl Verified myntra
21303.0," thatbohogirl Verified WhatIgotforDiwali,ahugefestivehaul!😍 FullvideoonmyYouTubechannelwithallthelinks.✨ LinkfortheYTvideoinbio. 3d",3 DAYS AGO,post,76.0, 
