likes,about_post,date,type,comments,tagged_names
28676.0, thecozyvibe Aseries✨ 1d,1 DAY AGO,post,14.0, 
26126.0, thecozyvibe lovehowthismakeupturnedout🦦 3d,3 DAYS AGO,post,54.0, 
17391.0, thecozyvibe IwishMumbaiwasabitcolderforthisamountoflayering🥺Ilovewinter’s😍🕊 4d,4 DAYS AGO,post,78.0, 
5161.0," thecozyvibe It’sfestivefeelseverywherewith #FestiveTreats.YoucanCheckouttheir1000+offersonCards,EasyEMIandLoansandbringyourdreamstolife,justlikeme,with#HDFCBankFestiveTreats#NowAllisPossible 4d",4 DAYS AGO,post,98.0,  @hdfcbank
25913.0, thecozyvibe 7waystostyleblackjeans🙋🏻‍♀️🖤whichlookisyourfavourite😃🤍 Jeans- 1: Scarf&neckpiece- shein Outfit2: Meshtop-veryold Blackbralet&buckethat- slingbag- 3: Kurti-veryold(stitched) Earring-old Bag- 4: Sweatshirt-  5: Blackhighnecktop- 6: Shirt-  7: Shirt- ,6 DAYS AGO,post,143.0,  @zara Outfit @amazondotin Bag- @hm Pink @zara Outfit @hm Outfit @urbanic_official Scarf- @budweiserindia Outfit @hm Outfit @zara Neckpiece- @amazondotin Outfit @zara 6d
31394.0, thecozyvibe morningall🕊🤍 1w,7 DAYS AGO,post,44.0, 
27328.0, thecozyvibe Morningfolks🕊🖤 1w,NOVEMBER 2,post,219.0, 
28646.0, thecozyvibe Iknow!Iknow!😃Iamwearingskaterskirt🙈&Iaminlovewiththisoutfit🕊🤍 1w,NOVEMBER 1,post,94.0, 
68941.0, thecozyvibe 3festivehairstyles🕊whichoneareyougoingtotrythisfestival? 1w,OCTOBER 30,post,58.0, 
25039.0, thecozyvibe Whatwouldyouliketoseeinvideoscauseyoursuggestionshelpsmealot☺️💘 1w,OCTOBER 29,post,48.0, 
18074.0, thecozyvibe DIYTyedyepants🖤Iaminlovehowthisturnedout🥺🤩whatdoyouguysthink?Loveit?  Used: Ala(regular)bleachmixedwithhalfwater(take50-50ofbothbleach&water) 2w,OCTOBER 27,post,136.0, 
24082.0," thecozyvibe Y’allhadalotofquestionsabouthowItakecareofmychemicallytreatedhair.HereareabunchofstepsIfollowtotakecareofmyhair,includingmyhaircareproducts! launchedtheirnewhaircarerange,Keracare!TheKeracarerangeisasulphatefreeproductrangeandissuitableforallhairtypes,evenchemicallytreatedhair. Checkoutthewholevideotoknowmore,andgetyourownproductsfromtheGodrejProfessionalwebsite #CueInTheCare#Keracare#KeracareRepairShampoo#KeracareRepairMask#AcaiOil 2w",OCTOBER 26,video,130.0,  @godrejprofessional
23323.0, thecozyvibe riseandshine🌝✨ 2w,OCTOBER 26,post,67.0, 
16826.0, thecozyvibe HappySundayeveryone💘/wearingblazer&skirt-  ,OCTOBER 25,post,15.0,  @forever21_in Boots- @hm 2w
