likes,about_post,date,type,comments,tagged_names
5473.0, theformaledit Verified DIWALIVIBE✨ Meetmycutelittlefamily! SmallreelforaDiwalismileonyourfaceandyesweTRIEDdancing🕺🏻🤎. Beatsby togrooveoneveryjoyoflife!Itcomeswithtwobasssubwooferandasuperbsoundquality! #TheFormalEdit#GrooveWithAGARO . . . 🎥  #feelkaroreelkaro#diwali#family#indianfamily#diwali2020#dance#wedding#indianwedding#kurta#traditional#familytime#familylove#dancing#dancemoms#bhangra#india#cute#shaadi#weddingwear#indianwear#mom#mother#motherson#familia#bollywood#indian 4h,4 HOURS AGO,post,162.0,  @theagaro_lifestyle @jasdeepphotography 🎞 @iam_angad_ #feelitreelit
14975.0," theformaledit Verified Mymumusedtosaywewerethesamesoulsplitintwoandwalkingaroundonfourlegs.So,meetmysoulmate😝(notliterally)mybrother,Lakshit.Heisthelaughingbuddhaofmyfamily,aswhereverhegoes,hemakessureeverybodyisshiningbrightwithasmileontheirfaces.Hewouldrathernotsaysomethingtocomfortyouatyourmomentoftension,buthewilldosomethingtohelpyouthroughyourtoughtimeswithasmileonhisfaceandnothinginreturn.Itwasnicegrowingupwithsomeonelikeyou-someonetoleanon,someonetocounton...someonetotellon!TomyScoobyDoo😋,becauseofwhomIwakeupeverydaywithasmileonmyface,IwishyouaHappyDiwaliandnominatingyouforthis#SmileWalaDiyaContest,becausenoonedeservesitmorethan   #DelightEveryMoment 22h",22 HOURS AGO,post,87.0,  @you. lakshitdhingra vivo_India Kurta @desiredesignstudio_ . . . 📷 @jasdeepphotography #TheFormalEdit
15832.0," theformaledit Verified Fashiongamealwaysonpoint🍂withagoodshirtandapairofchinos!I'mwearingbothfrom#CodeByLifestyleandIespeciallylovetheprintonthisshirt-greatforformalandcasualoccasions!Withthisoutfiton,let'sjustsay,I'mready😎Youcanshopmylookandallthelatesttrendsfrom oronlineatlifestylestores.com! . . . 📷 #JoyOfFashionYourWay#JoyOfFestivitiesYourWay#FestiveFashionAtLifestyle #DilSeDiwali 1d",1 DAY AGO,post,375.0,  @lifestylestores @jasdeepphotography #TheFormalEdit #LifestyleStores
6682.0, theformaledit Verified POCKETSQUAREHACK✂️ #DIY . . Note:Ifyouwanttokeeptheedgesorendsoutofpocketthengetalltheboundariesoftheclothstitched(Justa10Rsinvestment). 📹 #PocketSqaure#Wedding#Hack#stylehack#fashionhack#style#fashion#mensfashion#menswear#suit#suited#formals#menwithclass#fashionblogger#styleblogger#styleinspo#feelkaroreelkaro#feelitreelit#indianfashion#indian#menwithstyle#diycrafts#lifehacks#styleinspiration#budgetfriendly#budgetshopping#budgetfashion#india 1d,1 DAY AGO,post,85.0,  @jasdeepphotography iam_angad_ #TheFormalEdit
22886.0, theformaledit Verified Seasonofcolours&prints🌺🍂 . . Shirt:  lovewiththeirwiderangeofcollectionfrombeautifulprintstosunglassestoclassyjacketswhichmakesitonestopshopwhereyoucanshopforyourselforyourlovedones🎁. #TheFormalEdit#TheCollective#NoOrdinaryGifts#SaySomethingSpecial . . 📷 ,2 DAYS AGO,post,186.0,  @collectiveindia Sunglasses @philippplein In @jasdeepphotography 2d
11585.0, theformaledit Verified FINDYOURSKINTYPETEST! . Note:pleaseuseamildfacewashornosoapfacewash. Anddon’tapplyamoisturiserforthetest: 1.Normalskin:Nooilonboththetissues 2.OilySkin:Bothtissuesareoily 3.Dryskin:Skinisstilltightandflakyafteranhour 4Combination:IfT-ZoneisoilyandU-ZoneisNormalOrDry 5.SensitiveSkin:IfSkinisStillitchy/Red . . 📹 #feelitreelit#feelkaroreelkaro#reelkarofeelkaro#oilyskin#dryskin#skincare#skincareroutine#skincaretips#howto#howtobeauty#beautytips#beautybloggers#beautyhacks#clearskin#acne#darkspots#pimple#scars#howtofindyourskintype#mensgrooming#grooming#mensbeauty#beautyblog#blogger#influencer#homeremedy#hacks#remedy 3d,3 DAYS AGO,post,127.0,  @jasdeepphotography  #TheFormalEdit
34469.0," theformaledit Verified 1Kurta4Styles✨ Withthefestiveseasonhere,everyonewantstolookgreat.I’vecuratedthesefourstylesfrom sothatyoudon’thavetoworryaboutstyling.Remember,it’sallaboutyouandthisyear#DiwaliBeginsWithYou;don’tletthestressoflifetakeoverwhatthefestiveseasonisknownfor-dressingup,andhavingloadsoffun.ThisishowIamcelebratingmy#SelfLoveWaaliDiwali.Youtooshouldtryitout! . . . 📹  ",3 DAYS AGO,video,126.0,  @pantaloonsfashion @jasdeepphotography 🎞 @iam_angad_ #TheFormalEdit #Kurta 3d
12610.0," theformaledit Verified ThisDiwali,addsomespunktoyourfestivelooklikeIdidwiththesenewchicClassicClogsfrom personalizedJibbitzCrocsnotonlygivemeandmyfestivelookanedgebutalso,aresocomfyandelegant.  ThisFestiveseason,grabyourownpersonalizedClassicClogwithJibbitzfromthecrocsstoresnearyou!!  ExpressyourlovebygiftingthesepersonalizedpairofClassicClogswithJibbitzCharmstoyourlovedones. . . . 📷 #Classics#Jibbitz#CrocsIndia 4d",4 DAYS AGO,post,153.0,  @crocsindia  These @jasdeepphotography #TheFormalEdit #ComeAsYouAre
17151.0, theformaledit Verified INDIANWEAR🔥 #Diwali . . 📹 #feelitreelit#feelkaroreelkaro#indianwear#kurta#kurtapajama#traditional#indianfashion#wedding#weddingwear#menswear#mensfashion#mensstyle#styleblogger#traditionalwear#kurtaset#beard#styletips#stylish#menwithclass#dapper#classy#jawline#styleinspiration#mensoutfit#diwali2020#reelsindia#trendy 4d,4 DAYS AGO,post,38.0,  @jasdeepphotography #TheFormalEdit
36032.0, theformaledit Verified 5SKINCAREMISTAKES❌ Never😂 . . . 📹 #Skincare#skincareroutine#skincaretips#grooming#feelitreelit#reelkarofeelkaro#feelkaroreelkaro#acne#pimples#darkspots#mensgrooming#skinhealth#clearskin#facts#beautybloggers#beautytips#mistakes#health#beautyinfluencer#mensskincare#glow#glowingskin#facepack#facewash#moisturiser#skin#influencer#tips#healthy 5d,5 DAYS AGO,post,124.0,  @jasdeepphotography  #TheFormalEdit
