likes,about_post,date,type,comments,tagged_names
3190.0," thenaughtyfork Verified 🦃“AlltheSides”ThanksgivingBoard!🦃What’syourfavoriteside?!Turkeyisgreatandeverything,but99%ofmyplateisalwaysMacn’CheeseandSweetPotatoes!🤩Also..SWIPEtoseethecraziestcandyIfoundthisholiday😂Wouldyoutryit?!#TNFBoardSeries#PHAAT 18h",18 HOURS AGO,post,145.0, 
29262.0, thenaughtyfork Verified “LiterallyICan’tEven”PUMPKINBRIOCHECINNAMONROLLSfrom 😍MadewithSpicyPecansandaMapleGlaze.It’snotevenThanksgivingyetandIalreadywanttostuffmyfacewith7ofthese🤩Tagsomeonewho’sreadytostartfeasting!#PHAAT 1d,1 DAY AGO,post,124.0,  @flourandweirdoughs
11797.0," thenaughtyfork Verified GetcreativethisThanksgivingwiththisSAVORYCupcake!!HoneyButterBiscuit“cupcake”layeredwithprovolonecheese,withaChiveMashedPotato“icing”,Gravydrizzle,andaHoneyButterCoatedChickieNuggieontop😋😂.Tagsomeonewho’scrazyenoughtotrythis!!#PHAAT 2d",2 DAYS AGO,post,76.0, 
12922.0," thenaughtyfork Verified 🥪🍗SmokedTurkeyFrenchDip!🍗🥪ThisThanksgivingSandwichfrom hassmokedturkey,CheddarCheese,homemadeSpinachDip,andCrispyOnionsallonaToastedHoagieRollwithasideofAuJusfordipping🤤ItisSOgood!Getitthisweekat !#PHAAT 3d",3 DAYS AGO,post,414.0,  @mscheezious @mscheezious
2745.0," thenaughtyfork Verified GettingintheholidayspiritwiththisamazingPumpkinSpiceEnergyLatteusing WhoelselovesPumpkinSpiceeverything?!Thisicedlatteisnotonlydelicious,buttheperfectpick-me-upduringtheholidayseason.Findtherecipeinmystories!Tagsomeonewhowouldlovetotrythis😊#sponsored#JavaMonsterPartner 3d",3 DAYS AGO,post,161.0,  @Javamonster!
18475.0," thenaughtyfork Verified BakedBrieThanksgivingSandwich!ToastedBriocheRolls,Grainmustard,Spinach,Stuffing,MashedPotatoes,Turkey,Gravy,aSliceofBAKEDBRIE!,andCranberrySauce🤩Yes,it’sabigboy...butthat’swhatThanksgivingisallabout😂.Tagsomeonewho’sreadyfortheleftoversandwiches!!#PHAAT 4d",4 DAYS AGO,post,108.0, 
14416.0, thenaughtyfork Verified OnSaturday’swegotoFlavortown.  #PHAAT 5d,5 DAYS AGO,post,230.0,  @guyfieri @chickenguy
7769.0, thenaughtyfork Verified CelebratingFridaywithmyFavorite#SUSHIBOARD(madewithsushifrom SwipetoseehowtheymaketheirCrispyRiceSpicyTunatoo!What’syourfavoritesushiroll?#PHAAT 6d,6 DAYS AGO,post,134.0,  @makotobalharbour)🤩🍣
41328.0, thenaughtyfork Verified PastasinaMug!WouldyouchoosetheRigatoniortheLasagna?!#PHAAT 1w,7 DAYS AGO,post,163.0, 
11523.0," thenaughtyfork Verified 🍜SomeofthebestRAMENI’veeverhad!🍜TheRichieRichfrom Miso-ShoyuPorkBoneBroth,Chashu,SoftBoiledEggBrûlée,Kikurage,Scallions,FriedGarlic,BlackGarlicOil,andDomudama.Haveyoueverseenabrûléedeggbefore?🤩souniqueandsupertasty!Tagaramenlover!#PHAAT 1w",7 DAYS AGO,post,141.0,  @domufl:
12881.0," thenaughtyfork Verified TheBabyGotBunsCookiefrom gotmelike🤩!! SignaturePumpkinSpicedoughstuffedwithastickybun,toppedwithhouse-madecreamcheesefrostingandfinishedwithadashCinnamonSugar.I’mhereforit!!#PHAAT 1w",NOVEMBER 19,post,135.0,  @nightowlcookies
19926.0, thenaughtyfork Verified LOBSTERMACN’CHEESE..inaWOK!Nothingmore#satisfyingthanwatchingthiscometogetherinagiantwok😍TheLobsterMacfrom ismadewithfreshlobsterpiecesandtorchedwithmorecheeseontop!Tagsomeonewhoneedstotrythisplace!#PHAAT 1w,NOVEMBER 18,post,115.0,  @cajunboil
7788.0," thenaughtyfork Verified 🍞LOADEDNAAN?!🍞There’ssomenewIndianFoodinMiamiBeach!ThinkTandooriChickenWrapsandCheeseStuffedNaan! justopenedandthey’reservingupsomeclassicdishesinaneasyandfunway🙂Seebelowfordishdescriptions!Whichwouldwouldchoose?!#PHAAT ... 1️⃣TandooriChickenKatiRoll:traditionalIndianwrapwithyogurtmarinatedtandoorichickenandmintsauce  2️⃣LoadedCheeseNaan:fluffyIndianflatbreadstuffedwithcreampaneercookedintandoorthenbrushedwithgarlic,Sichuanpeppercorn,kalonji,crispyonions,andsesameseeds. 1w",NOVEMBER 18,post,1844.0,  @naanindianeats
11683.0," thenaughtyfork Verified 🍫S’MORESCREAMPUFF!🍫Haveyoueverseenhowthesearemade? makesdifferentCreamPuffflavorsfromscratcheveryday!TheS’moresisfilledwithcreamandtoppedwithchocolate,toastedmarshmallow,andgrahamcracker🤩#PHAAT 1w",NOVEMBER 17,post,256.0,  @lightonthesugar
156247.0," thenaughtyfork Verified MOSAICSUSHI!Haveyoueverseenarolllikethisbefore?Ofcourse, hasoutdonethemselvesyetagain🤩Tagsomeonewhowouldlovethis!#PHAAT 1w",NOVEMBER 16,post,159.0,  @wavemountdora
16937.0," thenaughtyfork Verified CHEESECORN?!Alwaysayes😍TheCHEEZUSdishfrom hasButteredCornofftheCobb,KewpieMayo,MeltedMozzarella,JapaneseSpices,Scallions,Lime,andToastedBaguettefordipping😝Tagsomeonewhoneedsacheatmealtoday!#PHAAT 1w",NOVEMBER 15,post,107.0,  @domufl
12151.0," thenaughtyfork Verified Youdidn’tthinkwe’dgotoOrlandowithoutvisiting didyou?!😋Thechocolatechiptocookieratioisalwaysssonpointwiththese.SWIPEtoseetheirnewseasonalflavor,whichactuallyhappenstobemynewfavorite,WhiteChocolateCaramelMacadamiaNut!Tagsomeonewhoneedstotrythese!#PHAAT 1w",NOVEMBER 14,post,755.0,  @gideonsbakehouse
4846.0," thenaughtyfork Verified PumpkinSpiceandEverythingNice..(orNaughty😉).Introducingthenew MiamiCollabShake:PUMPKINSPICELATTE!Oneofmyabsolutefaves🤩Allproceedsgoto Foundation,feeding350familiesthisThanksgiving.Seedescriptionbelow!TagsomeonewholovesPSL☕️#PHAAT .... PumpkinSpiceLatte:pumpkinpurée,pumpkinspice,agave,water,vanillawheyprotein 1w",NOVEMBER 13,post,213.0,  @barrys @AWOM
46953.0," thenaughtyfork Verified 🌮🍣RAINBOWSUSHICUNCHWRAP!🍣🌮Andit’sevenfriedinFlamingHotCheetos!!Haveyoueverseensomethingsoinsane?!😂 doesitagain!Tagsomeonewhoneedstoseethis!Andseedescriptionbelow.#PHAAT ... RainbowSushiCrunchwrap:rice,creamcheese,tobiko,tuna,salmon,hamachi,mango,cucumber,friedseaweeddisk,avocado,seaweedsalad,sesameseeds,redcabbage.IthinkIgotitall?!😂 2w",NOVEMBER 13,post,105.0,  @wavemountdora
12669.0," thenaughtyfork Verified AlittleroomservicebeforeIstarttheday🥂Whoelselovesbreakfastinbed?!Lovedstayingatthe thisweekwhileshootingrestaurantsuphere!Greatfood,comfybeds,andofcourse,extraextracleanfortheirguests.Can’twaittocomeback!#PHAAT#WaldorfOrlando#WAOFoodie#Hosted 2w",NOVEMBER 12,post,615.0,  @waldorforlando
12003.0," thenaughtyfork Verified Chicken(&Waffles)TAIYAKIorChickenKatsuBurgerwithRICEBUNS?!Thesedishesfrom aresofunanddelish!!!Seebelowforfulldescriptions.Tagsomeonewhowouldlovetotrythis😝#PHAAT ... ChickenTayaki:fishshapedwafflefilledwithcrispychickenbitesandtoppedwiththeirhomemadesyrup. ... RiceBurger:ChickenKatsu,lettuce,onion,saucesalloncrispyricepatties! 2w",NOVEMBER 12,post,189.0,  @icenbites
36372.0, thenaughtyfork Verified HELLOKITTYSUSHI!🐯Madeattheoneandonly !WhoelsewasobsessedwithHelloKittygrowingup?🤩Tagsomeonewhoneedstoseethiscrazysushidish!#PHAAT 2w,NOVEMBER 11,post,173.0,  @wavemountdora
9170.0," thenaughtyfork Verified BRISKETandGLAZEDDONUTS?!🤤 servesupoak-smokedbrisketontheirhomemadecakedonutsandit’sdelicious.WouldyouchoosetheSmokedBrisketDonutSliderortheBourbonandMapleGlazedDonutwithBurntEnds?Seebelowfordescriptions! ... 1️⃣DonutSlider:ChoppedBrisketwithtoastedguajillosauceonavanillaglazedcakedonut  2️⃣TheLouDonut:Maker’sMarkbourbonandmapleglaze,Hershey’schocolatechips, Heathbar,brisketburntends 2w",NOVEMBER 10,post,179.0,  @smokeanddonuts
7859.0," thenaughtyfork Verified Brunchislookingextratastytodaywiththis LoadedBloodyMary!Alittlespice,alittlesmokiness,andalittlecheeseburger😍Whatmorecouldyouaskfor?Tagyour#brunchpartner!#ad#PHAAT 2w",NOVEMBER 8,post,159.0,  @chopinvodka
31240.0," thenaughtyfork Verified ChickenParmesanBalls!🤩CrispyChicken,TomatoSauce,Mozzarella,Provolone,andBasilcoveredinGarlicButter🤤Tagsomeonewhowouldlovethis!!#PHAAT 2w",NOVEMBER 7,post,206.0, 
8238.0, thenaughtyfork Verified 🍦CinnamonToastCrunchGelatofrom !🍦Watchingtheprocessofgelatoisso#satisfying😍#PHAAT 2w,NOVEMBER 6,post,196.0,  @mammamiaespanolaway
20421.0," thenaughtyfork Verified 🥪🥗CrispyChickenCaesarSandwich!🥗🥪HomemadeCaesardressing,CrispyChickenCutlet,ParmesanCrisps,andLettuceallonGarlicButterBrioche!Takin’theCaesarsaladtoawholenewlevel🤩Recipeinbio!Tagsomeonewhowouldlovethis☺️#PHAAT 3w",NOVEMBER 5,post,241.0, 
12197.0," thenaughtyfork Verified Ifyouseemestress-eatingtoday...mindyabusiness💅🍕ThenewSicilianPizzasat aredefinitelytheultimatecomfortfood!SWIPEtoseethemakingoftheirSicilianTriplePepp🤤Tagsomeonewhoshoulddeforderthisfordinnertoday.#PHAAT ... Triplepepp:TomatoSauce,Mozzarella,TripleLayerofPepperoni,Basil,GratedParmigiano justopenedtheirnewlocationonWestAve!Checkthemout💃 3w",NOVEMBER 4,post,1016.0,  @pizzabarsb @Reggiano ... pizzabarsb
23926.0," thenaughtyfork Verified 🥪PANCONBISTECorCUBANO?🥪Thesandwichesfrom areabsolutelyUNREAL!Andeverythingismadein-house🤤Seebelowforsandwichdescriptions!#NationalSandwichDay  PanConBistec:Thinlyslicedsousvidesteak,mojorojo,friedstringpotatoes,andswisscheese  Cubano:CityHam,lechon,swisscheese,picklesandmustardonCubanbread 3w",NOVEMBER 3,post,145.0,  @sanguichdemiami
158328.0, thenaughtyfork Verified 🌮🍕GarlicRollPizzaBallsorTacoBalls?!🍕🌮Bothverydangeroustohaveinfrontofmerightnow😂#PHAAT 3w,NOVEMBER 3,post,238.0, 
