likes,about_post,date,type,comments,tagged_names
48965.0," thepioneerwoman Verified Tonight!!Wearecelebratingtoday’slaunchofmynewbook,andticketsforthevirtualevent(tonightat8ET)areavailablenow!Werecordeditaheadoftimebecauseweliveinthecountryandtryingtorelyontechnologyforaliveeventisfraughtwithperil...butI’llbejoiningvialivechatandIpromiseagreattime!Here’satinyclipofmyQ&AwithLadd...andscreenshotsofwhattoexpect!Myconversationwith wasdelightful,andmykidsdroppedbyandmademetakeafootballquiz.Ticketsareavailableatunisonevents.com/Ree-oneticketincludesacopyof“FrontierFollies”andtwolinkssoyoucan“bring”afriendforfree!❤️(Linkinprofileaswell.)Seeyoutonight,whereyouwillfindoutwhoLadd’struecelebritycrushis...(hint:she’sbrunetteandpetite.🤔) 1w",NOVEMBER 17,post,290.0,  @jenhatmaker
30920.0," thepioneerwoman Verified Therecipeforthissandwichisinmynewbook,“FrontierFollies”(whichcomesouttomorrow!)Inthebook,IcallitTheBestSandwichIMadeDuringQuarantine,butitmaybethebestsandwichI’veevermade,period.Mygarshk.FrontierFolliesisn’tacookbook,butthere’sasmallhandfulofrecipesthatweaveintoacoupleofthestories(LoveRobotChiliisanotherone...haha.You’llhavetoreadaboutthatone...hardtoexplain.)🤓 1w",NOVEMBER 16,post,2119.0, 
176266.0," thepioneerwoman Verified (I’mstandingonastepinthispic.🤓)Dang,Ilovemydaughters. 2w",NOVEMBER 13,post,511.0, 
147768.0, thepioneerwoman Verified Groupie.🧡🖤 2w,NOVEMBER 12,post,364.0, 
35191.0," thepioneerwoman Verified Mybookwillbehereinapproximately149hours!😊Hereitisinfivedifferentposes.Init,Italkaboutepidurals,calfnuts,argumentswithLadd,raisingcountrykids,whatit’sliketobeonTV,andhowIoncedisposedofadeadskunkinanefforttogetmyhusbandtotakemeonadate.Don’tworry,itwillallmakesenseonceyoureadit.Nevermind,noitwon’t.🦨🤓 2w",NOVEMBER 11,post,836.0, 
41391.0," thepioneerwoman Verified ChristmasCookieChallengebeginstonighton 😭😩andI’mcryingfromhappinessbecauseit’sgonnatobesomuchfunandfuniswhatweneed.Wechangedthingsupalittlebitthisseason: andIjudge(andeat!!)cookiesaswego,stoppinghereandtheretoengageinlittlecompetitionsofourownonthesidelines.It’slikeEddieandReeVarietyHour,withlotsoftalentedcookiemakersthrownin.😊Ihopeyouallenjoytonight’sepisode!IthassomehilariousmomentsinvolvingaNutcrackerprank.(Crossingmyfingersthatmakesitintheshow,haha.)Also,seriousquestion...swipeforward...whydoEddieandIstandexactlyalike?😂Seeyoutonightat10pm/9c!#christmascookiechallenge 2w",NOVEMBER 9,post,243.0,  @foodnetwork @chefeddiejackson
80976.0, thepioneerwoman Verified Hadtostopandgetoutofthetruckthismorning.It’sabeautifulworld.❤️ 2w,NOVEMBER 9,post,398.0, 
15860.0," thepioneerwoman Verified MynewbookisoutNovember17…lessthantwoweeks!I’mnotabletotakearegularbooktourthisyear,butI’msoexcitedtoinviteyoutoavirtualbooktourstopatTheLodge!🤠JoinmeforanightcelebratingFRONTIERFOLLIES!We’replanninglotsoffunstufffortheevent,includingaspecialchatwithmyfriend,fellowauthor,andall-aroundwonderwoman !I’lltellafunny/embarrassingstoryortwofromthebook,andmyfamilywillbestoppingbytosayhitoo(LaddandImightdoaquickQ&A,thegirlsmightaskmesomerapidfirequestions.Jesustakethewheelonthatone.😂)Ipromiseacrazy-funtime.  Details!  •Tuesday,November17that8pmET/5pmPT •EachticketincludesacopyofFRONTERFOLLIESandentrytotheeventonTWOdevices(youcan“bring”onefriendbysendingthemyourlink!) •Formoreinfoandtopurchaseticketsgotounisonevents.com/ree/  Thebooksforthiseventareprovidedbywonderfulindependentbookstoresaroundthecountry,includingBlueWillowBookshop,Books&Greetings,BraceBooks&More,BrooklineBooksmith,ChangingHandsBookstore,TheKing’sEnglish,QuailRidgeBooks,RainyDayBooks,UniversityBookstore,andWatermarkBooks&Café.I’vebeentosomanyofthesestoresonmypastbooktoursandI’msohappytopartnerwiththemagain!Ifyouliveintheirarea,paythemavisitwheneveryoucan.Taptofindoutmoreaboutthem!  SeeyouatTheLodge,friends!❤️ 2w",NOVEMBER 6,post,940.0,  @jenhatmaker
49434.0," thepioneerwoman Verified Trickortreat!Rustymayforgivemeforthis...andthenagain,hemaynot.Wegotthiscutecowboycostumefrom awhilebackwhenweorderedmorePioneerWomanChicken&SweetTaterdogtreats,andhewasnotexactlyfeelin’ittoday.Fortunately,he’sobsessedwiththesetreats!Realchicken,sweetpotatoes,goodstuff!Swipeforwardtogetacloserlookathownaturalandtastytheylook...andkeepswipingtoseenewskillRustylearnedtoday.😂Thesetreatsareapowerfulmotivator. 3w",NOVEMBER 1,post,3375.0,  @chewy
117141.0," thepioneerwoman Verified Backupquarterback,stand-upson.Loveyou,Todd!🧡 3w",OCTOBER 31,post,518.0, 
140579.0," thepioneerwoman Verified Inorderformedecidetogogetmyrootsdone,myrootshavetobothermemorethanthehourandtwentyminutedrivetothesalonbothersme.I’mnotthereyet.(It’llprobablybeawhile...) 4w",OCTOBER 28,post,1154.0, 
63720.0," thepioneerwoman Verified Mysweet,beautifulnieceHalleisonmyshowtomorrow!!!Thisshowwasfilmed400yearsago(akaJanuary)andwejustfounditinasecretvaultatFoodNetwork!Itwascoveredincobwebsanddespair!Justkidding,we’vejustbeenhangingontoitforafewmonths.There’snosecretvaultatFoodNetwork—ifthereis,theyhavechosennottogivemethekey!😂HopeyouenjoymyshowwithHalle.Intheyearbeforesheleftforcollege,shekeptmecompanysincemygirlshadbothleft.Sweetmemories.Lovethisgirl!❤️SeeyaSaturdaymorningat10am/9c. 4w",OCTOBER 24,post,413.0, 
52517.0," thepioneerwoman Verified Fourweeksfromtoday(!)mynewbookwillbereleasedintothewild.Andspeakingofwild,thereareafewcusswordsinit,butthey’reonlyusedincontext.😂Mostlyit’sfilledwithmarriageconfessionals,motherhoodmusings,countrylifeconundrums,unexpectedfamilydevelopments...andthatstorymymother-in-lawoncetoldmeaboutacertainpartofabull’sanatomygettingfrozentothegroundinanunexpectedsnowstorm.(You’llhavetoreadhowtheygotitloose.Toomuchtoexplainhere.)Mostlyit’sfulloflove-fueledlaughter...andIhopeitmakesyouryearalittlebrighter.Itwilldefinitelymakeitweirder...😂❤️FrontierFolliesisavailableforpreordernow! 5w",OCTOBER 20,post,1248.0, 
52087.0," thepioneerwoman Verified Ilovefilmingwithmykids,becausetheyjumpintohelpwithrepetitivethings,likepipingtheredveinsondoughnutholeeyeballs.(Doughnutholeeyebals?!?!?!?What’stheworldcomingto??)WatchourHalloweenepisodethismorningonFoodNetworkat10am/9c!👻 5w",OCTOBER 17,post,381.0, 
120494.0, thepioneerwoman Verified Weweretryingtogazelovinglyintoeachother’seyesforaphoto.Itdidn’twork. 6w,OCTOBER 13,post,940.0, 
41454.0," thepioneerwoman Verified BackinJanuary,before2020became2020,IfilmedablockofshowswithmyregularTVcrew!Weareunearthingonethismorningon at10am/9cwhenIsharefoursuperfastsuppers.MyTVcrewisfromEngland,soofcoursetheyhaven’tbeenabletobehereforawhile...butIknowthatdaywillcome!❤️(Foodphotosby -oneofthebestEnglishmenIknow!😊) 6w",OCTOBER 10,post,633.0,  @foodnetwork @mattbcam
108036.0," thepioneerwoman Verified Alex,Paige,Mauricio’smom,andIwentweddingdressshoppingonSaturday.Iwroteablogpostaboutit!(YoucanreaditonThePioneerWoman.com🦋)Itwasasweet,specialdayandwefoundadressthat’sso😭.Itwassonicetolookforward...tothinkahead...andtoimagineallthehappytimesahead.❤️ 7w",OCTOBER 7,post,355.0, 
48614.0, thepioneerwoman Verified Therearetwocrazyfootballhomecomingmumsinthisphoto... 7w,OCTOBER 3,post,830.0, 
