likes,about_post,date,type,comments,tagged_names
10516.0, weworewhat Verified OOTD•taptap 3h,3 HOURS AGO,post,148.0, 
36153.0, weworewhat Verified babysittersclub🍼 1d,1 DAY AGO,post,145.0, 
30926.0," weworewhat Verified Theseamless ribbedsetcomesinsomanynewcolorwaysthisseasonpulledfrompantonesnthelatestswimlaunch🗞nextup:⁣ ⁣ Aneighborhoodjewel-SohoNewsInternational(onPrincestreet).Filledwithglossyhighendmagazinesandawideselectionofdomesticandinternationalpublications.Ifyou’relookingforaclassicNewYorkCityspot,thisistheplacetogo.Theirfriendlyandknowledgeablestaffandcustomerservicedoesnotgounnoticed! 2d",2 DAYS AGO,post,138.0,  @shopweworewhat
22586.0, weworewhat Verified Thecozies🐻 launchingsoon!12.01 3d,3 DAYS AGO,post,81.0,  @daniellebernstein
23112.0, weworewhat Verified Greatwineandevenbetterfriends🍷☺️ • #liveuncorked#ad 3d,3 DAYS AGO,post,89.0,  @campoviejousa @campoviejousa
18175.0," weworewhat Verified FormynewactivecollectionIshotstreetstylephotosinfrontofsomeofmyfavoritelocalsmallbusinesses.WitheachlookIwillbesharingabitaboutthem🤍thisisthenewshinycoatedspliceleggingwithbandeausportsbra.⁣ ⁣ Firstupisofcourse, I’vebeencomingheresincethemonththeyopenedin2012.Jack’sWifeFredaisanimmigrantlovestory,theymetandmarriedinJohannesburgin1930.TheirgrandsonDean,dreamedofmovingtoAmericawherehemetMayawhohadtooemigratedtoNYfromIsrael.Theyarelikefamilytomeandthisplacewillalwaysfeellikehome.🍽 3d",3 DAYS AGO,post,69.0,  @jackswifefreda.
19015.0, weworewhat Verified It’sthenewsheetsforme💭 4d,4 DAYS AGO,post,79.0, 
14114.0, weworewhat Verified Workhusband?❤️ 5d,5 DAYS AGO,post,88.0, 
8317.0, weworewhat Verified bubbleponytaildiy🧼 6d,6 DAYS AGO,post,148.0, 
15776.0, weworewhat Verified OOTD•tapforcreds 6d,6 DAYS AGO,post,71.0, 
19987.0, weworewhat Verified AlwayslookupattheMET 1w,NOVEMBER 14,post,82.0, 
17023.0," weworewhat Verified ThesweaterIworeyesterdayispartof collection,perfectlycroppedcrewneckedshoulderpaddedyumminess💭comesinwhite,blackandbeige($69)launching12.01 1w",NOVEMBER 13,post,80.0,  @daniellebernstein
17246.0," weworewhat Verified Justfinishedsettingupthe x smallbusinesspop-upandcan’tstopsmiling!ThisistheculminationofwhatWGWstandsfor,andnothingmakesmehappierthanhelpingotherswhetherit’sraisingmoneyforHondurasorcreatingthefirstretailopportunityforayoungbrand.ThisistheresponsibilityIfeelwiththeplatformI’vespentadecadebuildingandistrulysomethingI’msopassionateabout.Seeyouthere! 1w",NOVEMBER 13,post,101.0,  @wegavewhat @showfields
14613.0," weworewhat Verified PlaidforFall,groundbreaking! 1w",NOVEMBER 12,post,116.0, 
11621.0," weworewhat Verified Voguesaystaffetaistheholidayseason’smostwantedfabric,soitMUSTbeso😋new 12.01 1w",NOVEMBER 12,post,4887.0,  @daniellebernstein
13690.0, weworewhat Verified CoolpiecesI’vehadinmyclosetandhaven’thadthechancetowear•taptap 1w,NOVEMBER 11,post,68.0, 
17451.0," weworewhat Verified Tistheseasonofminishinydresses,Iliterallycan’twaittosharemorefromthis Holidaycollection•whattoexpect:thisgorgeoustaffeta(evenbetterinperson),fauxfurandcrystaldetails,comfyloungewear,andmore!Launching12.01 1w",NOVEMBER 11,post,91.0,  @daniellebernstein
17602.0," weworewhat Verified GIVEAWAY!Thinkingbackonhowmuchyouguyshavesupportedme,mybusiness,andourmanycollections..sohere’salittlegiveawaytosaythankyoutomyloyalfollowers!Allyouhavetodoisfollow andcommentwithyoufavoriteWWWpieceeverrrr!Tenpeoplewillberandomlychosentomorrowtowinanewpieceoftheirchoice(aslongasit’sstillinstock)!SENDINGVIRTUALHUGS!🤗 1w",NOVEMBER 11,post,85.0,  @shopweworewhat
17240.0," weworewhat Verified Denimdays,tapforcreds! 1w",NOVEMBER 10,post,68.0, 
17860.0, weworewhat Verified Wonderingifmymomwouldwearthesemomjeans💭swipefortheanswer🤣 1w,NOVEMBER 10,post,74.0, 
16775.0," weworewhat Verified Newnewnewwwwwwwness,somanypiecesI’vebeendyingtosharewithyouguys•theleisuresuit,ournewmomjeans,cutoutoverallsinblackandwhitetwill,lowriserockerjeanswithdetachablechain,Daniellejeanwithcrystalbuttons,theaprésskijumpsuit,stilettoslit,andjaggerstripes!I’llbeansweringquestionsandpostingafitguidetomorrow!ThiscollectiondropsTuesdayon 🔥what’syourfavsofar?! 2w",NOVEMBER 9,post,70.0,  @shopweworewhat
16739.0, weworewhat Verified photodump☺️swipefor🌅andmore 2w,NOVEMBER 8,post,1022.0, 
20345.0, weworewhat Verified Gratefulforthismorningdip ,NOVEMBER 8,post,137.0,  @hotelbarrierelecarlgustaf 2w
11434.0, weworewhat Verified Hopeeveryonehadanamazingday!!🎼 2w,NOVEMBER 8,post,65.0, 
77467.0," weworewhat Verified HelloMisterPresident,hellofirstwomanVP!Letthehealingbegin!!!🌎💙😊🥺👏🏻🤗😆 2w",NOVEMBER 7,post,1022.0, 
