likes,about_post,date,type,comments,tagged_names
7124.0, whatsgabycookin Verified Lastminutethanksgivingappetizer:BakedCamembert!Legitjustbaked/meltedcheeseyouscoopontoacrostiniandshoveintoyourmouth!Notmadatit!https://whatsgabycooking.com/thyme-garlic-baked-camembert/ 16h,16 HOURS AGO,post,166.0, 
4254.0," whatsgabycookin Verified #CapitalOnePartnerJustagirl(andabreakfastburritothesizeofmyhead)divingintosomeholidayshoppingbeforeThanksgivingtomorrow!!Cashinginsomeofmy rewardsanddoingallmygiftbuyingearlierthanusualthisyearbecauseIampreparedforthefirsttimeinmylife!CapitalOnehasbeenworkingaroundtheclocktobringussomemegaflexibilityforhowweuseourrewardsthisholidayseasonandIamhereforit!Whetherit’susingthe PaywithRewardsorcashinginforsomegiftcardswithyourrewards,we’vegotoptionsandthatisallthisindecisiveshopperneeds!!Moreinfoinmystories!!AndyesIabsolutelytookdownthisentireburritobymyselfin5minutes.NOQUESTIONSASKED. 22h",22 HOURS AGO,post,65.0,  @capitalone @PayPal
11057.0, whatsgabycookin Verified Whatifwejustthreweverythingwepreppedforthelast3weeksoutthewindowandjustdidacheeseboardonThursday IKINDATHINKITSTHERIGHTMOVE😂detailsforthisbeautyonthebloghttps://whatsgabycooking.com/thanksgiving-cheese-board/jkjkjkjustaddingthistothemenu!! 1d,1 DAY AGO,post,150.0,  @whatsthomaseating??
2909.0, whatsgabycookin Verified Foreveryoneouttherethatwantsafunfestivedrinkwithouttheboozehereyago!!Justalittle spritzforyourfamilyfestivitiesthisweek.ANDifyouwantthebooze(lookingatyou addasplashoftequilatomakeitmoreofatequilaspritzysmash!#WeThePeelzFindthematastorenearyou! or cupsofmandarinjuicefromPeelzmandarins ¼cupfreshlimejuice Handfuloffreshmintleaves 1½cupsofchilledsparklingwaterorclubsoda Ice Mandarinsegmentsforgarnish  Gentlycrushortearthemintleavesandplaceinthebottomofeachglass.Juicethemandarinsandlimejuiceandpourintotheglass.Addahandfuloficeandsomesegmentedmandarins.Filltheglasswiththesparklingwaterandmixgently.Addmintandsegmentstogarnishandserveimmediately. 1d,1 DAY AGO,post,0.0,  @peelzmandarins @whatsthomaseating) @(vons @albertsons)  2
4419.0," whatsgabycookin Verified Setyouralarmsnow,becauseinexactly24hoursit’sgametimeguys!!4pmPTtomorrowwe’reattemptingtohosttheworldslargestvirtualFriendsgivingwithmy famand It’shappeningontheWGCFacebookpagesocomehang,let’ssetaworldrecord, andIwillansweranyandallquestionsaboutthanksgivingandwecanallspendtheafternoontogethervirtually!!Andthenmaaaaaybe,nextyearwedoitinreallife(likeinanepicfieldwithallthewineandfoodwhenwecanbreatheeachother’sair!!)AlsotheseAppleCranberryMoscowMulescanbecocktailsormocktailsandtheyareDELISHhttps://whatsgabycooking.com/apple-cranberry-moscow-mule/ 4d",4 DAYS AGO,post,174.0,  @williamssonoma @stjude!! @belle_english
14870.0," whatsgabycookin Verified PrettymuchtheMOSTcomprehensiveguidetothanksgivingisuponmystories/savedinmyhighlightsandontheblog!We’vegotyacoveredforeverypartofnextweekregardlessofhowmanypeopleyou’recookingfor!(we’rerollingjustthe2ofusthisyearsobringontheleftoversandyesIwilleatthebakedBriebymyself!!)also-ifyou’vegotanyquestions,lay‘emonmenoworsendthemmywayThursdaywhileyou’recooking.I’LLBEHERE!🧡https://whatsgabycooking.com/fall-farmers-market-salad/ 5d",5 DAYS AGO,post,317.0, 
5726.0," whatsgabycookin Verified Youguys….Youaskedforitandhereweare!Acornbreadandsausagestuffingforeveryonewho’sbeenaskingforoneforYEARS!!#adYou’rewelcome.Iwasinspiredby sausagerecipe(theymakethemostFLAVORFULsausage)andaddedtoitatonoffreshherbsandtoppeditoffwithMontereyJackCheesetoreallytakeittoanotherlevel.Thanksgivingmightlookalittledifferentthisyear,butwe’venowbroughtyou3versionsofstuffingsoevenifyou’recelebratingsolo,you’reabouttobeSUPERwellfed!Fullrecipebelowandformore sausageholidayrecipeinspiration,visitthelinkinmyIGStory.T-6DAYS!!!#jimmydeanholiday  1packageJimmyDeanPremiumPorkSausage 2cupschoppedcelery 1cupfinelychoppedonion 5-6cupscubedcornbread,toasted ¼cupchoppedfreshparsley 3tablespoonschoppedsage 3tablespoonschoppedoregano ½teaspoonkoshersalt ¼teaspoonfreshlycrackedblackpepper 1cupchickenbroth 1egg,lightlybeaten 1cupShreddedMontereyJackCheese  Totoastcornbread,bakeat400°Ffor10minutesuntilgoldenbrown.  Reducetheovento325°F.  Cooksausage,celeryandonioninalargeskilletovermediumhighheatfor8-10minutesoruntilsausageisthoroughlycooked,stirringfrequently;drainexcessfat.Spoonintoalargebowlandaddcornbread,herbsandseasoning;mixlightly.Addbrothandegg;mixjustuntilblended.Stirinshreddedcheese.  Spoonintolightlygreased2-quartcasseroleorsoufflédish;coverandbakefor45minutesoruntilthoroughlyheated,uncoveringafter35minutestobrownthetop.Serveasneeded. 5d",5 DAYS AGO,post,174.0,  @jimmydean @jimmydean
12216.0, whatsgabycookin Verified BEHOLD:puffpastrybakedbriewithfigjamandcaramelizedonionsislegitwhatdreamsaremadeof!!Youguysaregonnaneedthis!🔥Didwedemolishthisin5minutesafterweshotit:that’sayes!!Linkedinmyprofilehttps://whatsgabycooking.com/baked-brie/ 6d,6 DAYS AGO,post,195.0, 
11959.0," whatsgabycookin Verified Sincethanksgivingisn’tgonnabesupertraditionalthisyear,neitherisdessert!!Iroundedup15ofmyfavseasonalsplurges(yesIincludedapieformypiedeprivedhusband)andtheyareallontheblogforya!!AndthisApplePuffPastryGaletteistrulyaworkofart(thankyou andwillmakeyoulooklikeanabsoluterockstar!Linkedinmyprofilehttps://whatsgabycooking.com/15-epic-thanksgiving-desserts/ 1w",NOVEMBER 18,post,86.0,  @adamfoodstyle)
5692.0," whatsgabycookin Verified LOTStodiscuss: 1:Yes,thanksgivingisgoingtolookalittledifferentthisyearbutthatdoesn’tmakeitanylessspecial.IbrokedownmyentiremasterprepschedulefortheweekleadinguptheThanksgivingifyou’recookingafeastforyourimmediatefam!It’sspot-freaking-on.Andontheblog! 2:There’salsoanentiremenuonthereifyouneedanymoreinspiration! 3:Seeingashowwe’renotgoingtobewithmyfamthisyear-I’vedecidedtomakemyselfavailableALLDAYLONG(until4ishPT)onThanksgivingtoansweranyquestionsviaDM.Justsendmeany911cookingemergenciesviavideoandwe’lltroubleshoottogether. 4: didtheultimateguidetothanksgivingwineandit’sontheblogtoo!!Alsothispicisfromlastyear-nobodypanic,I’mnotdrinkingwinewhilepregnant 5:IGLIVETONIGHTPEOPLEandevenmoretodiscuss!Likehowtomakethisyearspecial!Seeyousoon!https://whatsgabycooking.com/thanksgiving-menu-2/ 1w",NOVEMBER 17,post,37.0,  @whatsthomaseating
