likes,about_post,date,type,comments,tagged_names
8412.0," yovana Verified Thisdefinitelyfeelslikeadifferentthanksgiving,nonethelessI’mgratefulforlifeandeverythingGodhasgivenmetothisday❤️HappyThanksgivingfromourlittlefamilytoyours!I’msogratefulforyouandalltheloveyoualwaysgiveme,yourcommentsandmessages,theyfillmyheartwithloveeveryday.Thankfulforthisbeautifulcommunitywehave,loveyoufam! —————————————— EsteThanksgivingsesientediferente,decualquiermaneraestoymuyagradecidaporlavidayportodoloqueDiosmehadadohastaestedía❤️FelizdíadeAccióndeGraciasdenuestrapequeñafamiliaaustedes!Estoysúperagradecidaporcadaunodeustedes,susmensajesycomentariosquemedejandiariomellenandeamorcadadía.Muyafortunadaporestahermosacomunidadquetenemos,losquieromucho! 9h",9 HOURS AGO,post,65.0, 
12181.0," yovana Verified ExerciseisapartofwhoIam!We’recurrentlyinAustinandtobehonestittakesabitmoreeffortformetoworkoutwhenI’mtravelingbuteverytimeIfinishIfeelsooomuchbetterafterwards!Imakeitaprioritytomovemybodyeveryday,wetherthat’sinagym,outside,orsimplywalkingmore.I’mnotafanofthefeelingyougetwhenyou’re“backfromvacation”soIstilleathealthyforthemostpartandenjoyheavieramealortwo.It’salifestyle,makeityourowntowhatmakesyoufeelgood,energizedandkeepsyouhealthy! —————————————— Hacerejercicioespartedemi!ActualmenteestamosenAustinyparasersúperhonestametomamásesfuerzohacerejerciciocuandonoestoyencasaperosiemprequeterminodehacerlomesientomuchomejor!Hagohacerejerciciounaprioridadenmidíayaseaenungimnasio,afueraosimplementecaminarmás.Nosoyfandeesesentimiento“despuésdelasvacaciones”asíquesigocomiendosaludablelamayoríadeltiempoydisfrutounaodoscomidasmáspesadas.Estoesunestilodevida,hazloatumaneraparaquetefuncioneatiytehagasentirbien,conenergía,ysaludable! 2d",2 DAYS AGO,post,84.0, 
5360.0," yovana Verified 🍹JuiceisLIFE💜They'rehydrating,cleansing,helpyoudrinkmorefreshfruitsandvegetablesandagoodjuicerlikethe isessentialforextractingalltheirbenefits!  🚨TheirbiggestSALEoftheyearisthisweek!Get20%OFFusingthecode:YOVANA20👉LinkonProfile👈andgiveyourselforsomebodyyoulovethegiftofhealththisholidayseason🎁 Theyarealsodoingagiveaway,headoverto toenter!Goodluck🍀  ***** 🍹ElJUGOesVIDA💜Sonrefrescantes,desintoxicantes,teayudanabebermásfrutasyverdurasfrescasyunbuenextractorcomoelNamaesfundamentalparaextraertodossusbeneficios!  🚨SumayorOFERTAdelañoesestasemana!Obténun20%deDESCUENTOusandoelcódigo:YOVANA20👉Linkenmiperfil👈yregálateoaalguienqueamaselregalodelasaludenestasfiestas🎁 Tambiénestánhaciendounsorteo,¡dirígetea paraparticipar!Buenasuerte🍀 3d",3 DAYS AGO,post,165.0,  @namawell @namawell @namawell
6021.0," yovana Verified ROASTEDBRUSSELSSPROUTS&CARROTS🥕Ahealthycombomakesaperfectholidaysidedishrecipe,greatforThanksgivingorasadelicioussaladtopper🥗  📔Ingredients: 1/2lbBrusselssprouts 4-5largecarrots 1/4cupbalsamicvinegar 1/4cupoliveoil 1tbshoney Seasalttotaste 🔥BAKEat350Ffor30-40minutesuntildonetoyourtaste  😋COMMENTbelowifyouareexcitedtotrythis!  ***** COLESDEBRUSELASYZANAHORIASASADAS🥕Unacombinaciónsaludablequeesperfectacomoguarniciónparalascenasnavideñasocomounadeliciosadecoraciónparaensaladas🥗  Ingredientes: 1/2libradecolesdeBruselas 4-5zanahoriasgrandes 1/4tazavinagrebalsámico 1/4tazaaceitedeoliva 1cucharadademieldeabeja Saldemaralgusto 🔥HORNEARa350Fpor30-40minhastaqueesténatugusto  😋¡COMENTAacontinuaciónsiestásemocionadodeprobaresto! 4d",4 DAYS AGO,post,89.0, 
6502.0," yovana Verified StylingthetrendysweaterVEST!Commentbelowwhichoneisyourfavoritelook1,2,or3?🤩Thisamazingpieceisfrom (I’mwearingasizeSforreference)andit'ssuchaneasypiecetostyleforfall🍁I'mtotallyinlovewithit😍Styledby:Marisol MEknowhowYOUwouldstyleit👇  ***** ¡ArmandooutfitsconelCHALECOtrendy!Comentacuálestulookfavorito1,2,o3?🤩estaincreíblepiezaesde (parareferenciaestoyusandotallaS)yesmuyfácildecombinarparaelotoño🍁Estoytotalmenteenamoradadeél😍  DÉJAMESABERcómolousaríasTU👇  #yovana#yovanafam#yovanamendoza#fashion#style#fashionista#ootd#zara#vest#sweater#fall#fallfasion#falloutfit#falloutfits#falloutfitideas#falloutfit2020#fallfashion#sueter#ropadeotoño#fallfashion2020#fashionstyle#fashiontrends#fashionlover#selflove#loveyourself#amate#modadeotoño 5d",5 DAYS AGO,post,61.0,  @zara @stylingthebasics  LET @zara
4697.0," yovana Verified Meetmynewfavoritenon-toxiccookwaresetby 😍⁣ ⁣ 🍳Thesehighqualityandgorgeouspansarechemical-free,madefrom100%naturalceramic,andethicallymanufactured💖⁣ ⁣ 😋FoodeventastesbetterinmyCarawaycookwarebecausecookingwithnon-toxiccookwareensuresyou’reonlyeatingtheingredientsyou’veadded,andnotanyharmfulchemicals.⁣ ⁣ 🙌🏽Alsobecauseofceramic’snaturallyslicksurface,allyouneedisabitofoilorbutterwhencooking.⁣ ⁣ ❤️StartingtodayuntilNov.30,2020they’rehavingtheirONLYSALEoftheyearandcangetUpto20%off!🎄LINKINBIO🎁Thiswouldmakeagreatgiftforsomeoneyouloveortreatyourselftosomethingthatwilllastyoualifetime❤️⁣ ————————————————⁣ ⁣ Tepresentominuevojuegofavoritodecocinanotóxicode _home😍⁣ ⁣ 🍳Estossarteneshermososydealtacalidadnocontienenquímicos,estánhechosdecerámica100%naturalysonfabricadoséticamente.⁣ ⁣ 😋LacomidainclusosabemejorenmisutensiliosCarawayporqueelcocinarconproductosnotóxicostegarantizaquesolocomeslosingredientesqueagregasteynosustanciasquímicasdañinas.⁣ ⁣ 🙌🏽Tambiéngraciasalasuperficienaturalmentesuavedelacerámica,todoloquenecesitasesunpocodeaceiteomantequillaparacocinar.⁣ ⁣ ❤️Apartirdehoyhastael30denoviembredel2020,tendránsuÚNICABARATAdelañoypuedesobtenerhastaun20%dedescuento.🎄LINKENMIPERFIL🎁Seríaungranregaloparaalguienqueamasoalgoqueregalarteatiquetedurarátodalavida❤️⁣ 6d",6 DAYS AGO,post,115.0,  @caraway_home @caraway_home
7388.0, yovana Verified UPPERBODYROUTINE💪tostregthenandtoneyourarms!🔥SAVEFORLATER Use3-5lbweights(I’musing3lb) Eachexercise45secondswith15secondrest Sets3-5  Workingoutalwaysgivesmemoreenergyandputsmeinagreatmood!🤩 👇CommentbelowifyoufelttheburnandTAGyourbesties! ****** RUTINAPARATRENSUPERIOR💪parafortalecerytonificartusbrazos!🔥GUARDAPARAMÁSTARDE Usapesasde3-5libras(yoestoyusandode3) Cadaejercicio45segundoscon15segundosdedescuento Sets3-4  ¡Hacerejerciciosiempremedamásenergíaymeponedebuenhumor!🤩 👇¡Comentaacontinuaciónsisentisteeldoloryetiquetaatusmejoresamigos!  #yovana#yovanamendoza#yovanafam#workout#workoutroutine#armworkout#loveyourbody#nogymneeded#nogymnoproblem#workoutathome#armsworkout#armworkoutsforwomen#workoutsforwomen#tonedarms#fitness#fitgirl#fitgirlsinspire#sweating#sweatingitout#rutinadejercicio#ejercicio#ejercitate#hazejercicio#muevetucuerpo#rutinadebrazo 1w,7 DAYS AGO,post,274.0, 
6972.0," yovana Verified 🍌BANANA""MILK""🥛Adeliciousdairyfreealternativefullofpotassiumandelectrolytes.SAVEFORLATER💡Aneasyrecipeforthewholefamily😉  Ingredientsserves2: 🍌2Banana 🤎2Dates 🥛1/2cupalmondmilk(optional) 💧11/2cupwater  🤍Method:combineallingredientsinablenderandblenduntilsmooth. 💛Tip:itisbesttodrinkthemilkimmediatelybutifyouwantitforlater,keepinthefridgeforupto2days.Justshakeverywellbeforeyoudrinkit!  Whatisyourfavoritetypeofmilkor""milk""?🤣TAGmeifyoutrythis👇  ****** 🍌""LECHE""DEPLÁTANO🥛Unadeliciosaalternativasinlácteos,llenadepotasioyelectrolitos.GUARDAPARAMÁSTARDE💡Esunarecetafácilparatodalafamilia😉  Ingredientespara2: 🍌2plátanos 🤎2dátiles 🥛1/2tazalechedealmendra(opcional) 💧11/2tazadeagua  🤍Método:combinatodoslosingredientesenunalicuadoraymezclahastaquequedeunaconsistenciasuave. 💛Consejo:lomejoresbeberla""leche""deinmediatoperosilaquieresguardarparamástarde,mételaalrefrigeradorhasta2días.¡Soloagitamuybienantesdebeberla!  ¿Cuálessutipodelecheo""leche""favorita?🤣ETIQUÉTAMEsiintentasesto👇  #yovana#yovanamendoza#yovanafam#banana#milk#bananamilk#bananarecipes#Ilovebananas#fruitsandveggies#nutfree#dairyfree#dairyfreemilk#dairyfreemilkrecipe#recipe#recipes#healthyrecipe#healthylifestyle#recetas#recetassaludables#receta#recetasfaciles#platano#lechedeplatano#comesano 1w",NOVEMBER 19,post,210.0, 
26304.0," yovana Verified Celebrating2yearsofmarriagetodaywithmysweetlove❤️learningmoreaboutyoueveryday,seeingyougrow,andgettingtocelebratelifewithyouisablessing!IloveyouDorian🥰 ————————————————— Celebrando2añosdematrimonioconmiamor❤️aprendermásdeticadadía,vertecrecer,ycelebrarlavidacontigoesunabendición!TeamoDorian🥰 1w",NOVEMBER 17,post,198.0, 
9910.0," yovana Verified I’vedealtwithanxietysinceIwasateenagerandit’sbeenessentialformetohavethetoolsthatbringmepeace,centerme,groundmeandhelpmefocusonthepresent.Someofthesethingsare: 🌿Beinginnature 💪Movingmybody ✨Meditating 🙏Praying 📖Reading 😅Laughing 🎥Working 💗Practicinggratitude 🥗Eatinghealthy WhatmakesYOUfeelatpeace?♥️I’mreading!  ***** Helidiadoconansiedaddesdequesoyadolescente.Paramihasidoesencialencontrarherramientasquemetraenpaz,mecentran,meaterrizan,ymeayudanaenfocarmeenelpresenteyenelahora.Algunascosasson: 🌿Estarenlanaturaleza 💪Movermicuerpo✨Meditar 🙏Orar 📖Leer😅Reírme 🎥Trabajar 💗Practicarlagratitud 🥗Comersano ¿Yati,quétehacesentirpaz?♥️Losleo! 1w",NOVEMBER 16,post,215.0, 
