likes,about_post,date,type,comments,tagged_names
4498554.0,  ,2 DAYS AGO,post,5434.0,  @zendaya Verified essence 2d
3192809.0,  ,3 DAYS AGO,post,12500.0,  @zendaya Verified essence 3d
4684947.0,  ,3 DAYS AGO,post,5007.0,  @zendaya Verified essence 3d
2133592.0," zendaya Verified Thiswasanabsolutehonortogracethisveryspecial50thanniversarycoverof whilepayingtributetotheiconicDonyaleLuna,oftencreditedasthefirstblacksupermodel. 3d",3 DAYS AGO,post,11900.0,  @essence
3984360.0,  ,NOVEMBER 12,post,21100.0,  @zendaya Verified elleusa 1w
5351590.0,  ,NOVEMBER 11,post,17900.0,  @zendaya Verified elleusa 1w
5092573.0,  ,NOVEMBER 11,post,15900.0,  @zendaya Verified elleusa 1w
4015223.0," zendaya Verified Thisoneisaspecialone,thankyou ✨andthankstomyg fordoingtheinterviewwithme Thepeopleresponsibleforthemagic... ",NOVEMBER 10,post,2216.0,  @elleusa @tchalamet @luxurylaw micaiahcarter officialsheiks kimblehaircare 1w
843425.0, zendaya Verified Votethismfout. 2w,NOVEMBER 4,post,5859.0, 
3746375.0, zendaya Verified Wereallymissedthem.TwospecialEuphoriaepisodescomingsoon.FirstoneDecember6thon ,OCTOBER 20,post,19600.0,  @hbo 4w
5707366.0,  ,OCTOBER 5,post,75000.0,  @zendaya Verified bulgari 6w
9005371.0," zendaya Verified Stilldon’treallyhaveanywords....feelingsomuchloverightnow,thankyou. 8w",SEPTEMBER 21,post,16100.000000000002, 
4262799.0, zendaya Verified IDÔLE✨ ,SEPTEMBER 12,post,11500.0,  @lancomeofficial 10w
12241378.0, zendaya Verified DUNEOfficial          ,SEPTEMBER 8,post,25500.0,  @Trailer  dunemovie @tchalamet @officialrebeccaferguson @joshbrolin @bardemantarctic @prideofgypsies @dastmalchian @shazdb @davebautista @tanyalapointe 10w
5108893.0," zendaya Verified I’mincrediblygratefulforallthebeautifulbirthdaywishesIreceivedyesterday,feelingveryveryspecial,sothanky’all♥️Here’sto24 11w",SEPTEMBER 3,post,9010.0, 
4562056.0, zendaya Verified Restingreatpower. 12w,AUGUST 30,post,33800.0, 
5644476.0,  by by by by   ,AUGUST 7,post,11300.0,  @zendaya Verified instylemagazine Styled @luxurylaw Shot @abdmstudio Makeup @officialsheiks Hair @larryjarahsims Wearing @hanifaofficial @torisoudan 15w
3300867.0, zendaya Verified Thankyou forthisveryspecialcoverandinterviewwith by by by by   ,AUGUST 7,post,17800.0,  @instylemagazine @osopepatrisse Styled @luxurylaw Shot @abdmstudio Makeup @officialsheiks Hair @larryjarahsims Wearing @alietteny @mateonewyork 15w
4148108.0," zendaya Verified I’mhonestlyspeechless,myheartisjustoverflowingwithloveandgratitude.I’msoincrediblyhonoredtoworkbesidethetalentedpeoplethatIgettocallfamily.IamasmallpieceofabigbeautifulpuzzleandI’msoproudofallofyou.Thankyoutoeveryoneouttherewho’swatchedandgivenourshowlife,thankyou   foreverythingand forthisbeautifulacknowledgment,thankyou,thankyou,thankyou.WeouthereEmmynominatedy’all!! 16w",JULY 29,post,19400.0,  @samlev00 @hbo @a24 @televisionacad
4811758.0, zendaya Verified Malcolm&Marie 19w,JULY 9,post,1160.0, 
741737.0, zendaya Verified StaySafe.StayEducated.StayStrong.  Weneedyou. 20w,JULY 5,post,1319.0, 
863745.0," zendaya Verified Closingthis#FuckThe4theveningwithBlackcreativity.  Spotlight: foundedby HealsisacreativeagencyandcollectiveofartistsbasedinSouthCentralthatfocusontheintersectionofart,cultureandactivismtocultivatecommunityengagementandsocialequity.Throughtheuseofvisualart,branddevelopmentandcreativestrategy,wehavecollaboratedwithnumerousnon-profits,politicalmovementsandbrandstoreimaginecultureandcommunityhealing.  Followthisamazing ",JULY 5,post,1394.0,  @trap.heals @iamdamonturner  Trap @team!  dyanep1 liketheking__ callhercoral ale.porvida 20w
1244691.0, zendaya Verified #BlackLivesMatterforever. 20w,JULY 5,post,1426.0, 
528634.0," zendaya Verified “Inthiscriticalmoment,astheworldjoinsusinthefighttodefendBlacklife,Irememberthatwecomefromalonglegacyofresilienceandsolidarity.Westandontheshouldersofthemanythatcamebeforeusthattaughtuswhatittakestoshowupforoneanotherandtofightlikehellforourfreedom.Wehonorthosebeforeus,byshowinguptoday.”–PatrisseCullors  #FuckThe4th 20w",JULY 5,post,655.0, 
682912.0, zendaya Verified Heyloves! here!TakingoverZendaya’sfor#FuckThe4th. 20w,JULY 5,post,5613.0,  @osopepatrisse
896619.0, zendaya Verified Sayhername.#BreonnaTaylor✨ 24w,JUNE 6,post,3691.0, 
764439.0," zendaya Verified Donotstopapplyingpressure,moreresourcesonmypage. 24w",JUNE 4,post,1493.0, 
5687412.0, zendaya Verified Dune 31w,APRIL 15,post,1603.0, 
4161218.0, zendaya Verified Btsfrom 🖤 35w,MARCH 19,post,3821.0,  @bulgari
6144762.0,  ,MARCH 1,post,32000.0,  @zendaya Verified vogueaustralia 38w
3802914.0, zendaya Verified Incrediblyhonoredtocover Thankyouforhavingme♥️ 39w,FEBRUARY 23,post,17500.0,  @vogueaustralia
4125376.0," zendaya Verified Thankyouforagorgeousnight,proudtobeanofficialmemberofthe family. 41w",FEBRUARY 8,post,12000.0,  @bulgari
4679563.0," zendaya Verified Thankyouforagorgeousnight,proudtobeanofficialmemberofthe family. 41w",JANUARY 30,post,5358.0,  @bulgari
7227851.0," zendaya Verified Thankyouforagorgeousnight,proudtobeanofficialmemberofthe family. 41w",JANUARY 13,post,13200.0,  @bulgari
7309525.0," zendaya Verified Thankyouforagorgeousnight,proudtobeanofficialmemberofthe family. 41w","DECEMBER 28, 2019",post,9815.0,  @bulgari
4556290.0,  TeintIdolecampaignbesidethemostgorgeous 💫 49w,"DECEMBER 14, 2019",post,5358.0,  @zendaya Verified lancomeofficial @lupitanyongo
3799758.0, zendaya Verified 🖤 51w,"NOVEMBER 29, 2019",post,13200.0, 
2315569.0, zendaya Verified Thankyou proudtobeyourwomanoftheyear🖤 51w,"NOVEMBER 29, 2019",post,9815.0,  @gqaustralia
5629306.0, zendaya Verified Thankyou proudtobeyourwomanoftheyear🖤 51w,"NOVEMBER 23, 2019",post,42300.0,  @gqaustralia
2616776.0, zendaya Verified Thankyou proudtobeyourwomanoftheyear🖤 51w,"NOVEMBER 22, 2019",post,38600.0,  @gqaustralia
1473173.0," zendaya Verified Soexitedaboutthiscover,thankyou 💕  ","NOVEMBER 22, 2019",post,15800.0,  @allure @tommyhilfiger @lancomeofficial 52w
3374528.0," zendaya Verified ThankyouPCA’sforaveryspecialnight,feelingincrediblygrateful 53w","NOVEMBER 12, 2019",post,13300.0, 
6326768.0, zendaya Verified LancômeL’absoluRougecampaignouttake 55w,"OCTOBER 29, 2019",post,5830.0, 
4886587.0," zendaya Verified Mykid’s4today,againslowdowntime🌻 57w","OCTOBER 20, 2019",post,27600.0, 
3039802.0," zendaya Verified Lastnightwasincredible,whatanabsolutehonortobeapartofitall.Thankyou ","OCTOBER 16, 2019",post,8152.0,  @elleusa 57w
3054700.0,  ,"OCTOBER 11, 2019",post,3414.0,  @zendaya Verified elleusa 58w
2697497.0,  ,"OCTOBER 10, 2019",post,11500.0,  @zendaya Verified elleusa 58w
2536968.0," zendaya Verified Thankyou forincludingme,whatanhonor💖 58w","OCTOBER 9, 2019",post,35300.0,  @elleusa
2395323.0, zendaya Verified Thankyouto forhavingmeandmygorgeousglamsquadonyourcover!  ,"OCTOBER 3, 2019",post,10800.0,  @hollywoodreporter @officialsheiks @ursulastephen 59w
5346507.0, zendaya Verified Thankyouto forhavingmeandmygorgeousglamsquadonyourcover!  ,"SEPTEMBER 24, 2019",post,7108.0,  @hollywoodreporter @officialsheiks @ursulastephen 59w
5337108.0, zendaya Verified Thankyouto forhavingmeandmygorgeousglamsquadonyourcover!  ,"SEPTEMBER 23, 2019",post,8953.0,  @hollywoodreporter @officialsheiks @ursulastephen 59w
4464620.0, zendaya Verified Thankyouto forhavingmeandmygorgeousglamsquadonyourcover!  ,"SEPTEMBER 23, 2019",post,8951.0,  @hollywoodreporter @officialsheiks @ursulastephen 59w
3237017.0," zendaya Verified HappybirthdayRueRue(footagethatdidn’tmakeit,readytogobacknow) 62w","SEPTEMBER 14, 2019",post,6108.0, 
3633442.0, zendaya Verified 🎬#TommyxZendaya 62w,"SEPTEMBER 11, 2019",post,28800.0, 
1513066.0," zendaya Verified Somuchgratitudetoeveryonewhohelpedmakemeand visionsareality.Thankyou foryourguidanceandtrust,youpromisedmecreativefreedomandsupportanddeliveredinthemostbeautifulway.Thankyoutothe forbringingyourmagicandtalenttoourshowandforalltheworkyoudointhecommunityofHarlem,weareproudtosupportyou.Wehopeeveryonewhocameorwatchedtheshowleftwithanoverwhelmingsenseofjoythroughthiscelebrationofhistory,thankyouforyourlove. 62w","SEPTEMBER 10, 2019",post,6108.0,  @luxurylaw @thomasjhilfiger @mamafoundation
3982460.0," zendaya Verified Whoevertookthis,thankyouforcapturingmyjoy...stillfeelingabitlikeadream.Somanypicturesandlongpostscoming✨ 62w","SEPTEMBER 9, 2019",post,28800.0, 
3842537.0, zendaya Verified 🌫 63w,"SEPTEMBER 7, 2019",post,27400.0, 
2505692.0," zendaya Verified Adream,thankyoutomy familyforanincrediblefirstfragrancelaunchtogether💫 63w","SEPTEMBER 6, 2019",post,24600.0,  @lancomeofficial
2216992.0, zendaya Verified Thankyou Forhavingmeonyourcoverandtotheextraordinary forallowingmetobeapartofyourart.   ,"SEPTEMBER 3, 2019",post,8836.0,  @garage_magazine @simoneyvetteleigh @ryanmcginleystudios @gabriellak_j @luxurylaw 63w
5994610.0," zendaya Verified KeepingthisenergyasIstepintomy23rdyearoflife,thankyouforallthelove. 63w","SEPTEMBER 2, 2019",post,12800.0, 
4019106.0, zendaya Verified Episode7:TheTrialsandTribulationsofTryingtoPeeWhileDepressed DetectiveBennett 68w,"JULY 30, 2019",post,2393.0, 
6343223.0, zendaya Verified Onlytwoleft.Episode7tonight💙 68w,"JULY 25, 2019",post,23100.0, 
2401328.0, zendaya Verified ThattimeLawconvincedmetohaveawholeassphotoshootinourhotelhallwayinParisfornootherreasonthanthisgorgeousdress.Happybirthdaytoavisionarycreativegeniusotherwiseknownas ,"JULY 20, 2019",post,7286.0,  @luxurylaw 70w
6307842.0," zendaya Verified Itookthislastweek,ignorethemakeuponmyshirt 71w","JULY 14, 2019",post,40100.0, 
6358770.0," zendaya Verified InhonorofourmovieSpider-Man:FarFromHomedoingsowell,IthoughtI’dsharesomegemsIfoundwhilereminiscingonlastsummer...Enjoylol 71w","JULY 13, 2019",post,13600.0, 
4863497.0, zendaya Verified WheninRome 72w,"JULY 5, 2019",post,8433.0, 
2883332.0," zendaya Verified Incrediblygratefultomy familyforhavingmeasthefaceoftheirnewestfragranceIdôle,whataspecialnightinParis🌸 72w","JULY 4, 2019",post,44700.0,  @lancomeofficial
5352979.0, zendaya Verified PFW19 72w,"JULY 3, 2019",post,4048.0, 
3074314.0," zendaya Verified Thisisme,feelingverybadasswithmymace.Spider-Man:FarFromHomeisoutnow!!!Hopeyouhavefun,andremembertotrynottospoilstufflol🕷 72w","JULY 2, 2019",post,2889.0, 
4362960.0," zendaya Verified Thespideysuit,butmakeitfashion 73w","JUNE 29, 2019",post,4048.0, 
3835950.0," zendaya Verified Lastnightwasadream,soincrediblyexcitedandproudtobeapartofitallagain.SeeyouallJuly2nd♥️🕷 73w","JUNE 27, 2019",post,2889.0, 
3424567.0, zendaya Verified Headedto 🧡 73w,"JUNE 26, 2019",post,5969.0,  @stephenathome
1342478.0," zendaya Verified Episode2tomorrownightat10pmon Thisisjustaglimpseofwhat’stocome,thankyoufortheloveandsupportofourshowalready.💙(thistraileralwaysgetsme) 74w","JUNE 23, 2019",post,35200.0,  @hbo
2561831.0," zendaya Verified Episode2tomorrownightat10pmon Thisisjustaglimpseofwhat’stocome,thankyoufortheloveandsupportofourshowalready.💙(thistraileralwaysgetsme) 74w","JUNE 21, 2019",post,18500.0,  @hbo
3605632.0, zendaya Verified Makeshiftshoot 74w,"JUNE 21, 2019",post,5683.0, 
2574487.0, zendaya Verified Iliketobasemyoutfitsoffmyhaircolor 74w,"JUNE 20, 2019",post,22900.0, 
2685103.0, zendaya Verified Notabadbackdrop🇬🇧 74w,"JUNE 18, 2019",post,8192.0, 
3623283.0," zendaya Verified Faceit,Tiger... 74w","JUNE 18, 2019",post,0.0, 
2464785.0,  faceinthesecondpictureisallthatmatters 74w,"JUNE 18, 2019",post,0.0,  @zendaya Verified jnwtts
2858838.0, zendaya Verified Pleaseread 74w,"JUNE 17, 2019",post,0.0, 
2061618.0," zendaya Verified “Yo,whatthefuck!” 75w","JUNE 11, 2019",post,22900.0, 
1671667.0," zendaya Verified “Yo,whatthefuck!” 75w","JUNE 7, 2019",post,8192.0, 
1233716.0," zendaya Verified Toeveryoneinthisphoto,I’mhonoredandproudtobestandingnexttoyou.Loveyoukids💙 ","JUNE 7, 2019",post,5683.0,  @euphoria 76w
3684714.0, zendaya Verified Thankyouto forhavingmeandmy collectiononyourcover✨ 76w,"JUNE 5, 2019",post,8192.0,  @glamourparis @tommyhilfiger
1474594.0,  ,"JUNE 3, 2019",post,5683.0,  @zendaya Verified papermagazine 76w
1236616.0," zendaya Verified Thankyou forhavingmeonthecoverofyourextremeissue,itwasmyabsolutepleasurecreatingsomethingspecialwithyou♥️ 76w","JUNE 3, 2019",post,22900.0,  @papermagazine
3010298.0," zendaya Verified Happybirthdayweirdo,thanksforbeingthewonderfulpersonyouare,we’reallveryluckytohaveyouandyourweirdness👍🏽 ","JUNE 2, 2019",post,5683.0,  @tomholland2013 77w
2008172.0,   ,"MAY 18, 2019",post,22900.0,  @zendaya Verified voguemagazine @tylersphotos 79w
1104102.0, zendaya Verified Officialposter 79w,"MAY 14, 2019",post,8192.0, 
1767277.0," zendaya Verified Euphoria.Fulllengthtrailer,watchtiltheend. 80w","MAY 11, 2019",post,5683.0, 
2030285.0, zendaya Verified Stillfreakingout. ,"MAY 11, 2019",post,22900.0,  @voguemagazine 80w
2460364.0, zendaya Verified Clearlywehadaterribletimeon ,"MAY 10, 2019",post,8192.0,  @jimmykimmellive 80w
2380135.0, zendaya Verified Wakinguptothisisanabsolutedream.Thankyou forhavingmeagain✨ ,"MAY 9, 2019",post,5683.0,  @voguemagazine @tylersphotos 80w
6264659.0, zendaya Verified ThankyoutomyFairyGodbruthaforafairytaleendingtomyDisneydays. 80w,"MAY 7, 2019",post,22900.0, 
4884354.0, zendaya Verified Underneaththemagic.Thankyoutoalltheveryverysmartpeoplewhosomehowbuiltandmadethisdresswork💙 80w,"MAY 7, 2019",post,8192.0, 
2644076.0, zendaya Verified *SPOILERSAHEAD*New#SpiderManFarFromHometrailerisout!!!!!! 80w,"MAY 6, 2019",post,5683.0, 
2861874.0, zendaya Verified She’saVirgo#TommyxZendaya 84w,"APRIL 10, 2019",post,8192.0, 
6479464.0, zendaya Verified Thankyousun 88w,"MARCH 15, 2019",post,22900.0, 
2456119.0, zendaya Verified Goldengirl#TommyxZendaya 89w,"MARCH 8, 2019",post,8192.0, 
646066.0, zendaya Verified Dear ....swipefortherest✨ 89w,"MARCH 5, 2019",post,5683.0,  @luxurylaw
656273.0, zendaya Verified History. 89w,"MARCH 4, 2019",post,22900.0, 
816098.0," zendaya Verified I’mstillnottrulyconvincedtheothernightreallyhappened,causethat’showdreamsfeel.OurshowwasacelebrationandappreciationforalloftheiconicwomenwhofearlesslypioneeredandopeneddoorsthataretheveryreasonI’mabletoexistinthisspace.Sotoeverywomanonthatstageandthemanyotherswhoweren’t,weloveyou,weseeyouandwethankyou.  ","MARCH 4, 2019",post,8192.0,  @✨luxurylaw @tommyhilfiger 89w
2193827.0, zendaya Verified Thefeelingofsteppingoutinyourowncollection✨  #TommyxZendaya 89w,"MARCH 4, 2019",post,22900.0,  @tommyhilfiger @luxurylaw
759862.0, zendaya Verified ....speechless. 89w,"MARCH 4, 2019",post,8192.0, 
